,Question,Chapter,Sub-chapters
4689,"A child moves down a long slide, as shown in Fig. 4.1.

(DIAGRAM)

The child moves from rest at the top end X of the slide. An average resistive force of 76 N opposes the motion of the child as they move to the lower end Y of the slide. The kinetic energy of the child at Y is 300 J. The decrease in gravitational potential energy of the child as it moves from X to Y is 3200 J.

At end Y of the slide, the child is brought to rest by a board, as shown in Fig. 4.2.

(DIAGRAM)

A spring connects the board to a fixed point. The spring obeys Hooke's law and has a spring constant of 63 Nm–1. The child hits the board so that it moves to the right and compresses the spring. The speed of the child becomes zero when the elastic potential energy of the spring has increased to its maximum value of 140 J. 


The maximum compression of the spring is x0. On Fig. 4.3, sketch a graph to show the variation of the elastic potential energy of the spring with its compression x from x = 0 to x = x0. Numerical values are not required. [2]

(DIAGRAM)
",6. Deformation of solids,(AS) 6.1 Stress and strain
4690,"A jet of water hits a vertical wall at right angles, as shown in Fig. 3.1.

(DIAGRAM)

The water hits the vertical wall with a velocity of 5.0 ms–1 in a horizontal direction. The cross-sectional area of the jet is 1.5 × 10–4 m2. The density of the water is 1.0 × 103 kgm–3. 
The water runs down the wall after hitting it. 

Show that, over a time of 1.6s, the mass of water hitting the wall is 1.2kg. [2]

",3. Dynamics,(AS) 3.1 Momentum and Newton's laws of motion
4691,"A jet of water hits a vertical wall at right angles, as shown in Fig. 3.1.

(DIAGRAM)

The water hits the vertical wall with a velocity of 5.0 ms–1 in a horizontal direction. The cross-sectional area of the jet is 1.5 × 10–4 m2. The density of the water is 1.0 × 103 kgm–3. 
The water runs down the wall after hitting it. 

Calculate:

the decrease in the horizontal momentum of the mass of water in (a) due to hitting the wall

decrease in momentum = .................................................... Ns [1]",3. Dynamics,(AS) 3.1 Momentum and Newton's laws of motion
4692,"A jet of water hits a vertical wall at right angles, as shown in Fig. 3.1.

(DIAGRAM)

The water hits the vertical wall with a velocity of 5.0 ms–1 in a horizontal direction. The cross-sectional area of the jet is 1.5 × 10–4 m2. The density of the water is 1.0 × 103 kgm–3. 
The water runs down the wall after hitting it. 

Calculate:

the magnitude of the horizontal force exerted on the water by the wall.

force = ...................................................... N [1]",3. Dynamics,(AS) 3.1 Momentum and Newton's laws of motion
4693,"A jet of water hits a vertical wall at right angles, as shown in Fig. 3.1.

(DIAGRAM)

The water hits the vertical wall with a velocity of 5.0 ms–1 in a horizontal direction. The cross-sectional area of the jet is 1.5 × 10–4 m2. The density of the water is 1.0 × 103 kgm–3. 
The water runs down the wall after hitting it. 

State and explain the magnitude of the horizontal force exerted on the wall by the water.
...................................................................................................................... [1]",3. Dynamics,(AS) 3.1 Momentum and Newton's laws of motion
4694,"A jet of water hits a vertical wall at right angles, as shown in Fig. 3.1.

(DIAGRAM)

The water hits the vertical wall with a velocity of 5.0 ms–1 in a horizontal direction. The cross-sectional area of the jet is 1.5 × 10–4 m2. The density of the water is 1.0 × 103 kgm–3. 
The water runs down the wall after hitting it. 

Calculate the pressure exerted on the wall by the water.

pressure = .................................................... Pa [2]",3. Dynamics,(AS) 3.1 Momentum and Newton's laws of motion
4695,"Water leaves the end of a hose pipe at point P with a horizontal velocity of 6.6 ms–1, as shown in Fig. 2.1.

(DIAGRAM)

Point P is at height h above the ground. The water hits the ground at point Q. The horizontal distance from P to Q is 3.5m. 
Air resistance is negligible. Assume that the water between P and Q consists of non-interacting droplets of water and that the only force acting on each droplet is its weight.

Explain, briefly, why the horizontal component of the velocity of a droplet of water remains constant as it moves from P to Q.
............................................................................................................................ [1]",2. Kinematics,(AS) 2.1 Equations of motion
4696,"Water leaves the end of a hose pipe at point P with a horizontal velocity of 6.6 ms–1, as shown in Fig. 2.1.

(DIAGRAM)

Point P is at height h above the ground. The water hits the ground at point Q. The horizontal distance from P to Q is 3.5m. 
Air resistance is negligible. Assume that the water between P and Q consists of non-interacting droplets of water and that the only force acting on each droplet is its weight.

Show that the time taken for a droplet of water to move from P to Q is 0.53s.  [1]

",2. Kinematics,(AS) 2.1 Equations of motion
4697,"Water leaves the end of a hose pipe at point P with a horizontal velocity of 6.6 ms–1, as shown in Fig. 2.1.

(DIAGRAM)

Point P is at height h above the ground. The water hits the ground at point Q. The horizontal distance from P to Q is 3.5m. 
Air resistance is negligible. Assume that the water between P and Q consists of non-interacting droplets of water and that the only force acting on each droplet is its weight.

Calculate height h.

h = ......................................................m [2]",2. Kinematics,(AS) 2.1 Equations of motion
4698,"Water leaves the end of a hose pipe at point P with a horizontal velocity of 6.6 ms–1, as shown in Fig. 2.1.

(DIAGRAM)

Point P is at height h above the ground. The water hits the ground at point Q. The horizontal distance from P to Q is 3.5m. 
Air resistance is negligible. Assume that the water between P and Q consists of non-interacting droplets of water and that the only force acting on each droplet is its weight.

For the movement of a droplet of water from P to Q, state and explain whether the displacement of the droplet is less than, more than or the same as the distance along its path.
.......................................................................................................................... [1]",2. Kinematics,(AS) 2.1 Equations of motion
4699,"Water leaves the end of a hose pipe at point P with a horizontal velocity of 6.6 ms–1, as shown in Fig. 2.1.

(DIAGRAM)

Point P is at height h above the ground. The water hits the ground at point Q. The horizontal distance from P to Q is 3.5m. 
Air resistance is negligible. Assume that the water between P and Q consists of non-interacting droplets of water and that the only force acting on each droplet is its weight.

Calculate the magnitude of the displacement of a droplet of water that moves from P to Q.

displacement = ...................................................... m [2]",2. Kinematics,(AS) 2.1 Equations of motion
4700,"A sphere of radius 2.1mm falls with terminal (constant) velocity through a liquid, as shown in Fig. 1.1.

(DIAGRAM)

Three forces act on the moving sphere. The weight of the sphere is 7.2 × 10–4 N and the upthrust acting on it is 4.8 × 10–4 N. The viscous force FV acting on the sphere is given by
FV = krv
where r is the radius of the sphere, v is its velocity and k is a constant. The value of k in SI units is 17.

Determine the SI base units of k.




SI base units ......................................................... [2]","4. Forces, density and pressure",(AS) 4.4 Types of force
4701,"A sphere of radius 2.1mm falls with terminal (constant) velocity through a liquid, as shown in Fig. 1.1.

(DIAGRAM)

Three forces act on the moving sphere. The weight of the sphere is 7.2 × 10–4 N and the upthrust acting on it is 4.8 × 10–4 N. The viscous force FV acting on the sphere is given by
FV = krv
where r is the radius of the sphere, v is its velocity and k is a constant. The value of k in SI units is 17.

Use the value of the upthrust acting on the sphere to calculate the density ρ of the liquid.





ρ = .............................................. kgm–3 [3]","4. Forces, density and pressure",(AS) 4.4 Types of force
4702,"A sphere of radius 2.1mm falls with terminal (constant) velocity through a liquid, as shown in Fig. 1.1.

(DIAGRAM)

Three forces act on the moving sphere. The weight of the sphere is 7.2 × 10–4 N and the upthrust acting on it is 4.8 × 10–4 N. The viscous force FV acting on the sphere is given by
FV = krv
where r is the radius of the sphere, v is its velocity and k is a constant. The value of k in SI units is 17.



On the sphere in Fig. 1.1, draw three arrows to show the directions of the weight W, the upthrust U and the viscous force FV. Label these arrows W, U and FV respectively. [1]

","4. Forces, density and pressure",(AS) 4.4 Types of force
4703,"A sphere of radius 2.1mm falls with terminal (constant) velocity through a liquid, as shown in Fig. 1.1.

(DIAGRAM)

Three forces act on the moving sphere. The weight of the sphere is 7.2 × 10–4 N and the upthrust acting on it is 4.8 × 10–4 N. The viscous force FV acting on the sphere is given by
FV = krv
where r is the radius of the sphere, v is its velocity and k is a constant. The value of k in SI units is 17.



Determine the magnitude of the terminal (constant) velocity of the sphere.





velocity = ................................................ ms–1 [2]","4. Forces, density and pressure",(AS) 4.4 Types of force
4725,"A piezoelectric transducer containing a quartz crystal is used to obtain diagnostic information about internal structures.
Describe the function of the quartz crystal.
..................................................................................................................................
..................................................................................................................................
..................................................................................................................................
............................................................................................................................ [3]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4726,"

Define specific acoustic impedance.
..........................................................................................................................
..........................................................................................................................
.................................................................................................................... [2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4727,"

Describe, qualitatively, how the specific acoustic impedances of two materials affect the intensity reflection coefficient at a boundary between the materials.
............................................................................................................................
............................................................................................................................
............................................................................................................................
...................................................................................................................... [2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4743,"An operational amplifier (op-amp) has two input terminals and one output terminal.
State what is meant by the gain of an op-amp.
....................................................................................................................................
....................................................................................................................................
.............................................................................................................................. [2]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4744,"State two effects of negative feedback on the gain of an amplifier circuit that uses an op-amp.
1. ..............................................................................................................................
 .................................................................................................................................
2. ..............................................................................................................................
 ............................................................................................................................ [2]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4745,"Fig. 7.1 shows an op-amp circuit that uses negative feedback.

(DIAGRAM)



State the name of the type of circuit shown in Fig. 7.1.
....................................................................................................................... [1]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4746,"Fig. 7.1 shows an op-amp circuit that uses negative feedback.

(DIAGRAM)



On Fig. 7.1, label with the letter X a point in the circuit that is considered to be a virtual earth. [1]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4747,"Fig. 7.1 shows an op-amp circuit that uses negative feedback.

(DIAGRAM)



Calculate the gain of the circuit in Fig. 7.1.

gain = ......................................................... [2]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4748,"Fig. 7.1 shows an op-amp circuit that uses negative feedback.

(DIAGRAM)



Determine the value of VIN when VOUT is +6.5 V.

VIN = .......................................................V [1]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4749,"Fig. 7.1 shows an op-amp circuit that uses negative feedback.

(DIAGRAM)



Determine the value of VOUT when VIN is –5.4 V.

VOUT = .......................................................V [1]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4750,"Define electric potential.
.............................................................................................................................
.............................................................................................................................
....................................................................................................................... [2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4751,"An isolated conducting sphere in a vacuum has radius r and is initially uncharged. It is then charged by friction so that it carries a final charge Q. This charge can be considered to be acting at the centre of the sphere.
By considering the electric potential at its surface, show that the capacitance C of the sphere is given by
                                              C = 4πε0r
where ε0 is the permittivity of free space. [2]


",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4752,"The dome of an electrostatic generator is a spherical conductor of radius 13 cm. It is initially charged so that the electric potential at the surface is 4.5 kV.
A smaller isolated sphere of radius 5.2 cm, initially uncharged, is brought near to the dome. Sparking causes a current between the two spheres until they reach the same potential. Assume that any charge on a sphere may be considered to act as a point charge at its centre.
Calculate the charge that is transferred between the two spheres.


charge = ..................................................... C [3]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4769,"State the relationship between gravitational potential and gravitational field strength.
..........................................................................................................................................
..........................................................................................................................................
.................................................................................................................................... [2]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4770,"A moon of mass M and radius R orbits a planet of mass 3M and radius 2R. At a particular time, the distance between their centres is D, as shown in Fig. 2.1.

(DIAGRAM)

Point P is a point along the line between the centres of the planet and the moon, at a variable distance x from the centre of the planet.
The variation with x of the gravitational potential ϕ at point P, for points between the planet and the moon, is shown in Fig. 2.2.

(DIAGRAM)



Explain why ϕ is negative throughout the entire range x = 2R to x = D – R.
.............................................................................................................................
.............................................................................................................................
.............................................................................................................................
....................................................................................................................... [3]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4771,"A moon of mass M and radius R orbits a planet of mass 3M and radius 2R. At a particular time, the distance between their centres is D, as shown in Fig. 2.1.

(DIAGRAM)

Point P is a point along the line between the centres of the planet and the moon, at a variable distance x from the centre of the planet.
The variation with x of the gravitational potential ϕ at point P, for points between the planet and the moon, is shown in Fig. 2.2.

(DIAGRAM)



One of the features of Fig. 2.2 is that ϕ is negative throughout.
Describe two other features of Fig. 2.2.
1. ........................................................................................................................
 ...........................................................................................................................
2. ........................................................................................................................
 ............................................................................................................................ [2]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4772,"A moon of mass M and radius R orbits a planet of mass 3M and radius 2R. At a particular time, the distance between their centres is D, as shown in Fig. 2.1.

(DIAGRAM)

Point P is a point along the line between the centres of the planet and the moon, at a variable distance x from the centre of the planet.
The variation with x of the gravitational potential ϕ at point P, for points between the planet and the moon, is shown in Fig. 2.2.

(DIAGRAM)



On Fig. 2.3, sketch the variation with x of the gravitational field strength g at point P between x = 2R and x = D – R.  [3]

(DIAGRAM)
",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
4778,"Define radioactive decay constant.
.........................................................................................................................................
.........................................................................................................................................
................................................................................................................................... [2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4779,"A sample of radioactive iodine-131 (13153I) of mass 5.87 × 10–10 kg has an activity of 2.92 × 109 Bq.
Determine the decay constant of iodine-131.


decay constant = ................................................... s–1 [3]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4780,"Suggest two reasons why a detector placed near to the sample in (b) would record a count rate much less than 2.92 × 109 counts per second.
1. ................................................................................................................................
2. ................................................................................................................................ [2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4781,"State, for an X-ray image, what is meant by:

sharpness
................................................................................................................................
........................................................................................................................... [1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4782,"State, for an X-ray image, what is meant by:

contrast.
..................................................................................................................................
............................................................................................................................ [1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4783,"A parallel X-ray beam passes through a thickness of 2.3 cm of soft body tissue. The intensity of the emerging beam is 12% of the intensity of the incident beam.
Calculate the linear attenuation (absorption) coefficient μ of the soft body tissue. Give a unit with your answer.


μ = .......................................... unit ..................... [3]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4784,"In medical diagnosis, X-rays may be used to produce a single X-ray image or may be used in computed tomography (CT scanning).
Suggest an advantage and a disadvantage of CT scanning compared with single X-ray imaging for diagnosis.
advantage: ...................................................................................................................
..........................................................................................................................................
disadvantage: .............................................................................................................
.......................................................................................................................................... [2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4795,"Define the tesla.

...................................................................................................................................................
...................................................................................................................................................
............................................................................................................................................. [2]

",20. Magnetic fields,(A2) 20.2 Force on a current-carrying conductor
4796,"A stiff metal wire is used to form a rectangular frame measuring 8.0 cm × 6.0 cm. The frame is open at the top, and is suspended from a sensitive newton meter, as shown in Fig. 8.1.

(DIAGRAM)

The open ends of the frame are connected to a power supply so that there is a current of 5.0 A in the frame in the direction indicated in Fig. 8.1. 
The frame is slowly lowered into a uniform magnetic field of flux density B so that all of side PQ is in the field. The magnetic field lines are horizontal and at an angle of 50° to PQ, as shown in Fig. 8.2.

(DIAGRAM)

When side PQ of the frame first enters the magnetic field, the reading on the newton meter changes by 1.0 mN.


Determine the magnetic flux density B, in mT.





B = ................................................... mT [2]

",20. Magnetic fields,(A2) 20.2 Force on a current-carrying conductor
4797,"A stiff metal wire is used to form a rectangular frame measuring 8.0 cm × 6.0 cm. The frame is open at the top, and is suspended from a sensitive newton meter, as shown in Fig. 8.1.

(DIAGRAM)

The open ends of the frame are connected to a power supply so that there is a current of 5.0 A in the frame in the direction indicated in Fig. 8.1. 
The frame is slowly lowered into a uniform magnetic field of flux density B so that all of side PQ is in the field. The magnetic field lines are horizontal and at an angle of 50° to PQ, as shown in Fig. 8.2.

(DIAGRAM)

When side PQ of the frame first enters the magnetic field, the reading on the newton meter changes by 1.0 mN.


State, with a reason, whether the change in the reading on the newton meter is an increase or a decrease.

...........................................................................................................................................
...........................................................................................................................................
.................................................................................................................................... [1]

",20. Magnetic fields,(A2) 20.2 Force on a current-carrying conductor
4798,"A stiff metal wire is used to form a rectangular frame measuring 8.0 cm × 6.0 cm. The frame is open at the top, and is suspended from a sensitive newton meter, as shown in Fig. 8.1.

(DIAGRAM)

The open ends of the frame are connected to a power supply so that there is a current of 5.0 A in the frame in the direction indicated in Fig. 8.1. 
The frame is slowly lowered into a uniform magnetic field of flux density B so that all of side PQ is in the field. The magnetic field lines are horizontal and at an angle of 50° to PQ, as shown in Fig. 8.2.

(DIAGRAM)

When side PQ of the frame first enters the magnetic field, the reading on the newton meter changes by 1.0 mN.


The frame is lowered further so that the vertical sides start to enter the magnetic field.
Suggest what effect this will have on the frame.

...........................................................................................................................................
...........................................................................................................................................
.................................................................................................................................... [1]",20. Magnetic fields,(A2) 20.2 Force on a current-carrying conductor
4801,"A capacitor consists of two parallel metal plates, separated by air, at a variable distance x apart, as shown in Fig. 6.1. The capacitance C is inversely proportional to x.

(DIAGRAM)

The capacitor is charged by a supply so that there is a potential difference (p.d.) V between the plates.
State expressions, in terms of C and V, for the charge Q on one of the plates and for the energy E stored in the capacitor.
Q = ............................................. E = ............................................. [1] ",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
4802,"The charged capacitor in (a) is now disconnected from the supply. The plates of the capacitor are initially separated by distance L. They are then moved closer together by a distance D, as shown in Fig. 6.2.

(DIAGRAM)

State expressions, in terms of C, V, L and D, for:


the new capacitance CN

CN = ......................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
4803,"The charged capacitor in (a) is now disconnected from the supply. The plates of the capacitor are initially separated by distance L. They are then moved closer together by a distance D, as shown in Fig. 6.2.

(DIAGRAM)

State expressions, in terms of C, V, L and D, for:


the new charge QN on one of the plates

QN = ......................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
4804,"The charged capacitor in (a) is now disconnected from the supply. The plates of the capacitor are initially separated by distance L. They are then moved closer together by a distance D, as shown in Fig. 6.2.

(DIAGRAM)

State expressions, in terms of C, V, L and D, for:


the new p.d. VN between the plates.

VN = ......................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
4805,"Explain whether reducing the separation of the plates in (b) results in an increase or decrease in the energy stored in the capacitor.
...................................................................................................................................................
...................................................................................................................................................
............................................................................................................................................. [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
4826,"With reference to velocity and acceleration, describe uniform circular motion.
...................................................................................................................................................
...................................................................................................................................................
............................................................................................................................................. [2]

",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4827,"Two cars are moving around a horizontal circular track. One car follows path X and the other follows path Y, as shown in Fig. 1.1.

(DIAGRAM)

The radius of path X is 318 m. Path Y is parallel to, and 27 m outside, path X. Both cars have mass 790 kg. The maximum lateral (sideways) friction force F that the cars can experience without sliding is the same for both cars.


The maximum speed at which the car on path X can move around the track without sliding is 94 m s–1. 






F = ..................................................... N [2]

",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4828,"Two cars are moving around a horizontal circular track. One car follows path X and the other follows path Y, as shown in Fig. 1.1.

(DIAGRAM)

The radius of path X is 318 m. Path Y is parallel to, and 27 m outside, path X. Both cars have mass 790 kg. The maximum lateral (sideways) friction force F that the cars can experience without sliding is the same for both cars.


Both cars move around the track. Each car has the maximum speed at which it can move without sliding.
Complete Table 1.1, by placing one tick in each row, to indicate how the quantities indicated for the car on path Y compare with the car on path X. [3]
                                                            Table 1.1




 
Y less than X
Y same as X
Y greater than X


centripetal
acceleration
 
 
 


maximum speed
 
 
 


time taken for one lap of the track
 
 
 



",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
4948,"State what is meant by work done.
...................................................................................................................................................
............................................................................................................................................. [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
4949,"Use your answer in (a) to show that the SI base units of energy are kg m2 s–2. [1]

",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
4950,"A metal rod is heated at one end so that thermal energy flows to the other end.
The thermal energy E that flows through the rod in time t is given by

(DIAGRAM)

where A is the cross-sectional area of the rod,
         T1 and T2 are the temperatures of the ends of the rod,
          L is the length of the rod,
 and  c is a constant.
Determine the SI base units of c.


SI base units ......................................................... [3] ",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
5005,"A uniform metal bar, initially unstretched, has sides of length w, x and y, as shown in Fig. 3.1.

(DIAGRAM)

The bar is now stretched by a tensile force F applied to the shaded ends. The changes in the lengths x and y are negligible. The bar now has sides of length x, y and z, as shown in Fig. 3.2.

(DIAGRAM)

Determine expressions, in terms of some or all of F, w, x, y and z, for:


the stress σ applied to the bar by the tensile force


σ = ......................................................... [1]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
5006,"A uniform metal bar, initially unstretched, has sides of length w, x and y, as shown in Fig. 3.1.

(DIAGRAM)

The bar is now stretched by a tensile force F applied to the shaded ends. The changes in the lengths x and y are negligible. The bar now has sides of length x, y and z, as shown in Fig. 3.2.

(DIAGRAM)

Determine expressions, in terms of some or all of F, w, x, y and z, for:


the strain ε in the bar due to the tensile force


ε = ......................................................... [1]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
5007,"A uniform metal bar, initially unstretched, has sides of length w, x and y, as shown in Fig. 3.1.

(DIAGRAM)

The bar is now stretched by a tensile force F applied to the shaded ends. The changes in the lengths x and y are negligible. The bar now has sides of length x, y and z, as shown in Fig. 3.2.

(DIAGRAM)

Determine expressions, in terms of some or all of F, w, x, y and z, for:


the Young modulus E of the metal from which the bar is made.



E = ......................................................... [2]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
5008,"A copper wire is stretched by a tensile force that gradually increases from 0 to 280 N. The variation with extension of the tensile force is shown in Fig. 3.3.

(DIAGRAM)



State the maximum extension of the wire for which it obeys Hooke's law.

extension = .................................................. mm [1]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
5009,"A copper wire is stretched by a tensile force that gradually increases from 0 to 280 N. The variation with extension of the tensile force is shown in Fig. 3.3.

(DIAGRAM)



Use Fig. 3.3 to determine the strain energy in the wire when the tensile force is 120 N.






strain energy = ...................................................... J [3]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
5010,"A copper wire is stretched by a tensile force that gradually increases from 0 to 280 N. The variation with extension of the tensile force is shown in Fig. 3.3.

(DIAGRAM)



Explain why the work done in stretching the wire to an extension of 12 mm is not equal to the energy recovered when the tensile force is removed.

...........................................................................................................................................
...........................................................................................................................................
..................................................................................................................................... [2]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
5040,"State what is meant by a photon.
.................................................................................................................... [2]",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
5041,"A stationary nucleus of samarium-157 (
(DIAGRAM)
) emits a gamma-ray (γ-ray) photon of energy 0.57 MeV.
Determine, for one γ-ray photon:


its wavelength

wavelength = ..................................................... m [2]",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
5042,"A stationary nucleus of samarium-157 (
(DIAGRAM)
) emits a gamma-ray (γ-ray) photon of energy 0.57 MeV.
Determine, for one γ-ray photon:


its momentum.

momentum = ................................................... Ns [2]",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
5043,"

Using your answer to (b)(ii), determine the speed of the samarium-157 nucleus after emission of the photon.

speed = ................................................ m s−1 [2]",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
5044,"

By reference to your answer in (c)(i), explain quantitatively why the speed of the samarium-157 nucleus may be assumed to be negligible compared with the speed of the photon.
.............................................................................................................. [1]",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
5052,"State two situations in which a charged particle in a magnetic field does not experience a force. [2]

1. .............................................................................................................................

2. .............................................................................................................................",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
5053,"A loosely coiled metal spring is suspended from a fixed point, as shown in Fig. 9.1.

(DIAGRAM)
Electrical connections are made to the ends of the spring by means of a flexible lead.
The length of the spring is measured before the switch is closed and then again after the switch is closed.
When the switch is closed, a magnetic field is set up around each coil of the spring.
By reference to these magnetic fields, explain why there is a change in length of the spring.
State whether the spring extends or contracts.

.................................................................................................................................................................
.................................................................................................................................................................
.................................................................................................................................................................
................................................................................................................................................................. [4]",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
5054,"With the switch in (b) closed, the small mass on the free end of the spring is now made to oscillate vertically.
Use the principles of electromagnetic induction to explain why small fluctuations in the current in the spring are found to occur.

.................................................................................................................................................................
.................................................................................................................................................................
.................................................................................................................................................................[3]",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
5055,"Define magnetic flux density.

.......................................................................................................................................................
....................................................................................................................................................... [2]",20. Magnetic fields,(A2) 20.3 Force on a moving charge
5056,"Electrons, each of mass m and charge q, are accelerated from rest in a vacuum through a potential difference V.
Derive an expression, in terms of m, q and V, for the final speed v of the electrons. Explain your working. [2]",20. Magnetic fields,(A2) 20.3 Force on a moving charge
5057,"The accelerated electrons in (b) are injected at point S into a region of uniform magnetic field of flux density B, as illustrated in Fig. 8.1.

(DIAGRAM)
The electrons move at right angles to the direction of the magnetic field. The path of the electrons is a circle of radius r.


Show that the specific charge 
(DIAGRAM)
 of the electrons is given by the expression

(DIAGRAM)
Explain your working. [2]






",20. Magnetic fields,(A2) 20.3 Force on a moving charge
5058,"The accelerated electrons in (b) are injected at point S into a region of uniform magnetic field of flux density B, as illustrated in Fig. 8.1.

(DIAGRAM)
The electrons move at right angles to the direction of the magnetic field. The path of the electrons is a circle of radius r.


Electrons are accelerated through a potential difference V of 230 V. The electrons are injected normally into the magnetic field of flux density 0.38 mT.
The radius r of the circular orbit of the electrons is 14 cm.
Use this information to calculate a value for the specific charge of an electron.





specific charge = .............................................. C kg−1 [2]",20. Magnetic fields,(A2) 20.3 Force on a moving charge
5059,"The accelerated electrons in (b) are injected at point S into a region of uniform magnetic field of flux density B, as illustrated in Fig. 8.1.

(DIAGRAM)
The electrons move at right angles to the direction of the magnetic field. The path of the electrons is a circle of radius r.


Suggest why the arrangement outlined in (ii), using the same values of B and V, is not practical for the determination of the specific charge of α-particles.

.......................................................................................................................................................
.......................................................................................................................................................
....................................................................................................................................................... [2]",20. Magnetic fields,(A2) 20.3 Force on a moving charge
5060,"Two properties of an ideal operational amplifier (op-amp) are infinite input impedance and infinite bandwidth.
State what is meant by:


infinite input impedance
.................................................................................................................... [1]",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
5061,"Two properties of an ideal operational amplifier (op-amp) are infinite input impedance and infinite bandwidth.
State what is meant by:


infinite bandwidth.
.................................................................................................................... [1]",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
5062,"A student uses a negative temperature coefficient thermistor in the circuit of Fig. 7.1 to indicate changes in temperature.

(DIAGRAM)


Show that the potential at point X is 0.40 V. [1]",22. Quantum physics,(A2) 22.1 Energy and momentum of a photon
