,question,explanation,answer,index
1112,An electromagnetic wave has frequency 12 THz.  State the name of the region of the electromagnetic spectrum for this frequency. ......................................................................[1],  Infra-red / IR,infra-red/ IR B1 [1],"(351, 'b.ii')"
1113,"An object B is on a horizontal surface. Two forces act on B in this horizontal plane. A vector diagram for these forces is shown to scale in Fig. 1.1.  (DIAGRAM)  A force of 7.5 N towards north and a force of 2.5 N from 30?? north of east act on B. The mass of B is 750 g.    On Fig. 1.1, draw an arrow to show the approximate direction of the resultant of these two forces. [1]  ","  The arrow should be drawn up to the left of the 7.5 N force, approximately 5?? to 40?? to west of north  (DIAGRAM) ",arrow drawn up to the left of 7.5N force approximately 5?? to 40?? to west of north A1 [1],"(351, 'c.i')"
1114,An object B is on a horizontal surface. Two forces act on B in this horizontal plane. A vector diagram for these forces is shown to scale in Fig. 1.1.  (DIAGRAM)  A force of 7.5 N towards north and a force of 2.5 N from 30?? north of east act on B. The mass of B is 750 g.    1. Show that the magnitude of the resultant force on B is 6.6 N. [1]  2. Calculate the magnitude of the acceleration of B produced by this resultant force.??  magnitude = .............................. m s? ?2 [2],"  1. A correct vector triangle or working to show that magnitude of resultant force = 6.6 N  A triangle is formed with the 2.5N vector at an angle of 60?? to the vertical 7.5N vector. Since the resultant vector is opposite to the 60?? angle, the cosine rule can be used. Let the resultant vector be R. R2??= 7.52??+ 2.52??? ? 2(7.5)(2.5)cos 60?? Resultant vector R = 6.6N  (allow 6.5 to 6.7 N if scale diagram)  2.  {Resultant force F = ma}   Magnitude of acceleration a = 6.6 / 0.75 = 8.8 m s? ?2 [scale diagram: (6.5 to 6.7) / 0.75] [scale diagram: 8.7 ? ? 8.9 m s? ?2]",1. correct vector triangle or working to show ?? ??magnitude of resultant force = 6.6N?? ?? ??allow 6.5 to 6.7N if scale diagram?? M1 [1] ?? 2. magnitude of acceleration = 6.6 / 0.75 ?? ??[scale diagram: (6.5 to 6.7) / 0.75] ?? ??= 8.8 ms? ?2 [scale diagram: 8.7 ? ? 8.9 ms? ?2] C1  A1 [2],"(351, 'c.ii')"
1115,An object B is on a horizontal surface. Two forces act on B in this horizontal plane. A vector diagram for these forces is shown to scale in Fig. 1.1.  (DIAGRAM)  A force of 7.5 N towards north and a force of 2.5 N from 30?? north of east act on B. The mass of B is 750 g.    Determine the angle between the direction of the acceleration and the direction of the 7.5 N force.  angle = ........................................................ ?? [1],"   {The acceleration is in the same direction as the resultant force. Let the required angle be Consider the triangle formed by the 3 vectors (same triangle as in part (c)(ii)1.). Using sine rule, sin ??/ 2.5 = sin 60 / 6.6 Angle = sin-1??(2.5sin 60 / 6.6) = 19??}   Angle = 19?? [use of scale diagram??allow 17?? to 21?? (a diagram must be seen)]",19?? [use of scale diagram allow 17?? to 21?? (a diagram must be seen)]?? B1 [1],"(351, 'c.iii')"
1116,One likely means by which nuclear fusion may be achieved on a practical scale is the D-T reaction.State what is meant by nuclear fusion. .............................................................................. [1],"In nuclear fusion, ? ?light? ? nuclei combine to form a ? ?heavier? ? nuclei",'light' nuclei combine to form 'heavier' nuclei B1 [1],"(353, 'a')"
1117,"One likely means by which nuclear fusion may be achieved on a practical scale is the D-T reaction.In the D-T reaction, a deuterium (21H) nucleus fuses with a tritium (31H) nucleus to form a helium-4 (42He) nucleus. The nuclear equation for the reaction is ?? ?? ?? (DIAGRAM)  Some data for this reaction are given in Fig. 9.1.  (DIAGRAM)    Calculate the energy, in MeV, equivalent to 1.00 u. Explain your working.  energy = ........................................ MeV [3]","   {u = 1.66??10? ?27??kg}   EITHER energy = c2??m?? ?? OR energy = (3.00 ?? 108)2???? 1.66??10? ?27 energy = 1.494 ?? 10? ?10??J  {To convert J into eV, we divide by the charge of an electron (1.60 ?? 10? ?19C). To convert eV to MeV, we divide by 106. Thus, to convert J to MeV, we divide by (1.60 ?? 10? ?19???? 106??= 1.60 ?? 10? ?13).}   Energy = (1.494 ?? 10? ?10) / (1.60 ?? 10? ?13) Energy = 934 MeV (3 s.f.)",either energy = c2???m or energy = (3.00 ?? 108)2 ?? 1.66 ?? 10? ?27 energy = 1.494 ?? 10? ?10 J ?? = (1.494 ?? 10? ?10)/(1.60 ?? 10? ?13) ?? = 934MeV (3 s.f.)  C1 C1  A1 [3],"(353, 'b.i')"
1118,"One likely means by which nuclear fusion may be achieved on a practical scale is the D-T reaction.In the D-T reaction, a deuterium (21H) nucleus fuses with a tritium (31H) nucleus to form a helium-4 (42He) nucleus. The nuclear equation for the reaction is ?? ?? ?? (DIAGRAM)  Some data for this reaction are given in Fig. 9.1.  (DIAGRAM)    Use data from Fig. 9.1 and your answer in (i) to determine the energy released in this D-T reaction.  energy = ......................................... MeV [2]",   {??m = (mass of deuterium + mass of tritium) ? ? (mass of helium-4 + mass of neutron)}   ??m = (2.01356 + 3.01551) ? ? (4.00151 + 1.00867) ??m = 5.02907 ? ? 5.01018 ??m = 0.01889 u  {1 u = 934 MeV}   Energy = 0.01889 ?? 934 Energy = 17.6 MeV,???m = (2.01356 + 3.01551) ? ? (4.00151 + 1.00867) ?? = 5.02907 ? ? 5.01018 ?? = 0.01889u C1 [2] energy = 0.01889 ?? 934 ?? = 17.6 MeV (allow 2 s.f.) A1,"(353, 'b.ii')"
1119,"One likely means by which nuclear fusion may be achieved on a practical scale is the D-T reaction.In the D-T reaction, a deuterium (21H) nucleus fuses with a tritium (31H) nucleus to form a helium-4 (42He) nucleus. The nuclear equation for the reaction is ?? ?? ?? (DIAGRAM)  Some data for this reaction are given in Fig. 9.1.  (DIAGRAM)    Suggest why, for the D-T reaction to take place, the temperature of the deuterium and the tritium must be high. ....................................................................... [2]","  A high temperature means high speeds /??kinetic??energy of the nuclei. Deuterium and Tritium nuclei could collide despite repelling one another.  {There would be repulsion between the deuterium and the tritium nuclei. So, the kinetic energy of these nuclei would need to be very high so that the nuclei could approach one another and thus fusion could take place.} ",high temperature means high speeds / kinetic energy of nuclei D and T nuclei collide despite repelling one another B1 B1 [2],"(353, 'b.iii')"
1120,"White light is incident on a cloud of cool hydrogen gas, as illustrated in Fig. 8.1.  (DIAGRAM)  The spectrum of the light emerging from the gas cloud is found to contain a number of dark lines.Explain why these dark lines occur. ......................................................................... [3]",The photon is 'absorbed' by the electrons. The photon has energy equal to the difference in energy of two energy levels. The electron de-excites emitting photon (of same energy) in any direction.,photon 'absorbed' by electron photon has energy equal to difference in energy of two energy levels electron de-excites emitting photon (of same energy) in any direction B1 B1 B1 [3],"(354, 'a')"
1121,"White light is incident on a cloud of cool hydrogen gas, as illustrated in Fig. 8.1.  (DIAGRAM)  The spectrum of the light emerging from the gas cloud is found to contain a number of dark lines.Some electron energy levels in a hydrogen atom are illustrated in Fig. 8.2.  (DIAGRAM)  One dark line is observed at a wavelength of 435 nm.   Calculate the energy, in eV, of a photon of light of wavelength 435 nm.  energy = ........................................ eV [4]","  Energy E = hc / ?? E = (6.63??10? ?34???? 3??108) / (435??10? ?9) E = 4.57 ?? 10? ?19??J  {To convert energy in J to eV, we divide by the charge of an electron.}   E = (4.57 ?? 10? ?19) / (1.6 ?? 10? ?19) (eV) E = 2.86 eV",E = hc /?? ?? = (6.63 ?? 10? ?34 ?? 3 ?? 108)/(435 ?? 10? ?9) ?? = 4.57 ?? 10? ?19 J?? (allow 2 s.f.) ?? = (4.57 ?? 10? ?19)/(1.6 ?? 10? ?19) (eV) ?? = 2.86 eV?? (allow 2 s.f.) C1 C1 C1  A1 [4],"(354, 'b.i')"
1122,"White light is incident on a cloud of cool hydrogen gas, as illustrated in Fig. 8.1.  (DIAGRAM)  The spectrum of the light emerging from the gas cloud is found to contain a number of dark lines.Some electron energy levels in a hydrogen atom are illustrated in Fig. 8.2.  (DIAGRAM)  One dark line is observed at a wavelength of 435 nm.   On Fig. 8.2, draw an arrow to indicate the energy change that gives rise to this dark line. [1]",  arrow pointing in either direction between ? ?3.41 eV and ? ?0.55 eV  {We need to consider 2 energy levels that have a difference in energy of 2.86eV. These are the energy levels ? ?3.41 eV and ? ?0.55 eV.} ,arrow pointing in either direction between ? ?3.41eV and ? ?0.55eV B1 [1],"(354, 'b.ii')"
1123,"The mean value of an alternating current is zero. Explain   why an alternating current gives rise to a heating effect in a resistor, .................................................................... [2]",  {Power loss in a resistor = I2R.} EITHER The heating effect in a resistor (current)2. But the square of value of an alternating current is always positive. So there is a heating effect. OR The current moves in opposite directions in the resistor during half-cycles. The heating effect is independent of direction.,either heating effect in a resistor ??? (current)2 square of value of an alternating current is always positive so heating effect or current moves in opposite directions in resistor during half-cycles heating effect is independent of direction B1 B1 A0 (B1) (B1) [2],"(355, 'a.i')"
1124,"The mean value of an alternating current is zero. Explain   by reference to heating effect, what is meant by the root-mean-square (r.m.s.) value of an alternating current. .................................................................... [2]","  It is that value of the direct current, producing the same heating effect (as the alternating current) in a resistor.",that value of the direct current producing the same heating effect (as the alternating current) in a resistor M1 A1 [2],"(355, 'a.ii')"
1125,A simple iron-cored transformer is illustrated in Fig. 7.1.  (DIAGRAM)    State Faraday's law of electromagnetic induction. .......................................................................... [2],  Faraday's law of electromagnetic induction states that the induced e.m.f. is proportional to the rate of change of (magnetic) flux (linkage).,induced e.m.f. proportional to the rate of change of (magnetic) flux (linkage) M1 A1 [2],"(355, 'b.i')"
1126,A simple iron-cored transformer is illustrated in Fig. 7.1.  (DIAGRAM)    Use Faraday's law to explain why the current in the primary coil is not in phase with the e.m.f. induced in the secondary coil. .......................................................................... [3],  The flux in the core is in phase with the current in the primary coil. There is an (induced) e.m.f. in the secondary coil because the coil cuts the flux. The flux and the rate of change of flux are not in phase.,flux in core is in phase with current in the primary coil (induced) e.m.f. in secondary because coil cuts the flux flux and rate of change of flux are not in phase B1 B1 B1 [3],"(355, 'b.ii')"
1127,Define electric potential at a point. .......................................................................... [2],The electric potential at a point is defined as the work done in moving unit positive charge from infinity (to the point).,work done in moving unit positive charge from infinity (to the point) M1 A1 [2],"(356, 'a')"
1128,"An isolated solid metal sphere is positively charged. The variation of the potential V with distance x from the centre of the sphere is shown in Fig. 5.1.  (DIAGRAM)  Use Fig. 5.1 to suggest   why the radius of the sphere cannot be greater than 1.0 cm, .......................................................................... [1]","  In the sphere, the electric potential is constant.","inside the sphere, the potential would be constant B1 [1]","(356, 'b.i')"
1129,An isolated solid metal sphere is positively charged. The variation of the potential V with distance x from the centre of the sphere is shown in Fig. 5.1.  (DIAGRAM)  Use Fig. 5.1 to suggest   that the charge on the sphere behaves as if it were a point charge. [3],"  For a point charge, the product Vx is constant.  {We need to use points from the graph to show that the products for these points are constant.}   The co-ordinates should be clear and we need to determine two values of Vx at least 4 cm apart.  {Consider the points (6, 30) and (2, 90) from the graph. The product of both of them give a value of 180. So, the product obtained is constant at different points.}   Conclusion made clear:  since the product is constant, the charge on the sphere behaves as if it were a point charge. ","for point charge, Vx is constant co-ordinates clear and determines two values of Vx at least 4cm apart conclusion made clear B1 M1 A1 [3]","(356, 'b.ii')"
1130,"Assuming that the charge on the sphere does behave as a point charge, use data from Fig. 5.1 to determine the charge on the sphere.  charge = ..................................................... C [2]", {Vx = 180 Vcm = 180 ?? (1.0 ?? 10? ?2) Vm}   Charge q = 4? ??0Vx = 4?  ?? (8.85 ?? 10? ?12) ?? 180 ?? (1.0 ?? 10? ?2) = 2.0 ?? 10? ?10??C,q = 4? ??0Vx q = 4?  ?? 8.85 ?? 10? ?12 ?? 180 ?? 1.0 ?? 10? ?2 ?? = 2.0 ?? 10? ?10C  M1 A1 [2],"(356, 'c')"
1131,State what is meant by simple harmonic motion. .......................................................................... [2],"For a simple harmonic motion, the acceleration / force is proportional to the displacement (from a fixed point) and the EITHER acceleration and displacement are in opposite directionsOR acceleration is always directed towards a fixed point",acceleration/ force proportional to displacement (from a fixed point) either acceleration and displacement in opposite directions or acceleration always directed towards a fixed point M1  M1 [2],"(357, 'a')"
1132,"A small ball rests at point P on a curved track of radius r, as shown in Fig. 4.1.  (DIAGRAM)  The ball is moved a small distance to one side and is then released. The horizontal displacement x of the ball is related to its acceleration a towards P by the expression ?? ?? ?? ?? ??  (DIAGRAM)  where g is the acceleration of free fall.   Show that the ball undergoes simple harmonic motion. ..................................................................... [2]","  Acceleration due to gravity, g and radius r are constant, so the acceleration a is proportional to the displacement x. The negative sign shows that a and x are in opposite directions.",g and r are constant so a is proportional to x negative sign shows a and x are in opposite directions B1 B1 [2],"(357, 'b.i')"
1133,"A small ball rests at point P on a curved track of radius r, as shown in Fig. 4.1.  (DIAGRAM)  The ball is moved a small distance to one side and is then released. The horizontal displacement x of the ball is related to its acceleration a towards P by the expression ?? ?? ?? ?? ??  (DIAGRAM)  where g is the acceleration of free fall.   The radius r of curvature of the track is 28 cm. Determine the time interval ?? between the ball passing point P and then returning to point P.  ?? = ..................................................... s [3]","   {For simple harmonic motion, acceleration a = ? ? ??2x a = ? ? ??2x = ? ? gx / r giving}   ??2??= g / r?? ?? ????and?? ???????? = 2?  / T ??2??= 9.8 / 0.28 = 35 T = {2?  / ??2??=} 2?  / ???35 = 1.06 s  {The ? ?T? ? calculated above is the period. The question asks for only the time interval ?? between the ball passing point P and then returning to point P. This is half the period T.}   time interval ?? = {T/2 =} 0.53 s",??2??= g /r and ?? = 2? /T ??2??= 9.8/ 0.28 ?? ?? = 35 T = 2?  / ???35 = 1.06s time interval ?? = 0.53s C1  C1  A1 [3],"(357, 'b.ii')"
1134,"The variation with time t of the displacement x of the ball in (b) is shown in Fig. 4.2.  (DIAGRAM)  Some moisture now forms on the track, causing the ball to come to rest after approximately 15 oscillations. On the axes of Fig. 4.2, sketch the variation with time t of the displacement x of the ball for the first two periods after the moisture has formed. Assume the moisture forms at time t = 0. [3]",sketch: time period constant (or increases very slightly) drawn line always ? ?inside? ? given loops successive decrease in peak height  (DIAGRAM) ,sketch: time period constant (or increases very slightly) drawn line always 'inside' given loops successive decrease in peak height M1 A1 A1 [3],"(357, 'c')"
1135,"A large bowl is made from part of a hollow sphere. A small spherical ball is placed inside the bowl and is given a horizontal speed. The ball follows a horizontal circular path of constant radius, as shown in Fig. 2.1.  (DIAGRAM)  The forces acting on the ball are its weight W and the normal reaction force R of the bowl on the ball, as shown in Fig. 2.2.  (DIAGRAM)  The normal reaction force R is at an angle ?? to the horizontal.    By resolving the reaction force R into two perpendicular components, show that the resultant force F acting on the ball is given by the expression ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? W = F tan ??.??   [2]  ","   {The weight acts vertically down, so it does not have any horizontal component. The force component of the force F is then only due to the horizontal component of the reaction force R.}   F = R cos??  {The path is circular with a constant radius. This means that the ball does not move up or down in the surface of the sphere. Thus, the resultant vertical component of the force on the ball is zero ? ? that is, the vertical upward component of the reaction force R is equal to the downward weight.}   W = R sin??  {Dividing the equations eliminate R and gives the required expression.}   dividing, W = F tan??","F = R cos?? W = R sin?? dividing, W = F tan?? (max. 1 if derivation to final line not shown) M1 M1 A0   [2]","(358, 'a.i')"
1136,"A large bowl is made from part of a hollow sphere. A small spherical ball is placed inside the bowl and is given a horizontal speed. The ball follows a horizontal circular path of constant radius, as shown in Fig. 2.1.  (DIAGRAM)  The forces acting on the ball are its weight W and the normal reaction force R of the bowl on the ball, as shown in Fig. 2.2.  (DIAGRAM)  The normal reaction force R is at an angle ?? to the horizontal.    State the significance of the force F for the motion of the ball in the bowl.  ........................................................................................................................................... ...................................................................................................................................... [1]  ",  The force F??provides??the centripetal force.,provides the centripetal force B1 [1],"(358, 'a.ii')"
1137,"A large bowl is made from part of a hollow sphere. A small spherical ball is placed inside the bowl and is given a horizontal speed. The ball follows a horizontal circular path of constant radius, as shown in Fig. 2.1.  (DIAGRAM)  The forces acting on the ball are its weight W and the normal reaction force R of the bowl on the ball, as shown in Fig. 2.2.  (DIAGRAM)  The normal reaction force R is at an angle ?? to the horizontal.  The ball moves in a circular path of radius 14 cm. For this radius, the angle ?? is 28??. Calculate the speed of the ball.    speed = ............................................... m s???1 [3]"," {As shown above, W = F tan??. The weight W is equal to mg. The resultant force F provides the centripetal force, given by mv2??/ r. Replacing these in the equation (W = F tan??) allows us to solve for speed v.}   EITHER F = mv2??/ r and W = mg  {W = F tan?? giving mg = (mv2??/ r) tan ??}   OR v2??= rg / tan ?? v2??= (14??10? ?2???? 9.8) / tan 28?? = 2.58 Speed v = 1.6 m s? ?1",either F = mv2/r and W = mg or v2??= rg/tan?? v2 = (14 ?? 10? ?2 ?? 9.8)/ tan 28?? ?? ??= 2.58 v = 1.6ms? ?1  C1 C1  A1 [3],"(358, 'b')"
1138,An isolated spherical planet has a diameter of 6.8 ?? 106 m. Its mass of 6.4 ?? 1023 kg may be assumed to be a point mass at the centre of the planet.Show that the gravitational field strength at the surface of the planet is 3.7 N kg???1. [2]  ,"Gravitational field strength, g = GM / R2 Gravitational field strength, g = (6.67 ?? 10? ?11) (6.4 ?? 1023) / (3.4 ?? 106)2??= 3.7 Nkg-1",g = GM/R2 ?? = (6.67 ?? 10? ?11 ?? 6.4 ?? 1023)/(3.4 ?? 106)2 = 3.7Nkg? ?1 C1 A1 [2],"(359, 'a')"
1139,An isolated spherical planet has a diameter of 6.8 ?? 106 m. Its mass of 6.4 ?? 1023 kg may be assumed to be a point mass at the centre of the planet.A stone of mass 2.4 kg is raised from the surface of the planet through a vertical height of 1800 m. Use the value of field strength given in (a) to determine the change in gravitational potential energy of the stone. Explain your working.  change in energy = ...................................... J [3],"Change in gravitational potential energy, ??EP??= mg??h because the vertical height ??h << R (or 1800 m << 3.4 ?? 106??m) the gravitational field strength g is constant Change in gravitational potential energy, ??EP??= 2.4 ?? 3.7 ?? 1800 = 1.6 ?? 104??J",???EP = mg???h because ???h ??? R (or 1800m ??? 3.4 ?? 106 m) g is constant ???EP = 2.4 ?? 3.7 ?? 1800 ?? ??= 1.6 ?? 104 J (use of g = 9.8ms? ?2 max. 1 for explanation)  B1 C1 A1   [3],"(359, 'b')"
1140,"An isolated spherical planet has a diameter of 6.8 ?? 106 m. Its mass of 6.4 ?? 1023 kg may be assumed to be a point mass at the centre of the planet.A rock, initially at rest at infinity, moves towards the planet. At point P, its height above the surface of the planet is 3.5 D, where D is the diameter of the planet, as shown in Fig. 1.1.  (DIAGRAM)  Calculate the speed of the rock at point P, assuming that the change in gravitational potential energy is all transferred to kinetic energy.  speed = ............................................... m s???1 [4]","Gravitational potential energy = (? ?) GMm / x  {x is the separation between the rock and the centre of the planet (since the planet is considered to be a point mass, all its mass is concentrated at the centre).} {The GPE is all transferred to kinetic energy. So, considering the magnitudes, ?? mv2??= GMm / x, giving v2??= 2GM / x.}   v2??= 2GM / x  {The rock is at a distance 3.5D from the surface of the planet. The surface is itself at a distance of D/2 = 0.5D form the centre of the planet. So, x = 3.5D + 0.5D = 4D}   Separation x = 4D = 4 ?? (6.8 ?? 106) m v2??= 2 ?? (6.67 ?? 10? ?11) ?? (6.4 ?? 1023) / (4 ?? 6.8 ?? 106) = 3.14 ?? 106 Speed v = 1.8 ?? 103??m s? ?1","gravitational potential energy = (? ?)GMm/ x v2??= 2GM / x x = 4D = 4 ?? 6.8 ?? 106 C1 C1 C1 [4] v2??= (2 ?? 6.67 ?? 10? ?11 ?? 6.4 ?? 1023)/(4 ?? 6.8 ?? 106) ??= 3.14 ?? 106 v = 1.8 ?? 103??ms? ?1?? (use of 3.5D giving 1.9 ?? 103 ms? ?1, allow max. 3)?? A1","(359, 'c')"
1141,"On Fig. 5.1, sketch the temperature characteristic of a thermistor. [2]  (DIAGRAM) ","It is a curved line showing decreasing gradient with temperature rise. It be a smooth line not touching temperature axis, not horizontal or vertical anywhere.  (DIAGRAM) ","curved line showing decreasing gradient with temperature rise smooth line not touching temperature axis, not horizontal or vertical anywhere M1 A1 [2]","(360, 'a')"
1142,"A potential divider circuit is shown in Fig. 5.2.  (DIAGRAM)  The battery of electromotive force (e.m.f.) 12 V and negligible internal resistance is connected in series with resistors X and Y and thermistor Z. The resistance of Y is 15 k?? and the resistance of Z at a particular temperature is 3.0 k??. The potential difference (p.d.) across Y is 8.0 V.   Explain why the power transformed in the battery equals the total power transformed in X, Y and Z. ....................................................................... [1]",  There is (no energy lost in battery because) no/negligible internal resistance,(no energy lost in battery because) no/negligible internal resistance B1 [1],"(360, 'b.i')"
1143,A potential divider circuit is shown in Fig. 5.2.  (DIAGRAM)  The battery of electromotive force (e.m.f.) 12 V and negligible internal resistance is connected in series with resistors X and Y and thermistor Z. The resistance of Y is 15 k?? and the resistance of Z at a particular temperature is 3.0 k??. The potential difference (p.d.) across Y is 8.0 V.   Calculate the current in the circuit.  current = ...................................................... A [2],"  Current I = V / R  {The correct potential difference should be selected across the relevant resistor to obtain the correct circuit current. The current in the circuit is the same everywhere as it is a series connection. Current through Y = p.d. across Y / resistance of Y = 8 / 15??103??(this is the easiest) Current in complete circuit = e.m.f / total resistance in circuit. Here the resistance of Z should be found from the potential divider equation. The same goes for the other equivalent calculations ? ? where we need to calculate additional quantities to find the current. So, you are recommended to use the above one.}   Current I = 8 / 15??103??or 1.6 / 3.0??103??or 2.4 / 4.5??103??or 12 / 22.5??103 Current I = 0.53 ?? 10? ?3??A",I = V/R ?? = 8/15 ?? 103 or 1.6/3.0 ?? 103 or 2.4/4.5 ?? 103 or 12/22.5 ?? 103 ?? = 0.53 ?? 10? ?3A C1 A1 [2],"(360, 'b.ii')"
1144,A potential divider circuit is shown in Fig. 5.2.  (DIAGRAM)  The battery of electromotive force (e.m.f.) 12 V and negligible internal resistance is connected in series with resistors X and Y and thermistor Z. The resistance of Y is 15 k?? and the resistance of Z at a particular temperature is 3.0 k??. The potential difference (p.d.) across Y is 8.0 V.   Calculate the resistance of X.  resistance = ............................................ ?? [3],"  EITHER  {p.d. across X = 12 ? ? p.d. across Y ? ? p.d. across Z p.d. across Y = 8.0 V and p.d. across Z = IR = 3.0??103???? 0.53??10? ?3}   p.d. across X = 12 ? ? 8.0 ? ? (3.0??103???? 0.53??10? ?3)(= 2.4 V) RX??{= V / I} = 2.4 / (0.53 ?? 10? ?3) OR  {Here, we find the total resistance first and from there, calculate the resistance of X.}   Rtot??= 12 / 0.53 ?? 10? ?3??(= 22.5 ?? 103????) RX??= (22.5 ? ? 15.0 ? ? 3.0) ?? 103 RX??= 4.5(2) ?? 103????",p.d. across X = 12 ? ? 8.0 ? ? 3.0 ?? 103 ?? 0.53 ?? 10? ?3 (= 2.4V)?? RX = 2.4/(0.53 ?? 10? ?3) or Rtot = 12/0.53 ?? 10? ?3 (= 22.5 ?? 103 ???) RX = (22.5 ? ? 15.0 ? ? 3.0) ?? 103 4.5(2) ?? 103 ??? C1 C1  (C1) (C1) A1 [3],"(360, 'b.iii')"
1145,A potential divider circuit is shown in Fig. 5.2.  (DIAGRAM)  The battery of electromotive force (e.m.f.) 12 V and negligible internal resistance is connected in series with resistors X and Y and thermistor Z. The resistance of Y is 15 k?? and the resistance of Z at a particular temperature is 3.0 k??. The potential difference (p.d.) across Y is 8.0 V.   The temperature of Z is increased. State and explain the effect on the potential difference across Z. ........................................................................... [2],"  EITHER The resistance decreases and hence, the current (in the circuit) is greater. This causes the p.d. across X and Y to be greater, hence the p.d across Z decreases. OR explanation in terms of potential divider: RZ??decreases, so RZ??/ (RX??+ RY??+ RZ) is less. Therefore the p.d. across Z decreases.",resistance decreases hence current (in circuit) is greater p.d. across X and Y is greater hence p.d across Z decreases  or explanation in terms of potential divider:?? RZ decreases so RZ /(RX + RY + RZ) is less?? therefore p.d. across Z decreases M1 A1   (M1) (A1) [2],"(360, 'b.iv')"
1146,"A rod PQ is attached at P to a vertical wall, as shown in Fig. 3.1.  (DIAGRAM)  The length of the rod is 1.60 m. The weight W of the rod acts 0.64 m from P. The rod is kept horizontal and in equilibrium by a wire attached to Q and to the wall at R. The wire provides a force F on the rod of 44 N at 30?? to the horizontal.Determine  the vertical component of F,  vertical component = ....................................... N [1]",  Vertical component = 44 sin 30?? = 22 N,(vertical component = 44 sin 30?? =) 22N A1 [1],"(361, 'a.i')"
1147,"A rod PQ is attached at P to a vertical wall, as shown in Fig. 3.1.  (DIAGRAM)  The length of the rod is 1.60 m. The weight W of the rod acts 0.64 m from P. The rod is kept horizontal and in equilibrium by a wire attached to Q and to the wall at R. The wire provides a force F on the rod of 44 N at 30?? to the horizontal.Determine  the horizontal component of F.  horizontal component = .................................. N [1]",  Horizontal component = 44 cos 30?? = 38(.1) N,(horizontal component = 44 cos 30?? =) 38(.1)N A1 [1],"(361, 'a.ii')"
1148,"A rod PQ is attached at P to a vertical wall, as shown in Fig. 3.1.  (DIAGRAM)  The length of the rod is 1.60 m. The weight W of the rod acts 0.64 m from P. The rod is kept horizontal and in equilibrium by a wire attached to Q and to the wall at R. The wire provides a force F on the rod of 44 N at 30?? to the horizontal.By taking moments about P, determine the weight W of the rod.  W = ...................................................... N [2]", {The vertical component of F acts at a distance of (0.64 + 0.96 =) 1.60m from the pivot. Clockwise moment = Anti-clockwise moment}   W ?? 0.64 = 22 ?? 1.60 W = 55 N,W ?? 0.64 = 22 ?? 1.60 (W =) 55 N C1 A1 [2],"(361, 'b')"
1149,"A rod PQ is attached at P to a vertical wall, as shown in Fig. 3.1.  (DIAGRAM)  The length of the rod is 1.60 m. The weight W of the rod acts 0.64 m from P. The rod is kept horizontal and in equilibrium by a wire attached to Q and to the wall at R. The wire provides a force F on the rod of 44 N at 30?? to the horizontal.Explain why the wall must exert a force on the rod at P. ............................................................................. [1]","F has a horizontal component (not balanced by W)  {The horizontal component of F acts on the wall and this is not balanced by W. From Newton? ?s 3rd law, there should be an equal and opposite force exerted by the wall on the rod.} ",F has a horizontal component (not balanced by W) or F has 38 N acting horizontally or 38N acts on wall or vertical component of F does not balance W or F and W do not make a closed triangle of forces B1 [1],"(361, 'c')"
1150,"A rod PQ is attached at P to a vertical wall, as shown in Fig. 3.1.  (DIAGRAM)  The length of the rod is 1.60 m. The weight W of the rod acts 0.64 m from P. The rod is kept horizontal and in equilibrium by a wire attached to Q and to the wall at R. The wire provides a force F on the rod of 44 N at 30?? to the horizontal.On Fig. 3.1, draw an arrow to represent the force acting on the rod at P. Label your arrow with the letter S. [1]","Line from P in the direction towards the point on wire vertically above W and direction up  (DIAGRAM)   {This force, along with F and W should form a system that is in equilibrium. For equilibrium, the resultant force and the resultant moment should be zero. If all the 3 forces pass through the same point, the resultant moment would be zero. Moment = Force perpendicular distance from line of action of force to pivot. In this case, the pivot is that point where all the 3 forces pass. As they pass on the point, the ? ?distance ? ?? ? is zero, and thus, the moment at that point is zero.} ",line from P in direction towards point on wire vertically above W and direction up B1 [1],"(361, 'd')"
1151,"A stone is thrown vertically upwards. The variation with time t of the displacement s of the stone is shown in Fig. 2.1.  (DIAGRAM)Use Fig. 2.1 to describe, without calculation, the speed of the stone from t = 0 to t = 3.0 s. .............................................................................. [2]",The speed decreases/stone decelerates??to rest/zero??at 1.25 s. The speed then increases/stone accelerates (in opposite direction),speed decreases/stone decelerates to rest/zero at 1.25s speed then increases/stone accelerates (in opposite direction) B1 B1 [2],"(362, 'a')"
