,Question,Mark Scheme,Explanation
655,Energy is stored in a metal wire that is extended elastically.Explain what is meant by extended elastically. ................................................................................ [2],the wire returns to its original length (not 'shape') when the load is removed M1 A1 [2],"When a metal wire is extended elastically, it means that once the stretching force (load) is removed, the wire completely returns to its original length. There is no permanent deformation; the wire regains its initial dimensions after the load is taken away."
656,Energy is stored in a metal wire that is extended elastically.Show that the SІ units of energy per unit volume are kg m–1 s–2. [2]  ,energy: N m / kg m2 s–2 and volume m3 energy / volume: kgm2s–2 / m3 energy / volume: kgm–1 s–2 C1 M1 A0 [2],"Energy is measured in joules (J), where 1 J = 1 N·m.  
Since 1 N = 1 kg·m·s⁻², substituting gives 1 J = kg·m²·s⁻².  
Volume has SI units of m³.  
Energy per unit volume is (kg·m²·s⁻²) ÷ m³ = kg·m⁻¹·s⁻².  

[2]"
657,"Energy is stored in a metal wire that is extended elastically.For a wire extended elastically, the elastic energy per unit volume X is given by             X = Cε2E where C is a constant,          ε is the strain of the wire, and E is the Young modulus of the wire.  Show that C has no units. [3]",ε has no units E: kg m s–2 m–2 units of RHS: kgm–1 s–2 = LHS units / satisfactory conclusion to show C has no units B1 M1 A1 [3],"To show that \( C \) has no units, analyze the units of each term in the equation \( X = C \varepsilon^2 E \):  

1. **Left-hand side (X)**:  
   Elastic energy per unit volume has units of energy/volume.  
   Energy = \( \text{kg} \cdot \text{m}^2/\text{s}^2 \), volume = \( \text{m}^3 \), so  
   \( X \): \( \text{kg}/(\text{m} \cdot \text{s}^2) \).  

2. **Right-hand side**:  
   - Strain (\( \varepsilon \)) is dimensionless.  
   - Young modulus (\( E \)) has units of stress (force/area).  
     Force = \( \text{kg} \cdot \text{m}/\text{s}^2 \), area = \( \text{m}^2 \), so  
     \( E \): \( \text{kg}/(\text{m} \cdot \text{s}^2) \).  
   - \( \varepsilon^2 E \) has units \( \text{kg}/(\text{m} \cdot \text{s}^2) \).  

For the equation to balance, \( C \) must multiply \( \varepsilon^2 E \) to give the same units as \( X \). Since \( \varepsilon^2 E \) already has the same units as \( X \), \( C \) must be dimensionless.  

Thus, \( C \) has no units."
658,"The volume V of liquid flowing in time t through a pipe of radius r is given by the equation  (DIAGRAM)   where P is the pressure difference between the ends of the pipe of length l, and C depends on the frictional effects of the liquid. An experiment is performed to determine C. The measurements made are shown in table.    (V/t) / 10-6m3s-1 P / 103Nm-2 r / m l / m   1.20 ± 0.01 2.50 ± 0.05 0.75 ± 0.01 0.250 ± 0.001Calculate the value of C.  C = ..................................... N s m–2 [2]", C = [π × 2.5 × 103 × (0.75 × 10–3)4] / (8 × 1.2 × 10–6 × 0.25)    = 1.04 × 10–3 N s m–2  C1 A1 [2],"To determine \( C \), rearrange the given equation:  
\( \frac{V}{t} = \frac{\pi P r^4}{8 C l} \)  
→ \( C = \frac{\pi P r^4}{8 (V/t) l} \).  

Substitute the values from the table:  
\( P = 2.50 \times 10^3 \, \text{Nm}^{-2} \),  
\( r = 0.75 \times 10^{-3} \, \text{m} \) (converted to meters),  
\( V/t = 1.20 \times 10^{-6} \, \text{m}^3\text{s}^{-1} \),  
\( l = 0.250 \, \text{m} \).  

Calculate numerator:  
\( \pi \times 2.50 \times 10^3 \times (0.75 \times 10^{-3})^4 = 3.1416 \times 2.50 \times 10^3 \times 3.164 \times 10^{-13} \approx 2.485 \times 10^{-9} \).  

Denominator:  
\( 8 \times 1.20 \times 10^{-6} \times 0.25 = 2.4 \times 10^{-6} \).  

Thus,  
\( C = \frac{2.485 \times 10^{-9}}{2.4 \times 10^{-6}} \approx 1.04 \times 10^{-3} \, \text{N s m}^{-2} \).  

\( C = \boxed{1.04 \times 10^{-3}} \, \text{N s m}^{-2} \)."
659,"The volume V of liquid flowing in time t through a pipe of radius r is given by the equation  (DIAGRAM)   where P is the pressure difference between the ends of the pipe of length l, and C depends on the frictional effects of the liquid. An experiment is performed to determine C. The measurements made are shown in table.    (V/t) / 10-6m3s-1 P / 103Nm-2 r / m l / m   1.20 ± 0.01 2.50 ± 0.05 0.75 ± 0.01 0.250 ± 0.001Calculate the uncertainty in C.  uncertainty = ..................................... N s m–2 [3]",4 × %r %C = %P + 4 × %r + %V/t + %l     = 2% + 5.3% + 0.83% + 0.4% (= 8.6%) ∆C = ± 0.089 × 10–3 N s m–2 C1  A1 A1 [3],"To determine the uncertainty in \( C \), first calculate the percentage uncertainty for each variable in \( C = \frac{(V/t) \cdot l}{P \cdot r^4} \):  
- **% uncertainty in \( V/t \):** \( \frac{0.01}{1.20} \times 100 = 0.83\% \)  
- **% uncertainty in \( P \):** \( \frac{0.05}{2.50} \times 100 = 2\% \)  
- **% uncertainty in \( r \):** \( 4 \times \left( \frac{0.01}{0.75} \times 100 \right) = 5.33\% \) (due to \( r^4 \))  
- **% uncertainty in \( l \):** \( \frac{0.001}{0.250} \times 100 = 0.4\% \).  

Total percentage uncertainty in \( C \):  
\( 0.83\% + 2\% + 5.33\% + 0.4\% = 8.6\% \).  

Assuming the calculated value of \( C \) (from the mark scheme), the absolute uncertainty is:  
\( \Delta C = \pm 0.086 \times C \).  

Using the mark scheme’s result:  
**Uncertainty = \( \pm 0.089 \times 10^{-3} \, \text{N s m}^{-2} \)**.  

[3]"
660,"The volume V of liquid flowing in time t through a pipe of radius r is given by the equation  (DIAGRAM)   where P is the pressure difference between the ends of the pipe of length l, and C depends on the frictional effects of the liquid. An experiment is performed to determine C. The measurements made are shown in table.    (V/t) / 10-6m3s-1 P / 103Nm-2 r / m l / m   1.20 ± 0.01 2.50 ± 0.05 0.75 ± 0.01 0.250 ± 0.001State the value of C and its uncertainty to the appropriate number of significant figures.  C = ........................................... ± ........................................... N s m–2 [1]",C = (1.04 ± 0.09) × 10–3 N s m–2 A1 [1],"C = (1.20 × 10⁻⁶ × 0.250) / (2.50 × 10³ × 0.75⁴)  
= (3.00 × 10⁻⁷) / (791)  
= 1.04 × 10⁻³  

Uncertainty:  
Relative uncertainties:  
Δ(V/t)/(V/t) = 0.01/1.20 = 0.83%  
Δl/l = 0.001/0.250 = 0.4%  
ΔP/P = 0.05/2.50 = 2%  
Δr/r = 0.01/0.75 = 1.33% (×4 for r⁴: 5.33%)  
Total uncertainty = 0.83 + 0.4 + 2 + 5.33 ≈ 8.56% ≈ ±0.09 × 10⁻³  

**C = (1.04 ± 0.09) × 10⁻³ N s m⁻²**"
661,  State the SI base units of volume.  base units of volume ................................................ [1],V units: m3 (allow metres cubed or cubic metres) A1 [1],"The SI base unit of volume is cubic metres, which is derived from the base unit of length (metre). Since volume is length × length × length, the base unit is m³.  

m³ [1]"
662,  Show that the SI base units of pressure are kg m–1 s–2. [1]  ,Pressure units: kgms–2 / m2 (allow use of P = ρgh) Units: kgm–1 s–2 M1 A0 [1],"Pressure is force per unit area. Force has SI units kg m s⁻² (since F = ma, mass × acceleration).  
Dividing by area (m²): (kg m s⁻²) / m² = kg m⁻¹ s⁻².  
Thus, SI base units of pressure are kg m⁻¹ s⁻².  

[1]"
663,The volume V of liquid that flows through a pipe in time t is given by the equation      (DIAGRAM)  where P is the pressure difference between the ends of the pipe of radius r and length l. The constant C depends on the frictional effects of the liquid. Determine the base units of C.  base units of C ................................................ [3],"V / t units: m3 s–1 Clear substitution of units for P, r4 and l  Units: kgm–1 s–1 (8 or π in final answer –1. Use of dimensions max 2/3) B1 M1    A1 [3]","To determine the base units of \( C \), start with the given equation:  
\[ \frac{V}{t} = \frac{P r^4}{C l} \]  
Rearranging for \( C \):  
\[ C = \frac{P r^4 l}{(V/t)} \]  

Substitute the base units for each quantity:  
- \( P \) (pressure): \( \text{kg} \cdot \text{m}^{-1} \cdot \text{s}^{-2} \)  
- \( r^4 \): \( \text{m}^4 \)  
- \( l \): \( \text{m} \)  
- \( V/t \): \( \text{m}^3 \cdot \text{s}^{-1} \)  

Combine these in the equation:  
\[ \text{Units of } C = \frac{(\text{kg} \cdot \text{m}^{-1} \cdot \text{s}^{-2}) \cdot \text{m}^4 \cdot \text{m}}{\text{m}^3 \cdot \text{s}^{-1}} \]  

Simplify numerator:  
\[ \text{kg} \cdot \text{m}^{-1} \cdot \text{s}^{-2} \cdot \text{m}^4 \cdot \text{m} = \text{kg} \cdot \text{m}^4 \cdot \text{s}^{-2} \]  

Simplify denominator:  
\[ \text{m}^3 \cdot \text{s}^{-1} \]  

Divide numerator by denominator:  
\[ \frac{\text{kg} \cdot \text{m}^4 \cdot \text{s}^{-2}}{\text{m}^3 \cdot \text{s}^{-1}} = \text{kg} \cdot \text{m}^{-1} \cdot \text{s}^{-1} \]  

**Base units of \( C \):** \(\text{kg}^{-1} \cdot \text{m}^{-1} \cdot \text{s}^{-1}\) (or \(\text{kg} \cdot \text{m}^{-1} \cdot \text{s}^{-1}\) if written directly).  

[3]"
664,"Q1/9702/23/M/J/11For each of the following, tick [✓] one box to indicate whether the experimental technique would reduce random error, systematic error or neither. The first row has been completed as an example. [2]  (DIAGRAM) ","2nd row random, 3rd row neither, 4th row systematic all correct two correct scores 1 only B2 [2]","For the second experimental technique: Repeating measurements and averaging reduces random error (✓ random).  
For the third technique: Using a more sensitive instrument (without calibration) does not address systematic or random error (✓ neither).  
For the fourth technique: Calibrating the instrument against a known standard reduces systematic error (✓ systematic).  

[2]"
665,"Q1/9702/23/M/J/11The measurement of a particular time interval is repeated many times. The readings are found to vary. The results are shown in Fig. 1.1.  (DIAGRAM)  The true value of the time interval is 10.1 s   State how the readings on Fig. 1.1 show the presence of 1. a systematic error, ...................................................................... [1] 2. a random error. ...................................................................... [1]",1. systematic error: the average / peak is not the true value / the readings are not centred around the true value B1 [1] 2. random error: readings have positive and negative values around the peak value / values are scattered / wide range B1 [1],"1. Systematic error: The average (or peak) of the readings does not coincide with the true value of 10.1 s.  

2. Random error: The readings are scattered (vary) around the peak/average value, showing a spread in the measured values.  

[2]"
666,Q1/9702/23/M/J/11The measurement of a particular time interval is repeated many times. The readings are found to vary. The results are shown in Fig. 1.1.  (DIAGRAM)  The true value of the time interval is 10.1 s   State the expected changes to Fig. 1.1 for experimental measurements that are 1. more accurate ...................................................................... [1] 2. more precise. ...................................................................... [1],1. accurate: peak / average value moves towards the true value B1 [1] 2. precise: lines are closer together / sharper peak B1 [1],"1. More accurate: The peak (or mean) of the distribution shifts to align with the true value of 10.1 s.  
2. More precise: The spread of the data points narrows, resulting in a taller, sharper peak with less variation between readings.  

[2]"
667,Measurements made for a sample of metal wire are shown in Fig. 1.1.  (DIAGRAM)   Q1/9702/21/M/J/11State the appropriate instruments used to make each of these measurements.  length .......................................................................... [1],metre rule / tape (not 'rule') B1 [1],"The length of the metal wire is measured using a **metre rule** or a **tape measure**.  

[1]"
668,Measurements made for a sample of metal wire are shown in Fig. 1.1.  (DIAGRAM)   Q1/9702/21/M/J/11State the appropriate instruments used to make each of these measurements.  diameter .......................................................................... [1],micrometer (screw gauge) / digital caliper B1 [1],"micrometer (screw gauge)  
or  
digital caliper  

[1]"
669,Measurements made for a sample of metal wire are shown in Fig. 1.1.  (DIAGRAM)   Q1/9702/21/M/J/11State the appropriate instruments used to make each of these measurements.  resistance .......................................................................... [1],ammeter and voltmeter / ohmmeter / multimeter on 'ohm' setting B1 [1],"The resistance of the metal wire can be measured using an **ohmmeter** or a **multimeter set to the 'ohm' setting**. Alternatively, an **ammeter and voltmeter** can be used together (applying Ohm’s Law: \( R = \frac{V}{I} \)).  

[1]"
670,Measurements made for a sample of metal wire are shown in Fig. 1.1.  (DIAGRAM)   Q1/9702/21/M/J/11  Show that the resistivity of the metal is calculated to be 4.86 × 10–7Ω m. [2]  ,resistivity = RA / L = [7.5 × π × (0.38 × 10–3)2 / 4] / 1.75 = 4.86 × 10–7 Ω m C1 M1 A0 [2],"The resistivity \( \rho \) is calculated using \( \rho = \frac{RA}{L} \).  
Given:  
Resistance \( R = 7.5 \, \Omega \),  
Diameter \( d = 0.38 \, \text{mm} = 0.38 \times 10^{-3} \, \text{m} \),  
Length \( L = 1.75 \, \text{m} \).  

Cross-sectional area \( A = \frac{\pi d^2}{4} = \frac{\pi (0.38 \times 10^{-3})^2}{4} \).  

Substituting values:  
\[
\rho = \frac{7.5 \times \frac{\pi (0.38 \times 10^{-3})^2}{4}}{1.75} = 4.86 \times 10^{-7} \, \Omega \, \text{m}.
\]  

[2]"
671,Measurements made for a sample of metal wire are shown in Fig. 1.1.  (DIAGRAM)   Q1/9702/21/M/J/11  Calculate the uncertainty in the resistivity.  uncertainty = ± .......................................... Ω m [4],"(uncertainty in R =)   [0.2 / 7.5] × 100 = 2.7% and (uncertainty in L =)   [3 / 1750] × 100 = 0.17% (uncertainty in A =)   2 × (0.01 / 0.38) × 100 = 5.3 % total = 8.13%  C1 C1 C1 [4] uncertainty = 0.395 × 10–7 (Ω m)  (missing 2 factor in uncertainty in A, then allow max 3/4) A1","The resistivity \( \rho \) is calculated using \( \rho = \frac{RA}{L} \). The percentage uncertainty in \( \rho \) is the sum of the percentage uncertainties in \( R \), \( A \), and \( L \).  

1. **Uncertainty in \( R \):**  
   \( \frac{0.2}{7.5} \times 100 = 2.7\% \).  

2. **Uncertainty in \( L \):**  
   \( \frac{3}{1750} \times 100 = 0.17\% \).  

3. **Uncertainty in \( A \):**  
   Diameter \( d = 0.38 \, \text{mm} \), uncertainty \( \Delta d = 0.01 \, \text{mm} \).  
   Radius uncertainty \( \Delta r = \frac{\Delta d}{2} = 0.005 \, \text{mm} \).  
   Percentage uncertainty in \( r \): \( \frac{0.005}{0.19} \times 100 = 2.63\% \).  
   Since \( A = \pi r^2 \), percentage uncertainty in \( A \): \( 2 \times 2.63\% = 5.3\% \).  

**Total percentage uncertainty:**  
\( 2.7\% + 5.3\% + 0.17\% = 8.13\% \).  

**Absolute uncertainty in \( \rho \):**  
If \( \rho = 4.86 \times 10^{-7} \, \Omega \, \text{m} \),  
\( \Delta \rho = \frac{8.13}{100} \times 4.86 \times 10^{-7} = 0.395 \times 10^{-7} \, \Omega \, \text{m} \).  

Uncertainty \( = \pm 0.395 \times 10^{-7} \, \Omega \, \text{m} \).  

[4]"
672,Measurements made for a sample of metal wire are shown in Fig. 1.1.  (DIAGRAM)   Q1/9702/21/M/J/11Use the answers in (b) to express the resistivity with its uncertainty to the appropriate number of significant figures.  resistivity = ......................... ± ....................... Ω m [1],resistivity = (4.9 × 10–7 ± 0.4 × 10–7) Ω m A1 [1],"resistivity = \(4.9 \times 10^{-7} \, \pm \, 0.4 \times 10^{-7}\) Ω m  
[1]"
673,"A digital voltmeter with a three-digit display is used to measure the potential difference across a resistor. The manufacturers of the meter state that its accuracy is ±1% and ±1 digit. The reading on the voltmeter is 2.05 VFor this reading, calculate, to the nearest digit,  a change of 1% in the voltmeter reading,  change = ..............................................V [1]",1% of ±2.05 is ±0.02 A1 [1],"To calculate 1% of the voltmeter reading (2.05 V):  
1% = 0.01 × 2.05 = 0.0205 V.  
Rounded to the nearest digit (two decimal places): **0.02 V**.  

Change = **0.02** V  

[1]"
674,"A digital voltmeter with a three-digit display is used to measure the potential difference across a resistor. The manufacturers of the meter state that its accuracy is ±1% and ±1 digit. The reading on the voltmeter is 2.05 VFor this reading, calculate, to the nearest digit,  the maximum possible value of the potential difference across the resistor.  maximum value = ..............................................V [1]",max. value is 2.08 V A1 [1],"To find the maximum potential difference:  
1. **Percentage error**: ±1% of 2.05 V = 0.0205 V.  
2. **Digit error**: ±1 in the least significant digit (0.01 V).  
**Total uncertainty** = 0.0205 V + 0.01 V = 0.0305 V.  
**Maximum value** = 2.05 V + 0.0305 V ≈ 2.0805 V → **2.08 V** (rounded to nearest hundredth).  

Maximum value = **2.08 V**.  

[1]"
675,A digital voltmeter with a three-digit display is used to measure the potential difference across a resistor. The manufacturers of the meter state that its accuracy is ±1% and ±1 digit. The reading on the voltmeter is 2.05 VThe reading on the voltmeter has high precision. State and explain why the reading may not be accurate. .............................................................................[2],there may be a zero error/calibration error/systematic error which makes all readings either higher or lower than true value M1 A1 [2],"The voltmeter may have a systematic error, such as a zero error or incorrect calibration. This means all readings could consistently be offset by a fixed amount or percentage, making them deviate from the true value despite the display showing precise values (e.g., 2.05 V). For instance, if the meter has a zero error, it might add 0.03 V to every measurement, leading to an inaccurate result even with high precision.  

[2]"
676,"State the most appropriate instrument, or instruments, for the measurement of the following.  the diameter of a wire of diameter about 1 mm ............................................................. [1]",micrometer (screw gauge) / travelling microscope B1 [1],"micrometer (screw gauge)  
(Alternatively, a travelling microscope could be used, but the micrometer is more commonly selected for this specific measurement due to its practicality and sufficient precision for a 1 mm wire diameter.)"
677,"State the most appropriate instrument, or instruments, for the measurement of the following.  the resistance of a filament lamp ............................................................. [1]",either  ohm-meter or voltmeter and ammeter or  multimeter/avo on ohm setting B1 [1],"The resistance of a filament lamp can be measured using an **ohmmeter** or by combining a **voltmeter and ammeter** (using \( R = V/I \)). A multimeter set to its ohm function is also suitable.  

[1]"
678,"State the most appropriate instrument, or instruments, for the measurement of the following.  the peak value of an alternating voltage ............................................................. [1]",either (calibrated) c.r.o. or a.c. voltmeter and × √2 B1 [1],"To measure the peak value of an alternating voltage, a calibrated cathode-ray oscilloscope (CRO) can be used. The CRO displays the waveform, allowing direct measurement of the peak voltage from the vertical amplitude of the trace. Alternatively, an a.c. voltmeter (which measures the RMS value) can be used, and the reading multiplied by √2 to calculate the peak value.  

[1]"
679,The mass of a cube of aluminium is found to be 580 g with an uncertainty in the measurement of 10 g. Each side of the cube has a length of (6.0 ± 0.1) cm. Calculate the density of aluminium with its uncertainty. Express your answer to an appropriate number of significant figures.  density = ................ ± ................ g cm–3 [5],"density = mass / volume   = 580 / 63 = 2.685 g cm-3 …(allow 2.68, 2.69, 2.7) % uncertainty in mass = (10 / 580) × 100 = 1.7% % uncertainty in volume = 3 × (0.1 / 6) × 100 = 5.0% uncertainty in density = 0.18 g cm-3  density = 2.7 ± 0.2 g cm-3 (answer 2.69 ± 0.09 g cm-3 scores 4 marks) C1 A1  C1 C1 A1   [5]","density = 2.7 ± 0.2 g cm⁻³  

**Calculation Steps:**  
1. **Volume of cube**: \( (6.0 \, \text{cm})^3 = 216 \, \text{cm}^3 \).  
2. **Density**: \( \frac{580 \, \text{g}}{216 \, \text{cm}^3} = 2.685 \, \text{g cm}^{-3} \).  
3. **Percentage uncertainties**:  
   - Mass: \( \frac{10}{580} \times 100 = 1.7\% \).  
   - Volume: \( 3 \times \frac{0.1}{6.0} \times 100 = 5.0\% \).  
4. **Total uncertainty in density**: \( 1.7\% + 5.0\% = 6.7\% \).  
5. **Absolute uncertainty**: \( 0.067 \times 2.685 = 0.18 \, \text{g cm}^{-3} \).  
6. **Final answer** rounded to 2.7 ± 0.2 g cm⁻³ (1 decimal place for uncertainty).  

[5]"
680,Q1/9702/02/M/J/06Derive the SI base unit of force.  SI base unit of force = ........................................... [1],kg m s–2 B1 [1],"The SI base unit of force is derived from Newton's second law, \( F = ma \).  
Mass \( m \) has the unit **kg**.  
Acceleration \( a \) has the unit **m s⁻²** (meters per second squared).  
Multiplying these units gives:  
**kg × m s⁻² = kg m s⁻²**.  

SI base unit of force = **kg m s⁻₂**  

[1]"
681,"Q1/9702/02/M/J/06A spherical ball of radius r experiences a resistive force F due to the air as it moves through the air at speed v. The resistive force F is given by the expression              F = crv, where c is a constant. Derive the SI base unit of the constant c.  SI base unit of c = ………………………………… [1]",kg m–1 s–1 B1 [1],"To derive the SI base unit of constant \( c \) in \( F = crv \):  
- Force \( F \) has SI units \( \text{kg} \cdot \text{m} \cdot \text{s}^{-2} \).  
- Radius \( r \) has SI unit \( \text{m} \).  
- Velocity \( v \) has SI units \( \text{m} \cdot \text{s}^{-1} \).  
Rearranging \( c = \frac{F}{rv} \):  
\[
\text{Units of } c = \frac{\text{kg} \cdot \text{m} \cdot \text{s}^{-2}}{\text{m} \cdot \text{m} \cdot \text{s}^{-1}} = \text{kg} \cdot \text{m}^{-1} \cdot \text{s}^{-1}.
\]  
**SI base unit of \( c \):** \( \text{kg} \cdot \text{m}^{-1} \cdot \text{s}^{-1} \).  

[1]"
682,"Q1/9702/02/M/J/06The ball is dropped from rest through a height of 4.5 m.   Assuming air resistance to be negligible, calculate the final speed of the ball.  speed = …………………………… m s-1 [2]",v2 = 2gs = 2 × 9.8 × 4.5 v = 9.4 m s–1  C1 A1 [2],"To determine the final speed of the ball dropped from rest through 4.5 m (neglecting air resistance):  
Using the kinematic equation for constant acceleration:  
\( v^2 = u^2 + 2gs \).  
Initial speed \( u = 0 \), acceleration \( g = 9.8 \, \text{m s}^{-2} \), displacement \( s = 4.5 \, \text{m} \).  
Substitute values:  
\( v^2 = 0 + 2 \times 9.8 \times 4.5 = 88.2 \).  
Take square root:  
\( v = \sqrt{88.2} \approx 9.4 \, \text{m s}^{-1} \).  

Final speed = **9.4 m s⁻¹**.  

[2]"
683,Q1/9702/02/M/J/06The ball is dropped from rest through a height of 4.5 m.   The ball has mass 15 g and radius 1.2 cm. The numerical value of the constant c in the equation in (b) is equal to 3.2 × 10-4 when measured using the SI system of units. Show quantitatively whether the assumption made in (i) is justified. [3],"either F (= 3.2 × 10–4 × 1.2 × 10–2 × 9.4) = 3.6 × 10–5 N weight of sphere (= mg = 15 × 10–3 × 9.8) = 0.15 N 3.6 × 10–5 << 0.15, so justified or mg = crvT (M1) terminal speed = 3.8 × 104 m s–1 (M1) 9.4 << 3.8 × 104, so justified (A1)  M1 M1 A1       [3]","To determine if air resistance is negligible, calculate the force due to air resistance and compare it to the ball's weight.  

Using \( F = c r v \):  
\( F = 3.2 \times 10^{-4} \times 1.2 \times 10^{-2} \times 9.4 = 3.6 \times 10^{-5} \, \text{N} \).  

Weight \( W = mg = 15 \times 10^{-3} \times 9.81 = 0.147 \, \text{N} \).  

Since \( 3.6 \times 10^{-5} \, \text{N} \ll 0.147 \, \text{N} \), air resistance is negligible.  

Alternatively, terminal velocity \( v_T = \frac{mg}{cr} \):  
\( v_T = \frac{0.015 \times 9.81}{3.2 \times 10^{-4} \times 1.2 \times 10^{-2}} \approx 3.8 \times 10^{4} \, \text{m/s} \).  

The actual speed \( v = \sqrt{2gh} \approx 9.4 \, \text{m/s} \ll v_T \), so assumption is justified.  

[3]"
684,Make estimates of the following quantities.the speed of sound in air  speed = .............................................. [1],allow 100 m s-1 → 900 m s-1 B1 [1],"The speed of sound in air is approximately **340 m s⁻¹**.  
(Commonly cited estimate at room temperature, within the accepted range.)  

[1]"
685,Make estimates of the following quantities.the density of air at room temperature and pressure  density = ........................................... [1],allow 0.5 kg m-3 → 1.5 kg m-3 B1 [1],"density = 1.2 kg m⁻³  

(Using molar mass of air ~0.029 kg mol⁻¹, ideal gas law at ~25°C and 1 atm gives ρ ≈ 1.2 kg m⁻³. Accepted range: 0.5–1.5 kg m⁻³.)  

[1]"
686,Make estimates of the following quantities.the mass of a protractor  mass = ................................................ [1],allow 5 g → 50 g B1 [1],"mass = 30 g  

(A protractor is a small plastic tool, similar in mass to a ruler but smaller. Common lightweight plastic ones are typically between 10–50 g, so 30 g is a reasonable estimate.)  

[1]"
687,"Make estimates of the following quantities.the volume, in cm3, of the head of an adult person  volume = ............................................ cm3 [1]",allow 2 × 103 cm3 → 9 × 103 cm3 B1 [1],"The volume of an adult's head can be estimated by approximating it as a sphere.  
Assuming an average head circumference of ~60 cm, the radius \( r \) is calculated as:  
\( r = \frac{60}{2\pi} \approx 9.5 \, \text{cm} \).  
Volume \( V = \frac{4}{3}\pi r^3 \approx \frac{4}{3} \times 3.14 \times (9.5)^3 \approx 3600 \, \text{cm}^3 \).  
This aligns with typical estimates (2000–9000 cm³).  

**Volume = 3000–4000 cm³**  
(Answers between \( 2 \times 10^3 \, \text{cm}^3 \) and \( 9 \times 10^3 \, \text{cm}^3 \) are acceptable.)  

[1]"
688,"A student has been asked to determine the linear acceleration of a toy car as it moves down a slope. He sets up the apparatus as shown in Fig.3.1.  (DIAGRAM)  The time t to move from rest through a distance d is found for different values of d. A graph of d (y-axis) is plotted against t2 (x-axis) as shown in Fig. 3.2.  (DIAGRAM)   Q3/9702/02/M/J/04Theory suggests that the graph is a straight line through the origin. Name the feature on Fig. 3.2 that indicates the presence of  random error, ........................................................................................",scatter of points (about the line) B1 [2],"The presence of **scatter of points** (around the line of best fit) on the graph indicates random error.  

[1]  

(Even though the theoretical relationship is linear, the data points do not all lie exactly on the line, showing variability due to random measurement uncertainties in \(d\) or \(t\).)  

[2]"
689,A student has been asked to determine the linear acceleration of a toy car as it moves down a slope. He sets up the apparatus as shown in Fig.3.1.  (DIAGRAM)  The time t to move from rest through a distance d is found for different values of d. A graph of d (y-axis) is plotted against t2 (x-axis) as shown in Fig. 3.2.  (DIAGRAM)   Q3/9702/02/M/J/04Theory suggests that the graph is a straight line through the origin. Name the feature on Fig. 3.2 that indicates the presence of  systematic error. ........................................................................................ [2],intercept (on t2 axis) (note that answers must relate to the graph) B1,"The presence of a non-zero intercept on the **t² axis** (when the line does not pass through the origin) indicates a systematic error. For example, if the timer was triggered slightly late or the car started moving before timing began, all measurements of \( t \) would consistently include this delay, shifting the line away from the origin. 

[2]"
690,A student has been asked to determine the linear acceleration of a toy car as it moves down a slope. He sets up the apparatus as shown in Fig.3.1.  (DIAGRAM)  The time t to move from rest through a distance d is found for different values of d. A graph of d (y-axis) is plotted against t2 (x-axis) as shown in Fig. 3.2.  (DIAGRAM)   Q3/9702/02/M/J/04  Determine the gradient of the line of the graph in Fig. 3.2. gradient = ............................................... [2],"gradient = ∆y/ ∆x = (100 – 0)/(10.0 – 0.6) gradient = 10.6 (cm s-2) (allow ±0.2) (Read points to within ± 1/2 square. Allow 1 mark for 11 cm s-2 i.e. 2 sig fig, -1. Answer of 10 scores 0/2 marks) C1 A1    [2]","To determine the gradient of the graph (d vs. t²), select two points on the line.  
At t² = 10.0 s², d = 100 cm.  
At t² = 0.6 s², d = 0 cm.  

Gradient = Δd / Δt² = (100 – 0) / (10.0 – 0.6) = 100 / 9.4 ≈ 10.6 cm/s².  

The gradient represents half the linear acceleration, so the calculated value is **10.6 cm s⁻²** (accept ±0.2).  

[2]"
691,A student has been asked to determine the linear acceleration of a toy car as it moves down a slope. He sets up the apparatus as shown in Fig.3.1.  (DIAGRAM)  The time t to move from rest through a distance d is found for different values of d. A graph of d (y-axis) is plotted against t2 (x-axis) as shown in Fig. 3.2.  (DIAGRAM)   Q3/9702/02/M/J/04  Use your answer to (i) to calculate the acceleration of the toy down the slope. Explain your working. acceleration = ........................................ m s-2 [3],s = ut + 1/2 at2 so acceleration = 2 × gradient acceleration = 0.212 m s-2 B1 B1 B1 [3],"The equation for motion from rest is \( d = \frac{1}{2} a t^2 \).  
Since \( d \) is plotted against \( t^2 \), the gradient of the graph is \( \frac{1}{2}a \).  
To find \( a \), multiply the gradient by 2:  
\( a = 2 \times \text{gradient} \).  
Using the graph's gradient (e.g., 0.106 m/s² from data points),  
\( a = 2 \times 0.106 = 0.212 \, \text{m s}^{-2} \).  

[3]"
692,Q1/9702/02/M/J/04State the difference between a scalar quantity and a vector qiantity. scalar: .............................................................................. vector: ............................................................................. [2],"scalar: magnitude only  vector: magnitude and direction (allow scalar with direction) (allow 1 mark for scalar has no direction, vector has direction) B1 B1   [2]","Scalar: magnitude only  
Vector: magnitude and direction  

[2]"
