,Question,Mark Scheme,Explanation
297,"Ions, all of the same isotope, are travelling in a vacuum with a speed of 9.6 × 104 m s−1. The ions are incident normally on a uniform magnetic field of flux density 640 mT. The ions follow semicircular paths A and B before reaching a detector, as shown in Fig. 6.1.  (DIAGRAM)  Data for the diameters of the paths are shown in Fig. 6.2.  (DIAGRAM)  The ions in path B each have charge +1.6×10−19 C.   Suggest and explain quantitatively a reason for the difference in radii of the paths A and B of the ions. ............................................................................... [3]",q / m ∝ 1/r  or   m constant and q ∝ 1/r q / m for A is twice that for B ions in path A have (same mass but) twice the charge (of ions in path B) B1 B1 B1 [3],"The ions experience a centripetal force provided by the magnetic force: \( qvB = \frac{mv^2}{r} \), leading to \( r = \frac{mv}{qB} \). Since all ions are the same isotope, \( m \) is constant. With \( v \) and \( B \) also constant, \( r \propto \frac{1}{q} \). If path A has half the radius of path B, the charge \( q_A \) must be twice \( q_B \). Given \( q_B = +1.6 \times 10^{-19} \, \text{C} \), \( q_A = +3.2 \times 10^{-19} \, \text{C} \). Thus, ions in path A have twice the charge of those in path B, resulting in half the radius. The charge-to-mass ratio \( \frac{q}{m} \) for A is twice that of B, explaining the difference in radii."
298,"A helium nucleus contains two protons. In a model of the helium nucleus, each proton is considered to be a charged point mass. The separation of these point masses is assumed to be 2.0×10−15 m.For the two protons in this model, calculate  the electrostatic force,  electrostatic force = ........................................ N [2]",FE = Q1Q2/ 4πε0r2    = 8.99 × 109 × (1.6 × 10–19)2 / (2.0 × 10–15)2    = 58 N C1  A1 [2],"The electrostatic force can be calculated using Coulomb's law:  
\( F = \frac{kQ_1Q_2}{r^2} \).  
Substituting values:  
\( F = \frac{(8.99 \times 10^9) \times (1.6 \times 10^{-19})^2}{(2.0 \times 10^{-15})^2} \).  
First, compute the numerator:  
\( (1.6 \times 10^{-19})^2 = 2.56 \times 10^{-38} \).  
\( 8.99 \times 10^9 \times 2.56 \times 10^{-38} = 2.30144 \times 10^{-28} \).  
Now the denominator:  
\( (2.0 \times 10^{-15})^2 = 4.0 \times 10^{-30} \).  
Divide numerator by denominator:  
\( \frac{2.30144 \times 10^{-28}}{4.0 \times 10^{-30}} = 57.536 \, \text{N} \).  
Rounding to two significant figures:  
**electrostatic force = 58 N**."
299,"A helium nucleus contains two protons. In a model of the helium nucleus, each proton is considered to be a charged point mass. The separation of these point masses is assumed to be 2.0×10−15 m.For the two protons in this model, calculate  the gravitational force.  gravitational force = ....................................... N [2]",FG = Gm1m2/r2    = 6.67 × 10–11 × (1.67 × 10–27)2/(2.0 × 10–15)2    = 4.7 × 10–35 N C1  A1 [2],"The gravitational force is calculated using Newton's law: \( F = \frac{G m_1 m_2}{r^2} \). Substituting \( G = 6.67 \times 10^{-11} \, \text{Nm}^2/\text{kg}^2 \), \( m_1 = m_2 = 1.67 \times 10^{-27} \, \text{kg} \), and \( r = 2.0 \times 10^{-15} \, \text{m} \):  
\( F = \frac{6.67 \times 10^{-11} \times (1.67 \times 10^{-27})^2}{(2.0 \times 10^{-15})^2} = 4.7 \times 10^{-35} \, \text{N} \)."
300,"A helium nucleus contains two protons. In a model of the helium nucleus, each proton is considered to be a charged point mass. The separation of these point masses is assumed to be 2.0×10−15 m.Using your answers in (a), suggest why  there must be some other force between the protons in the nucleus, ................................................................................... [3]",force of repulsion (much) greater than force of attraction must be some other force of attraction to hold nucleus together (Do not allow if FG > FE in (a) or one of the forces not calculated in (a)) B1 M1 A1   [3],"The electric force between the protons is repulsive and calculated in (a) to be much greater than the gravitational force of attraction. Since the gravitational force is insufficient to overcome this repulsion, there must be an additional attractive force (the strong nuclear force) acting between the protons to hold the nucleus together. This force is stronger than the electrostatic repulsion at very small separations, ensuring the stability of the helium nucleus."
301,"A helium nucleus contains two protons. In a model of the helium nucleus, each proton is considered to be a charged point mass. The separation of these point masses is assumed to be 2.0×10−15 m.Using your answers in (a), suggest why  this additional force must have a short range. ................................................................................... [2]","outside nucleus there is repulsion between protons either attractive force must act only in nucleus or if not short range, all nuclei would stick together B1  B1 [2]","The repulsive electrostatic force between protons acts over a long range. If the attractive nuclear force were not short-range, it would cause nuclei to attract each other even at larger distances, leading to all nuclei sticking together. Since nuclei are stable and separate, the additional force must only act within the nucleus (at short range) to overcome repulsion without causing aggregation."
302,A microwave cooker uses electromagnetic waves of frequency 2450 MHz. The microwaves warm the food in the cooker by causing water molecules in the food to oscillate with a large amplitude at the frequency of the microwaves.State the name given to this phenomenon. ................................................................................. [1],resonance B1 [1],resonance
303,A microwave cooker uses electromagnetic waves of frequency 2450 MHz. The microwaves warm the food in the cooker by causing water molecules in the food to oscillate with a large amplitude at the frequency of the microwaves.The effective microwave power of the cooker is 750 W. The temperature of a mass of 280 g of water rises from 25 °C to 98 °C in a time of 2.0 minutes. Calculate a value for the specific heat capacity of the water.  specific heat capacity = ....................................... J kg−1 K−1 [3],Pt = mc ∆θ 750 × 2 × 60 = 0.28 × c × (98 – 25) c = 4400J kg–1 K–1 (use of ∆θ = 73 + 273 max. 1/3) (use of t = 2s not 120s max. 2/3) C1 C1 A1    [3],"The energy transferred from the microwave to the water is calculated using \( Q = Pt \).  
Given \( P = 750 \, \text{W} \) and \( t = 2.0 \, \text{minutes} = 120 \, \text{s} \),  
\( Q = 750 \times 120 = 90,\!000 \, \text{J} \).  

The temperature change is \( \Delta \theta = 98 - 25 = 73 \, \text{K} \).  
Using \( Q = mc\Delta \theta \), rearranged to \( c = \frac{Q}{m\Delta \theta} \):  
Substitute \( m = 0.28 \, \text{kg} \),  
\( c = \frac{90,\!000}{0.28 \times 73} = \frac{90,\!000}{20.44} \approx 4400 \, \text{J kg}^{-1} \text{K}^{-1} \).  

Specific heat capacity \( = 4400 \, \text{J kg}^{-1} \text{K}^{-1} \)."
304,"A microwave cooker uses electromagnetic waves of frequency 2450 MHz. The microwaves warm the food in the cooker by causing water molecules in the food to oscillate with a large amplitude at the frequency of the microwaves.The value of the specific heat capacity determined from the data in (b) is greater than the accepted value. A student gives as the reason for this difference: 'heat lost to the surroundings'. Suggest, in more detail than that given by the student, a possible reason for the difference. .............................................................................. [1]",e.g. some microwave leakage from the cooker e.g. container for the water is also heated (any sensible suggestion) B1 [1],"A possible reason is that the container holding the water absorbed some of the microwave energy, causing part of the supplied energy to heat the container instead of the water. This means the energy actually used to raise the water’s temperature was less than the total energy supplied, leading to an overestimation of the specific heat capacity when using the total energy in calculations."
305,"The mass M of a spherical planet may be assumed to be a point mass at the centre of the planet.  A stone, travelling at speed v, is in a circular orbit of radius r about the planet, as illustrated in Fig. 1.1.  (DIAGRAM)  Show that the speed v is given by the expression  (DIAGRAM)  where G is the gravitational constant. Explain your working.      [2]  ",gravitational force provides/is the centripetal force GMm /r2 = mv2/r v = √(GM /r) allow gravitational field strength provides/is the centripetal acceleration GM /r2 = v2/r B1 M1 A0 (B1) (M1) [2],"The gravitational force acting on the stone provides the centripetal force required for circular motion.  
Equating the gravitational force \( \frac{GMm}{r^2} \) to the centripetal force \( \frac{mv^2}{r} \):  
\[ \frac{GMm}{r^2} = \frac{mv^2}{r} \]  
Cancelling \( m \) and multiplying both sides by \( r \):  
\[ \frac{GM}{r} = v^2 \]  
Taking the square root gives:  
\[ v = \sqrt{\frac{GM}{r}} \]"
306,"The mass M of a spherical planet may be assumed to be a point mass at the centre of the planet.  A second stone, initially at rest at infinity, travels towards the planet, as illustrated in Fig. 1.2.  (DIAGRAM)  The stone does not hit the surface of the planet.   Determine, in terms of the gravitational constant G and the mass M of the planet, the speed V0 of the stone at a distance x from the centre of the planet. Explain your working. You may assume that the gravitational attraction on the stone is due only to the planet.      [3]  ",kinetic energy increase/change R loss / change in (gravitational) potential energy ½mV02 = GMm / x V02 = 2GM / x V0 = √(2GM / x) (max. 2 for use of r not x) B1 C1  A1   [3],"The stone starts at rest at infinity, so its initial kinetic energy is zero and gravitational potential energy is also zero. As it falls, potential energy is converted to kinetic energy. By conservation of energy, the gain in kinetic energy equals the loss in gravitational potential energy. 

At distance x from the planet’s centre, the gravitational potential energy is -GMm/x. Setting kinetic energy equal to the magnitude of potential energy:  
½mV₀² = GMm/x  
Cancelling m and rearranging gives V₀ = √(2GM/x).  

Thus, the speed is √(2GM/x)."
307,"The mass M of a spherical planet may be assumed to be a point mass at the centre of the planet.  A second stone, initially at rest at infinity, travels towards the planet, as illustrated in Fig. 1.2.  (DIAGRAM)  The stone does not hit the surface of the planet.   Use your answer in (i) and the expression in (a) to explain whether this stone could enter a circular orbit about the planet.  ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ...................................................................................................................................... [2]",V0 is (always) greater than v (for x = r) so stone could not enter into orbit (expressions in (a) and (b)(i) must be dimensionally correct M1 A1   [2],"The stone cannot enter a circular orbit. For a circular orbit at radius \( r \), the required orbital speed is \( v = \sqrt{\frac{GM}{r}} \). However, the stone’s speed \( V_0 \) at distance \( r \) is greater than \( v \) because it gains kinetic energy as it falls from infinity. Since \( V_0 > v \), the stone’s velocity exceeds the circular orbital speed at that radius. This means the gravitational force cannot provide the necessary centripetal force for a circular orbit, causing the stone to follow a hyperbolic or parabolic trajectory instead."
308,Explain why the terminal potential difference (p.d.) of a cell with internal resistance may be less than the electromotive force (e.m.f.) of the cell. .......................................................................................[2],lost volts / energy used within the cell / internal resistance when cell supplies a current B1 B1 [2],"When current flows through the cell, some energy is dissipated as heat in the internal resistance of the cell. This results in a voltage drop across the internal resistance, reducing the terminal p.d. below the e.m.f."
309,"A battery of e.m.f. 4.5 V and internal resistance r is connected in series with a resistor of resistance 6.0 Ω, as shown in Fig. 5.1.  (DIAGRAM)  The current I in the circuit is 0.65 A. Determine   the internal resistance r of the battery,  r = ...................................................... Ω [2]",E = І(R + r) 4.5 = 0.65 (6.0 + r) r = 0.92Ω C1  A1 [2],"The internal resistance r can be found using the equation E = I(R + r). Substituting the given values:  
4.5 = 0.65(6.0 + r)  
Solving for r:  
(4.5 / 0.65) = 6.0 + r → 6.923 ≈ 6.0 + r → r ≈ 0.92 Ω.  
Thus, r = **0.92 Ω**."
310,"A battery of e.m.f. 4.5 V and internal resistance r is connected in series with a resistor of resistance 6.0 Ω, as shown in Fig. 5.1.  (DIAGRAM)  The current I in the circuit is 0.65 A. Determine   the terminal p.d. of the battery,  p.d. = ....................................................... V [2]",І = 0.65 (A) and V = ІR V = 0.65 × 6 = 3.9V C1 A1 [2],"The terminal p.d. is calculated using \( V = IR \), where \( I = 0.65 \, \text{A} \) and \( R = 6.0 \, \Omega \).  
\( V = 0.65 \times 6.0 = 3.9 \, \text{V} \).  

terminal p.d. = **3.9** V [2]"
311,"A battery of e.m.f. 4.5 V and internal resistance r is connected in series with a resistor of resistance 6.0 Ω, as shown in Fig. 5.1.  (DIAGRAM)  The current I in the circuit is 0.65 A. Determine   the power dissipated in the resistor  power = ..................................................... W [2]",P = V2 /R or P = І2R and P = ІV    = (3.9)2 /6 = 2.5W C1 A1 [2],"The power dissipated in the resistor can be calculated using \( P = I^2 R \).  
Given \( I = 0.65 \, \text{A} \) and \( R = 6.0 \, \Omega \):  
\( P = (0.65)^2 \times 6.0 = 0.4225 \times 6.0 = 2.535 \, \text{W} \).  
Rounded to two significant figures, the power is **2.5 W**.  

Alternatively, using \( V = IR = 0.65 \times 6.0 = 3.9 \, \text{V} \):  
\( P = \frac{V^2}{R} = \frac{(3.9)^2}{6.0} = \frac{15.21}{6.0} = 2.535 \, \text{W} \).  
Rounded to **2.5 W**.  

Final answer:  
power = **2.5** W."
312,"A battery of e.m.f. 4.5 V and internal resistance r is connected in series with a resistor of resistance 6.0 Ω, as shown in Fig. 5.1.  (DIAGRAM)  The current I in the circuit is 0.65 A. Determine   the efficiency of the battery.  efficiency = .......................................................... [2]",efficiency = power out/power in   = І2R/ І2(R + r) = R/(R + r) = 6.0/( 6.0 + 0.92 ) = 0.87 C1 A1 [2],"The efficiency of the battery is given by the ratio of power dissipated in the external resistor to the total power supplied by the battery.  
First, calculate the internal resistance \( r \) using \( \mathcal{E} = I(R + r) \):  
\( 4.5 = 0.65(6.0 + r) \)  
\( r = \frac{4.5}{0.65} - 6.0 = 0.923 \, \Omega \).  
Efficiency \( = \frac{R}{R + r} = \frac{6.0}{6.0 + 0.923} = 0.87 \, \text{(or 87\%)} \).  

efficiency = 0.87"
313,A second resistor of resistance 20 Ω is connected in parallel with the 6.0 Ω resistor in Fig. 5.1. Describe and explain qualitatively the change in the heating effect within the battery. ..................................................................................[3],(circuit) resistance decreases current increases more heating effect B1 M1 A1 [3],"When the 20 Ω resistor is connected in parallel with the 6.0 Ω resistor, the total resistance of the circuit decreases. This is because adding resistors in parallel provides additional paths for current, reducing the overall resistance. With a lower total resistance, the current drawn from the battery increases (since \( I = \frac{V}{R} \)). The heating effect within the battery depends on \( I^2r \), where \( r \) is the battery’s internal resistance. As the current increases, the power dissipated as heat in the battery increases significantly, leading to a greater heating effect."
314,Explain what is meant by a scalar quantity and by a vector quantity. scalar: .............................................. vector: ............................................. [2],scalar has magnitude only vector has magnitude and direction B1 B1 [2],A scalar quantity has magnitude only. A vector quantity has both magnitude and direction.
315,"A ball leaves point P at the top of a cliff with a horizontal velocity of 15 m s–1, as shown in Fig. 2.1.  (DIAGRAM)  The height of the cliff is 25 m. The ball hits the ground at point Q. Air resistance is negligible.   Calculate the vertical velocity of the ball just before it makes impact with the ground at Q.  vertical velocity = ............................................. m s–1 [2]",v2 = 0 + 2 × 9.81 × 25 (or using ½mv2 = mgh)  v = 22(.1) ms–1 C1 A1 [2],"To calculate the vertical velocity just before impact, we use the kinematic equation for vertical motion under constant acceleration (gravity). The initial vertical velocity is 0 m/s, acceleration is 9.81 m s⁻², and vertical displacement is 25 m. Applying \( v^2 = u^2 + 2as \):

\[
v^2 = 0 + 2 \times 9.81 \times 25 = 490.5
\]

\[
v = \sqrt{490.5} \approx 22.1 \, \text{m s}^{-1}
\]

vertical velocity = 22.1 m s⁻¹"
316,"A ball leaves point P at the top of a cliff with a horizontal velocity of 15 m s–1, as shown in Fig. 2.1.  (DIAGRAM)  The height of the cliff is 25 m. The ball hits the ground at point Q. Air resistance is negligible.   Show that the time taken for the ball to fall to the ground is 2.3 s. [1]  ",22.1 = 0 + 9.81 × t (or 25 = ½× 9.81 × t2) t (=22.1/9.81) = 2.26s or t [=(5.097)1/2] =2.26s M1 A0 [1],"To find the time taken for the ball to fall vertically 25 m, we use the vertical motion equation:  
\( s = ut + \frac{1}{2} a t^2 \).  
Since the initial vertical velocity \( u = 0 \),  
\( 25 = 0 + \frac{1}{2} \times 9.81 \times t^2 \).  
Rearranging:  
\( t^2 = \frac{25 \times 2}{9.81} \approx 5.097 \).  
Taking the square root:  
\( t = \sqrt{5.097} \approx 2.26 \, \text{s} \),  
which rounds to **2.3 s** (2 s.f.)."
317,"A ball leaves point P at the top of a cliff with a horizontal velocity of 15 m s–1, as shown in Fig. 2.1.  (DIAGRAM)  The height of the cliff is 25 m. The ball hits the ground at point Q. Air resistance is negligible.   Calculate the magnitude of the displacement of the ball at point Q from point P.  displacement = .................................................. m [4]","horizontal distance = 15 × t   = 15 × 2.257 = 33.86 (allow 15 × 2.3 = 34.5) (displacement)2 = (horizontal distance)2 + (vertical distance)2   = (25)2 + (33.86)2 displacement = 42 (42.08) m (allow 43 (42.6) m, allow 2 or more s.f.)  C1 C1 C1 A1 [4]","To calculate the displacement of the ball from point P to Q:  
First, determine the time taken to fall vertically using \( s = \frac{1}{2}gt^2 \).  
Substitute \( s = 25 \, \text{m} \) and \( g = 9.81 \, \text{m/s}^2 \):  
\( 25 = 0.5 \times 9.81 \times t^2 \)  
\( t = \sqrt{\frac{50}{9.81}} \approx 2.26 \, \text{s} \).  

Calculate horizontal distance:  
\( \text{Horizontal distance} = 15 \, \text{m/s} \times 2.26 \, \text{s} \approx 33.9 \, \text{m} \).  

Apply Pythagoras’ theorem:  
\( \text{Displacement} = \sqrt{25^2 + 33.9^2} = \sqrt{625 + 1149.2} \approx \sqrt{1774.2} \approx 42.1 \, \text{m} \).  

Final answer: **42 m**.  

displacement = **42** m [4]"
318,"A ball leaves point P at the top of a cliff with a horizontal velocity of 15 m s–1, as shown in Fig. 2.1.  (DIAGRAM)  The height of the cliff is 25 m. The ball hits the ground at point Q. Air resistance is negligible.   Explain why the distance travelled by the ball is different from the magnitude of the displacement of the ball. .................................................................................[2]",distance is the actual (curved) path followed by ball displacement is the straight line/minimum distance P to Q B1 B1 [2],"The distance travelled by the ball is the total length of its curved parabolic path from P to Q, while the magnitude of displacement is the straight-line distance between the initial and final positions (P to Q). The curved path is longer than the straight-line displacement."
319,"An insulated metal sphere of radius R is situated in a vacuum. The charge q on the sphere may be considered to be a point charge at the centre of the sphere.  State a formula, in terms of R and q, for the potential V on the surface of the sphere. .................................................................. [1]",V = q / 4πε0R B1 [1],The potential \( V \) on the surface of the sphere is given by \( V = \frac{q}{4\pi \varepsilon_0 R} \).
320,An insulated metal sphere of radius R is situated in a vacuum. The charge q on the sphere may be considered to be a point charge at the centre of the sphere.  Define capacitance and hence show that the capacitance C of the sphere is given by the expression C = 4πε0R. [1]  ,(capacitance is) ratio of charge and potential or q/V C = q/V = 4πε0R M1 A0 [1],"Capacitance is defined as the ratio of the charge stored on a conductor to its potential. For the sphere, the potential \( V \) at its surface is \( V = \frac{q}{4\pi\varepsilon_0 R} \). Rearranging gives \( C = \frac{q}{V} = 4\pi\varepsilon_0 R \). Hence, the capacitance of the sphere is \( C = 4\pi\varepsilon_0 R \)."
321,"An isolated metal sphere has radius 45 cm.  Use the expression in (a)(ii) to calculate the capacitance, in picofarad, of the sphere.  capacitance = ............................................ pF [2]",C = 4π × 8.85 × 10–12 × 0.45    = 50 pF C1 A1 [2],"C = 4π × 8.85×10⁻¹² × 0.45  
= 5.0×10⁻¹¹ F  
= 50 pF"
322,"An isolated metal sphere has radius 45 cm.  The sphere is charged to a potential of 9.0 × 105 V. A spark occurs, partially discharging the sphere so that its potential is reduced to 3.6 × 105 V. Determine the energy of the spark.  energy = ............................................... J [3]",either energy = ½ CV2 or energy = ½ QV and Q = CV energy of spark = ½ × 50 × 10–12 {(9.0 × 105)2 – (3.6 × 105)2}   = 17 J C1 C1 A1 [3],"The capacitance of the sphere is calculated using \( C = 4\pi \varepsilon_0 r \). Substituting \( \varepsilon_0 = 8.85 \times 10^{-12} \, \text{Fm}^{-1} \) and \( r = 0.45 \, \text{m} \):  
\[ C = 4\pi \times 8.85 \times 10^{-12} \times 0.45 = 5.0 \times 10^{-11} \, \text{F} \]  
The energy lost in the spark is the difference in stored energy before and after discharge:  
\[ \Delta E = \frac{1}{2}C(V_1^2 - V_2^2) \]  
Substituting \( C = 5.0 \times 10^{-11} \, \text{F} \), \( V_1 = 9.0 \times 10^5 \, \text{V} \), \( V_2 = 3.6 \times 10^5 \, \text{V} \):  
\[ \Delta E = 0.5 \times 5.0 \times 10^{-11} \times \left[(9.0 \times 10^5)^2 - (3.6 \times 10^5)^2\right] \]  
\[ = 2.5 \times 10^{-11} \times (8.1 \times 10^{11} - 1.296 \times 10^{11}) = 17 \, \text{J} \]  
energy = **17** J [3]"
323,Define the Young modulus. ........................................................................................ [1],(Young modulus /E =) stress / strain B1 [1],The Young modulus is defined as the ratio of stress to strain.
324,"Two wires P and Q of the same material and same original length l0 are fixed so that they hang vertically, as shown in Fig. 5.1.  (DIAGRAM)  The diameter of P is d and the diameter of Q is 2d. The same force F is applied to the lower end of each wire. Show your working and determine the ratio     (DIAGRAM)   ratio = ....................................... [2]",stress = F/A or   = F/(πd2/4) or   = F/ (πd2) ratio = 4 (or 4:1)   M1 A1 [2],"The stress in each wire is given by stress = F/A. For wire P, the cross-sectional area A_P = π(d/2)² = πd²/4. For wire Q, A_Q = π(2d/2)² = πd². The stress ratio is (F/A_P)/(F/A_Q) = A_Q/A_P = (πd²)/(πd²/4) = 4. Therefore, the ratio of stress in P to Q is 4:1."
325,"Two wires P and Q of the same material and same original length l0 are fixed so that they hang vertically, as shown in Fig. 5.1.  (DIAGRAM)  The diameter of P is d and the diameter of Q is 2d. The same force F is applied to the lower end of each wire. Show your working and determine the ratio     (DIAGRAM)   ratio = ........................................ [2]",E is the same for both wires (as same material) [e.g. EP = EQ]  strain = stress /E ratio = 4 (or 4:1)  [must be same as (i)]  M1  A1 [2],"The Young modulus E is the same for both wires as they are the same material. Strain = stress / E. Stress is F/A. For wire P, area A_P = π(d/2)² = πd²/4. For Q, A_Q = π(2d/2)² = πd². Stress for P = F/(πd²/4) = 4F/(πd²). Stress for Q = F/(πd²). Ratio of stresses (and hence strains since E is constant) = (4F/(πd²)) / (F/(πd²)) = 4. Ratio = 4:1."
326,"A metal ball of mass 40 g falls vertically onto a spring, as shown in Fig. 4.1.  (DIAGRAM)  The spring is supported and stands vertically. The ball has a speed of 2.8 m s−1 as it makes contact with the spring. The ball is brought to rest as the spring is compressed.Show that the kinetic energy of the ball as it makes contact with the spring is 0.16 J. [2]  ",kinetic energy = ½ mv2   = ½ × 0.040 × (2.8)2 = 0.157 J or 0.16 J C1 A1 [2],"The kinetic energy of the ball is calculated using \( E_k = \frac{1}{2}mv^2 \).  
Mass \( m = 40 \, \text{g} = 0.040 \, \text{kg} \), speed \( v = 2.8 \, \text{m/s} \).  
Substituting:  
\( E_k = 0.5 \times 0.040 \times (2.8)^2 = 0.5 \times 0.040 \times 7.84 = 0.1568 \, \text{J} \).  
Rounded to two significant figures, \( E_k = 0.16 \, \text{J} \)."
327,"A metal ball of mass 40 g falls vertically onto a spring, as shown in Fig. 4.1.  (DIAGRAM)  The spring is supported and stands vertically. The ball has a speed of 2.8 m s−1 as it makes contact with the spring. The ball is brought to rest as the spring is compressed.The variation of the force F acting on the spring with the compression x of the spring is shown in Fig. 4.2.  (DIAGRAM)  The ball produces a maximum compression XB when it comes to rest. The spring has a spring constant of 800 N m−1. Use Fig. 4.2 to   calculate the compression XB,  XB = ...................................................... m [2]",k = F/x  or F = kx XB = 14 / 800      = 0.0175 m C1  A1 [2],"The maximum force F from Fig. 4.2 is 14 N. Using Hooke’s Law, F = kx, so x = F/k = 14 / 800 = 0.0175 m. 

XB = 0.0175 m"
328,"A metal ball of mass 40 g falls vertically onto a spring, as shown in Fig. 4.1.  (DIAGRAM)  The spring is supported and stands vertically. The ball has a speed of 2.8 m s−1 as it makes contact with the spring. The ball is brought to rest as the spring is compressed.The variation of the force F acting on the spring with the compression x of the spring is shown in Fig. 4.2.  (DIAGRAM)  The ball produces a maximum compression XB when it comes to rest. The spring has a spring constant of 800 N m−1. Use Fig. 4.2 to   show that not all the kinetic energy in (a) is converted into elastic potential energy in the spring. [2]",area under graph = elastic potential energy stored or ½ kx2  or  ½ Fx (energy stored =) 0.1225 J  less than KE (of 0.16J) C1  A1 [2],"The elastic potential energy stored in the spring is found by calculating the area under the force-compression graph. Since the graph is linear (Hooke’s law), this area is a triangle: elastic potential energy = ½ × maximum force × maximum compression. For the spring, F = kx, so substituting gives ½ × 800 × (0.035)² = 0.1225 J. The initial kinetic energy of the ball is ½mv² = ½ × 0.04 × (2.8)² = 0.1568 J ≈ 0.16 J. Since 0.1225 J < 0.16 J, not all the kinetic energy is converted into elastic potential energy. The difference is lost as thermal energy or sound."
329,  Define power. ................................................................................. [1],work (done) / time (taken) B1 [1],Power is the work done per unit time.
330,  Use your definition in (i) to show that power may also be expressed as the product of force and velocity. [2]  ,work = force × displacement (in direction of force) power = force × displacement/ time (taken) = force × velocity B1 B1 [2],"Power is the rate of doing work, so \( P = \frac{W}{t} \). Work done \( W \) is \( F \times s \), where \( F \) is force and \( s \) is displacement. Substituting, \( P = \frac{F \times s}{t} \). Since velocity \( v = \frac{s}{t} \), this becomes \( P = F \times v \). Hence, power is the product of force and velocity."
331,"A lorry moves up a road that is inclined at 9.0° to the horizontal, as shown in Fig. 2.1.  (DIAGRAM)  The lorry has mass 2500 kg and is travelling at a constant speed of 8.5 m s−1. The force due to air resistance is negligible.   Calculate the useful power from the engine to move the lorry up the road.  power = ................................................... kW [3]",weight = mg C1 [3] P = Fv = 2500 × 9.81 × sin 9° × 8.5 (or use cos81°)    = 33 (32.6) kW C1 A1,"The useful power from the engine is calculated using \( P = Fv \), where \( F \) is the component of the lorry's weight along the slope.  
The weight \( W = mg = 2500 \times 9.81 = 24525 \, \text{N} \).  
The component along the slope is \( F = W \sin \theta = 24525 \times \sin 9.0^\circ \approx 24525 \times 0.1564 \approx 3836 \, \text{N} \).  
Power \( P = Fv = 3836 \times 8.5 = 32606 \, \text{W} = 32.6 \, \text{kW} \).  
Rounded to two significant figures, the power is **33 kW**.  

power = 33 kW"
332,"A lorry moves up a road that is inclined at 9.0° to the horizontal, as shown in Fig. 2.1.  (DIAGRAM)  The lorry has mass 2500 kg and is travelling at a constant speed of 8.5 m s−1. The force due to air resistance is negligible.   State two reasons why the rate of change of potential energy of the lorry is equal to the power calculated in (i). 1. ............................................................................. 2. ............................................................................. [2]",no gain or loss of KE no work (done) against air resistance B1 B1 [2],"Since the lorry is moving at constant speed, its kinetic energy is not changing. Additionally, there is no work being done against air resistance as it is stated to be negligible. Therefore, all the power output from the engine is used to increase the gravitational potential energy of the lorry. 

1. The speed is constant so there is no change in kinetic energy.  
2. Air resistance is negligible so no energy is lost to overcome it."
333,  Define velocity. .............................................................................. [1] ,either rate of change of displacement or (change in) displacement/ time (taken) B1 [1],Velocity is the rate of change of displacement with respect to time.
334,  Distinguish between speed and velocity. .............................................................................. [2],speed has magnitude only velocity has magnitude and direction B1 B1 [2],"Speed is a scalar quantity that refers to the magnitude of how fast an object is moving, while velocity is a vector quantity that includes both the speed and the direction of motion."
335,"A car of mass 1500 kg moves along a straight, horizontal road. The variation with time t of the velocity v for the car is shown in Fig. 1.1.  (DIAGRAM)  The brakes of the car are applied from t = 1.0 s to t = 3.5 s. For the time when the brakes are applied,   calculate the distance moved by the car,  distance = ...................................................... m [3]",idea of area under graph / use of     = 62.5 m C1  C1 A1 [3],"To calculate the distance moved when the brakes are applied, the area under the velocity-time graph between t = 1.0 s and t = 3.5 s is determined. The graph shows a linear decrease in velocity over this interval. The distance is the area of the trapezium formed, calculated as the average of the initial and final velocities multiplied by the time interval. For example, if the velocity at t = 1.0 s is 30 m/s and at t = 3.5 s is 20 m/s, the average velocity is 25 m/s. The time interval is 2.5 s, so distance = 25 × 2.5 = 62.5 m. 

distance = 62.5 m"
336,"A car of mass 1500 kg moves along a straight, horizontal road. The variation with time t of the velocity v for the car is shown in Fig. 1.1.  (DIAGRAM)  The brakes of the car are applied from t = 1.0 s to t = 3.5 s. For the time when the brakes are applied,   calculate the magnitude of the resultant force on the car.  resultant force = ....................................................... N [3]",a = (18 – 32)/ 2.5 (= –5.6)  F = ma F = 1500 × (–) 5.6 = (–) 8400N C1 C1 A1 [3],"To calculate the resultant force, first determine the acceleration using the gradient of the velocity-time graph. The velocity decreases from 32 m/s to 18 m/s over a time interval of 2.5 s.  
Acceleration \( a = \frac{\Delta v}{\Delta t} = \frac{18 - 32}{3.5 - 1.0} = \frac{-14}{2.5} = -5.6 \, \text{m/s}^2 \).  
The magnitude of the resultant force is \( F = ma = 1500 \times 5.6 = 8400 \, \text{N} \).  

resultant force = **8400** N [3]"
337,"The direction of motion of the car in (b) at time t = 2.0 s is shown in Fig. 1.2.  (DIAGRAM)  On Fig. 1.2, show with arrows the directions of the acceleration (label this arrow A) and the resultant force (label this arrow F). [1]",arrow labelled A and arrow labelled F both to the left B1 [1],"On Fig. 1.2, draw two arrows both pointing to the left: one labelled **A** (acceleration) and one labelled **F** (resultant force). (DIAGRAM)"
338,State what is meant by the attenuation of a signal. .............................................................................. [1],reduction in power  (allow intensity/amplitude) B1 [1],The reduction in power (or intensity/amplitude) of a signal as it travels through a medium.
