,question,explanation,answer,index
864,"Some gas, initially at a temperature of 27.2 °C, is heated so that its temperature rises to 38.8 °C. Calculate, in kelvin, to an appropriate number of decimal places,   the rise in temperature.  rise in temperature = ............................................ K [1]",  Final temperature: 38.8 + 273.15 = 311.95  ∆T = 311.95 - 300.35 = 11.6 K,11.6 K A1 [1],"(281, 'a.ii')"
865,The pressure p of an ideal gas is given by the expression          p = ⅓ρ<c2> where ρ is the density of the gas.    State the meaning of the symbol <c2>. ......................................................................[1],  <c2> is the mean square speed,(<c2> is the) mean / average square speed B1 [1],"(281, 'b.i')"
866,The pressure p of an ideal gas is given by the expression          p = ⅓ρ<c2> where ρ is the density of the gas.    Use the expression to show that the mean kinetic energy <EK> of the atoms of an ideal gas is given by the expression        <EK> =  (DIAGRAM) kT.  Explain any symbols that you use. ............................................................................... [4],"  p = (1/3)ρ<c2>, where ρ = Nm/V and N = number of molemules, m = mass of one nolecule and V = volume of gas.  So p = (1/3)(Nm/V)<c2>  ∴ pV = (1/3)Nm<c2>, but pV = NkT, k = Boltzman constant with k = R/NA  So (1/3)Nm<c2> = NkT  ∴ (1/2)m<c2> = (3/2)kT where (1/2)m<c2> = <EK>  ∴ <EK> = (3/2)kT","ρ = Nm/V with N explained so, pV = 1/3 Nm<c2> and pV = NkT with k explained so mean kinetic energy / <Ek> = ½m<c2> = 3/2 kT B1 B1 B1 B1 [4]","(281, 'b.ii')"
867,"Helium-4 may be assumed to behave as an ideal gas.  A cylinder has a constant volume of 7.8 × 103 cm3 and contains helium-4 gas at a pressure of 2.1 × 107 Pa and at a temperature of 290 K.  Calculate, for the helium gas,   the amount of gas,  amount = ......................................... mol [2]",  Use pV = nRT  (2.1 × 107)(7.8 × 103 × 10-6) = n(8.31)(290)  ∴ n = 67.97 = 68 mol,pV = nRT 2.1 × 107 × 7.8 × 10–3 = n × 8.3 × 290 n = 68 mol  C1 A1 [2],"(281, 'c.i')"
868,"Helium-4 may be assumed to behave as an ideal gas.  A cylinder has a constant volume of 7.8 × 103 cm3 and contains helium-4 gas at a pressure of 2.1 × 107 Pa and at a temperature of 290 K.  Calculate, for the helium gas,   the mean kinetic energy of the atoms,  amount = ......................................... mol [2]",  <EK> = (3/2)kT = (3/2)(1.38 × 10-23)(290) = 6 × 10-21 J,mean kinetic energy = 3/2 kT  = 3/2 × 1.38 × 10–23 × 290  = 6.0 × 10–21 J  C1 A1 [2],"(281, 'c.ii')"
869,"Helium-4 may be assumed to behave as an ideal gas.  A cylinder has a constant volume of 7.8 × 103 cm3 and contains helium-4 gas at a pressure of 2.1 × 107 Pa and at a temperature of 290 K.  Calculate, for the helium gas,   the total internal energy.  amount = ......................................... mol [2]",  Total internal energy = total kinetic energy (Note: ideal gas)  Per atom: 6 × 10-21 J  68 mol: 68 × 6.02 × 1023 atoms  ∴ total K.E. = 68 × 6.02 × 1023 × 6 × 10-21 = 245616 J = 2.46 × 105 J,realisation that total internal energy is the total kinetic energy energy = 6.0 × 10–21 × 68 × 6.02 × 1023 = 2.46 × 105 J C1 C1 A1 [3],"(281, 'c.iii')"
870,"The planet Mars may be considered to be an isolated sphere of diameter 6.79 × 106 m with its mass of 6.42 × 1023 kg concentrated at its centre.  A rock of mass 1.40 kg rests on the surface of Mars. For this rock,  determine its weight,  weight = ............................................ N [3]",  weight = GMm/r2  = (6.67 × 10-11 × 6.42 × 1023 × 1.40)/[(1/2) × 6.79 × 106]2  = 5.20 N,weight = GMm/r2  = (6.67 × 10–11 × 6.42 × 1023 × 1.40)/(½ × 6.79 × 106)2  = 5.20 N C1 C1 A1 [3],"(282, 'a.i')"
871,"The planet Mars may be considered to be an isolated sphere of diameter 6.79 × 106 m with its mass of 6.42 × 1023 kg concentrated at its centre.  A rock of mass 1.40 kg rests on the surface of Mars. For this rock,  show that its gravitational potential energy is –1.77 × 107 J.  [2]  ",  Potential energy = -GMm/r  = -(6.67 × 10-11 × 6.42 × 1023 × 1.40)/[(1/2) × 6.79 × 106]  = -1.77 × 107J,potential energy = –GMm/r  = –(6.67 × 10–11 × 6.42 × 1023 × 1.40)/(½ × 6.79 × 106)  = –1.77 × 107 J  C1 M1 A0 [2],"(282, 'a.ii')"
872,"The planet Mars may be considered to be an isolated sphere of diameter 6.79 × 106 m with its mass of 6.42 × 1023 kg concentrated at its centre.  A rock of mass 1.40 kg rests on the surface of Mars. For this rock,Use the information in (a)(ii) to determine the speed at which the rock must leave the surface of Mars so that it will escape the gravitational attraction of the planet.  speed = ....................................... m s–1 [3]",either: (1/2)mv2 = 1.77 × 107  v2 = (1.77 × 107 × 2)/1.40  v = 5.03 × 103 m/s  or: (1/2)mv2 = GMm/r  v2 = (2 × 6.67 × 10-11 × 6.42 × 1023)/[6.79 × 106/2]  v = 5.03 × 103 m/s,either ½mv2 = 1.77 × 107   v2 = (1.77 × 107 × 2)/1.40   v = 5.03 × 103 m s–1 C1 C1 A1 [3] or ½mv2 = GMm/r   v2 = (2 × 6.67 × 10–11 × 6.42 × 1023)/(6.79 × 106/2)   v = 5.02 × 103 m s–1 (C1) (C1) (A1)  ,"(282, 'b')"
873,"The planet Mars may be considered to be an isolated sphere of diameter 6.79 × 106 m with its mass of 6.42 × 1023 kg concentrated at its centre.  A rock of mass 1.40 kg rests on the surface of Mars. For this rock,The mean translational kinetic energy <Ek> of a molecule of an ideal gas is given by the expression          <Ek> =  (DIAGRAM) kT where T is the thermodynamic temperature of the gas and k is the Boltzmann constant.   Determine the temperature at which the root-mean-square (r.m.s.) speed of hydrogen molecules is equal to the speed calculated in (b). Hydrogen may be assumed to be an ideal gas. A molecule of hydrogen has a mass of 2 u.  temperature = ............................................. K [2]",  Use (1/2)m<c2> = (3/2)kT  u = 1.66 × 10-27 kg  ∴ (1/2) × 2 × 1.66 × 10-27<c2> = (3/2) × 1.38 × 10-23 × T  Since r.m.s. speed of hydrogen molecules is equal to the speed calculated in (b)  ∴ c = 5.03 × 103  ∴ (1/2) × 2 × 1.66 × 10-27<5.03 × 103> = (3/2) × 1.38 × 10-23 × T  ∴ T = 2028.96 K  Temperature = 2030 K,½ × 2 × 1.66 × 10–27 × (5.03 × 103)2 =  × 1.38 × 10–23 × T T = 2030 K C1 A1 [2],"(282, 'c.i')"
874,"The planet Mars may be considered to be an isolated sphere of diameter 6.79 × 106 m with its mass of 6.42 × 1023 kg concentrated at its centre.  A rock of mass 1.40 kg rests on the surface of Mars. For this rock,The mean translational kinetic energy <Ek> of a molecule of an ideal gas is given by the expression          <Ek> =  (DIAGRAM) kT where T is the thermodynamic temperature of the gas and k is the Boltzmann constant.   State and explain one reason why hydrogen molecules may escape from Mars at temperatures below that calculated in (i). ........................................................................ [2]",  There is a range of speeds  Some molecules have a higher speed,either because there is a range of speeds   some molecules have a higher speed or some escape from point above planet surface   so initial potential energy is higher M1 A1 (M1) (A1) [2],"(282, 'c.ii')"
875,"The kinetic theory of gases is based on some simplifying assumptions. The molecules of the gas are assumed to behave as hard elastic identical spheres. State the assumption about ideal gas molecules based on   the nature of their movement, ....................................................................... [1]",  Molecules are in random motion,either   random motion or   constant velocity until hits wall/other molecule B1 [1],"(283, 'a.i')"
876,The kinetic theory of gases is based on some simplifying assumptions. The molecules of the gas are assumed to behave as hard elastic identical spheres. State the assumption about ideal gas molecules based on   their volume. ....................................................................... [2],  The volume of the molecules is negligible compared to the volume of the containing vessel,(total) volume of molecules is negligible compared to volume of containing vessel or radius/diameter of a molecule is negligible compared to the average intermolecular distance M1 A1  (M1) (A1) [2],"(283, 'a.ii')"
877,"A cube of volume V contains N molecules of an ideal gas. Each molecule has a component cX of velocity normal to one side S of the cube, as shown in Fig. 2.1.        (DIAGRAM)  The pressure p of the gas due to the component cX of velocity is given by the expression     pV = NmcX2 where m is the mass of a molecule. Explain how the expression leads to the relation     pV = ⅓Nm<c2> where <c2> is the mean square speed of the molecules. [3]  ","Detailed:  For a molecule moving with velocity c,  Pythagoras theorem in 3 dimensions gives the relation between c and the three components of velocity cx, cy and cz  i.e. c2 = cx2 + cy2 + cz2  Because we are dealing with a large number of molecules in random motion, the average value of the components in the x direction will be the same as for those in the y direction and z direction  ∴ taking the averages <cX2> = <cY2> = <cZ2> and <cX2> = (1/3)<c2>  the equation becomes pV = (1/3)Nm<c2>  Note: <cX2> means average value of cX2.","either  molecule has component of velocity in three directions or  c2 = cX2 + cY2 + cZ2 random motion and averaging, so <cX2> = <cY2> = <cZ2> <c2> = 3<cX2> so, pV = ⅓Nm<c2>  M1 M1 A1 A0 [3]","(283, 'b')"
878,The molecules of an ideal gas have a root-mean-square (r.m.s.) speed of 520 m s–1 at a temperature of 27 °C.  Calculate the r.m.s. speed of the molecules at a temperature of 100 °C.  r.m.s. speed = ....................................... m s–1 [3],We know <c2> ∝ T  ∴ crms ∝ √T  (Note: <c2> = 3kT/m)   (DIAGRAM)   r.m.s. speed = 580 m/s,<c2> ∝ T  or crms ∝ √T temperatures are 300K and 373K crms = 580 ms–1 (Do not allow any marks for use of temperature in units of ºC instead of K) C1 C1 A1   [3],"(283, 'c')"
879,"The product of the pressure ρ and the volume V of an ideal gas is given by the expression pV =  (DIAGRAM) Nm<c2> where m is the mass of one molecule of the gas.State the meaning of the symbol  N, ...............................................................[1]",  The total number of molecule,N: (total) number of molecules B1 [1],"(284, 'a.i')"
880,The product of the pressure ρ and the volume V of an ideal gas is given by the expression pV =  (DIAGRAM) Nm<c2> where m is the mass of one molecule of the gas.State the meaning of the symbol  <c2> ................................................................[1],  The mean square speed,<c2>: mean square speed/velocity B1 [1],"(284, 'a.ii')"
881,"The product of the pressure ρ and the volume V of an ideal gas is given by the expression pV =  (DIAGRAM) Nm<c2> where m is the mass of one molecule of the gas.The product pV is also given by the expression                          ρV = NkT. Deduce an expression, in terms of the Boltzmann constant k and the thermodynamic temperature T, for the mean kinetic energy of a molecule of the ideal gas. [2]  ",So (1/3)Nm<c2> = NkT  ∴ <c2> = 3kT/m  <Ec> = (1/2)m<c2>  ∴ (1/2)m(3kT/m) = (3/2)kT  Where <Ek> = mean KE of a molecule,pV = ⅓Nm<c2> = NkT (mean) kinetic energy = ½m<c2> algebra clear leading to ½m<c2> = (3/2)kT  C1 A1 [2],"(284, 'b')"
882,The product of the pressure ρ and the volume V of an ideal gas is given by the expression pV =  (DIAGRAM) Nm<c2> where m is the mass of one molecule of the gas.A cylinder contains 1.0 mol of an ideal gas.  The volume of the cylinder is constant. Calculate the energy required to raise the temperature of the gas by 1.0 kelvin.  energy = ............................................ J [2],"  for 1 molecule: Energy = (3/2)KT, T = 1 ∴ (3/2)K = (3/2)(1.38 × 10-23) = 2.07 × 10-23  1 mole: 6.02 × 1023 molecules  ∴ Energy required = 6.02 × 1023 × 2.07 × 10-23 = 12.4614 J  ∴ Energy = 12.5 J",either energy required = (3/2) × 1.38 × 10–23 × 1.0 × 6.02 × 1023   = 12.5 J  (12J if 2 s.f.) or energy = (3/2) × 8.31 × 1.0   = 12.5 J C1 A1 (C1) (A1) [2],"(284, 'c.i')"
883,The product of the pressure ρ and the volume V of an ideal gas is given by the expression pV =  (DIAGRAM) Nm<c2> where m is the mass of one molecule of the gas.A cylinder contains 1.0 mol of an ideal gas.  The volume of the cylinder is now allowed to increase so that the gas remains at constant pressure when it is heated. Explain whether the energy required to raise the temperature of the gas by 1.0 kelvin is now different from your answer in (i).  ..................................................................................[2],  Energy required is greater. This is because energy is needed to do work against the atmosphere.,energy is needed to push back atmosphere/do work against atmosphere so total energy required is greater M1 A1 [2],"(284, 'c.ii')"
884,The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.Show that the linear speed v of the satellite is given by the expression               (DIAGRAM)  [2]  ,Centripetal force is provided by the gravitational force  ∴ GMm/r2 = mv2/r  ∴ GM/r = v2  ∴ v = √(GM/r),centripetal force is provided by gravitational force mv2 / r = GMm / r2 hence v = √(GM / r) B1 B1 A0 [2],"(285, 'a')"
885,"The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.For this satellite, write down expressions, in terms of G, M, m and r, for  its kinetic energy,  kinetic energy = …………………………. [1]",  EK = (1/2)mv2 = (1/2)m(GM/r) = GMm/2r,EK (= ½mv2) = GMm / 2r B1 [1],"(285, 'b.i')"
886,"The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.For this satellite, write down expressions, in terms of G, M, m and r, for  its gravitational potential energy,  potential energy = …………………………. [1] ",  EP = -GMm/r,EP = - GMm / r B1 [1],"(285, 'b.ii')"
887,"The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.For this satellite, write down expressions, in terms of G, M, m and r, for  its total energy.  total energy = …………………………. [2]",  T = EK + EP = (GMm/2r) - (GMm/r)  = (GMm/r)[(1/2) - 1]  = -GMm/2r,ET = - GMm / r + GMm / 2r     = - GMm / 2r. C1 A1 [2] ,"(285, 'b.iii')"
888,"The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.The total energy of the satellite gradually decreases. State and explain the effect of this decrease on   the radius r of the orbit,  ............................................................................. [2]","  r decreases. As ET, the total energy decreases, -(GMm/2r) becomes more negative i.e. GMm/2r becomes larger  ∴ r must decrease",if ET decreases then - GMm / 2r becomes more negative or GMm / 2r becomes larger so r decreases M1 A1 [2],"(285, 'c.i')"
889,The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.The total energy of the satellite gradually decreases. State and explain the effect of this decrease on   the linear speed v of the satellite.  ............................................................................. [2],"  v increases. When r decreases, EK = GMm/2r increases i.e. the kinetic energy increases  Since KE = (1/2)mv2, v must increase",EK = GMm / 2r and r decreases so (EK and) v increases M1 A1 [2],"(285, 'c.ii')"
890,Define gravitational field strength. .......................................................................... [1],The gravitational field strength at a point is the gravitational force per unit mass at that point,force per unit mass (ratio idea essential)  B1 [1],"(287, 'a')"
891,A spherical planet has diameter 1.2 × 104 km. The gravitational field strength at the surface of the planet is 8.6 N kg–1. The planet may be assumed to be isolated in space and to have its mass concentrated at its centre. Calculate the mass of the planet.  mass = .......................................... kg [3],Use GMm/R2 = mg  ∴ g = GM/R2  ∴ M = gR2/G  = [(8.6)(0.6 × 107)2]/(6.67 × 10-4)  = 4.6417 × 1024 kg,g = GM / R2 8.6 × (0.6 × 107)2 = M × 6.67 × 10–11 M = 4.6 × 1024 kg C1 C1 A1 [3],"(287, 'b')"
892,"The gravitational potential at a point X above the surface of the planet in (b) is – 5.3 × 107 J kg–1. For point Y above the surface of the planet, the gravitational potential is – 6.8 × 107 J kg–1.   State, with a reason, whether point X or point Y is nearer to the planet. .................................................................... [2]",  Y is rearer to the planet. That's because potential at infinity = 0 and ∅x is closer to 0,either  potential decreases as distance from planet decreases or  potential zero at infinity and X is closer to zero or  potential α –1/r and Y more negative so point Y is closer to planet.   M1 A1 [2],"(287, 'c.i')"
893,"The gravitational potential at a point X above the surface of the planet in (b) is – 5.3 × 107 J kg–1. For point Y above the surface of the planet, the gravitational potential is – 6.8 × 107 J kg–1.   A rock falls radially from rest towards the planet from one point to the other. Calculate the final speed of the rock.  speed = ...................................... m s–1 [2]","  |∆∅| = 6.8 × 107 - 5.3 × 107 = 1.5 × 107 J  ∆Ep = m∆∅, ∆Ek = (1/2)mv2  Equating m∆∅ = (1/2)mv2  ∴ ∆∅ = (1/2)v2  ∴ v = √(2∆∅) = √(2 × 1.5 × 107) = 5477.22 m/s = 5.5 × 103 m/s",idea of ∆ϕ = ½v2 (6.8 – 5.3) × 107 = ½v2 v = 5.5 × 103 ms–1 C1  A1 [2],"(287, 'c.ii')"
894,"The Earth may be considered to be a uniform sphere of radius 6.38×103 km, with its mass concentrated at its centre.  Define gravitational field strength. ............................................................... [1]",  The gravitational field strength at a point is the gravitational force per unit mass at that point,force per (unit) mass ……(ratio idea essential) B1 [1],"(288, 'a.i')"
895,"The Earth may be considered to be a uniform sphere of radius 6.38×103 km, with its mass concentrated at its centre.  By considering the gravitational field strength at the surface of the Earth, show that the mass of the Earth is 5.99×1024 kg. [2]  ","  GMm/R2 = mg  ∴ g = GM/R2, M = mass of earth  ∴ M = gR2/G  = [(9.81)(6.38 × 106)2]/(6.67 × 10-11)  = 5.987 × 1024  = 5.99 × 1024 kg",g = GM / R2 9.81 = (6.67 × 10-11 × M) / (6.38 × 106)2 ……(all 3 s.f) M = 5.99 × 1024 kg C1 M1 A0 [2],"(288, 'a.ii')"
896,The Global Positioning System (GPS) is a navigation system that can be used anywhere on Earth. It uses a number of satellites that orbit the Earth in circular orbits at a distance of 2.22×104 km above its surface.  Use data from (a) to calculate the angular speed of a GPS satellite in its orbit.  angular speed = ..................................... rad s–1 [3],"  GMm/r2 = mrω2  ∴ GM = r3ω2, M = mass of earth  Note: r = 2.22 × 107 + 6.38 × 106 = 28580000   (DIAGRAM)   Angular speed = 1.3 × 10-4 rad/s",either  GM = ω2r3  or  gR2 = ω2r3 either  6.67 × 10-11 x 5.99 × 1024 = ω2 × (2.86 × 107)3 or  9.81 × (6.38 × 106)2 = ω2 × (2.86 × 107)3 ω = 1.3 × 10-4 rad s-1 (use of r = 2.22 × 107 m scores max 2 marks) C1  C1 A1   [3],"(288, 'b.i')"
897,The Global Positioning System (GPS) is a navigation system that can be used anywhere on Earth. It uses a number of satellites that orbit the Earth in circular orbits at a distance of 2.22×104 km above its surface.  Use your answer in (i) to show that the satellites are not in geostationary orbits. [3]  ,  ω = 2π/T  ∴ T = 2π/ω = 2π/(1.3 × 10-4) = 48332 s = 13.4 hours  Period for geostationary orbit = 24 hours  ∴ Satellites not in geostationary orbits,period of orbit = 2π / ω    = 4.8 × 104 s (= 13.4 hours) period for geostationary satellite is 24 hours (= 8.6 × 104 s) so no C1 A1 A1 A0 [3],"(288, 'b.ii')"
898,The planes of the orbits of the GPS satellites in (b) are inclined at an angle of 55° to the Equator. Suggest why the satellites are not in equatorial orbits. ...................................................................... [1],So that they can provide coverage at the poles.,satellite can then provide cover at Poles B1 [1],"(288, 'c')"
899,State Newton's law of gravitation. ........................................................................ [2],Newton's law of universal gravitation states that every particle attracts every other particle in the universe with a force which is directly proportional to the product of their masses and inversely proportional to the square of the distance between their centers.,F ∝ Mm / R2 …..…(words or explained symbols) either M and m are point masses or R >> diameter of masses …(do not allow 'size')  M1  A1 [2],"(289, 'a')"
900,The Earth may be considered to be a uniform sphere of radius R equal to 6.4 × 106 m. A satellite is in a geostationary orbit.   Describe what is meant by a geostationary orbit. ............................................................... [3] ,"  A geostationary orbit is directly above the equator, orbiting in the same direction as the earth spins and has an orbital period of 24 hours",equatorial orbit period 24 hours / same angular speed from west to east / same direction of rotation (allow one of the last two marks for 'always overhead' if 2nd or 3rd marks not scored) B1 B1 B1   [3],"(289, 'b.i')"
901,The Earth may be considered to be a uniform sphere of radius R equal to 6.4 × 106 m. A satellite is in a geostationary orbit.   Show that the radius x of the geostationary orbit is given by the expression          gR2 = x3ω2 where g is the acceleration of free fall at the Earth's surface and ω is the angular speed of the satellite about the centre of the Earth. [3]  ,"  Gravitational force supplies the centripetal force  GMm/x2 = mxω2, M = mass of earth  ∴ GM = x3ω2  ∴ gR2 = x3ω2  GMm/R2 = mg  ∴ GM = gR2",gravitational force provides centripetal force / gives rise to centripetal acceleration ….(in 'words') GM / x2 = xω2 g = GM / R2 to give gR2 = x3ω2  B1 M1 M1 A0 [3],"(289, 'b.ii')"
902,The Earth may be considered to be a uniform sphere of radius R equal to 6.4 × 106 m. A satellite is in a geostationary orbit.   Determine the radius x of the geostationary orbit.  radius = ........................................... m [3],  ω = 2π/T = 2π/(24 × 3600) = 7.272 × 10-5 rad/s  from x3 = gR2/ω2   (DIAGRAM) ,"ω = 2π / (24 × 3600) = 7.27 × 10-5 rad s-1 9.81 × (6.4 × 106)2 = x3 × (7.27 × 10-5)2 x3 = 7.6 × 1022 x = 4.2 × 107 m (use of g = 10 m s-2, loses 1 mark but once only in the Paper) C1 C1  A1   [3]     [Total: 11]","(289, 'b.iii')"
903,Define the radian.  .......................................................................................................................................... .......................................................................................................................................... ......................................................................................................................................[2]  ,Radian is the angle subtended at the centre of a circle by an arc equal in length to the radius,angle (subtended) at centre of circle (by) arc equal in length to radius B1 B1 [2],"(290, 'a')"
904,"A stone of weight 3.0 N is fixed, using glue, to one end P of a rigid rod CP, as shown in Fig. 1.1.  (DIAGRAM)  The rod is rotated about end C so that the stone moves in a vertical circle of radius 85 cm. The angular speed ω of the rod and stone is gradually increased from zero until the glue snaps. The glue fixing the stone snaps when the tension in it is 18 N. For the position of the stone at which the glue snaps,   on the dotted circle of Fig. 1.1, mark with the letter S the position of the stone, [1]   ",   (DIAGRAM)   ,point S shown below C B1 [1],"(290, 'b.i')"
905,"A stone of weight 3.0 N is fixed, using glue, to one end P of a rigid rod CP, as shown in Fig. 1.1.  (DIAGRAM)  The rod is rotated about end C so that the stone moves in a vertical circle of radius 85 cm. The angular speed ω of the rod and stone is gradually increased from zero until the glue snaps. The glue fixing the stone snaps when the tension in it is 18 N. For the position of the stone at which the glue snaps,   calculate the angular speed ω of the stone.        angular speed = ................................... rad s–1 [4]",    (DIAGRAM)   Towards the centre: mrω2  T - mg = mrω2  ∴ 18 - 3 = (3/9.81)(85/100)ω2  ∴ ω = 7.596 rad/s  Angular speed = 7.6 rad/s,(max) force / tension = weight + centripetal force centripetal force = mrω2 15 = 3.0/9.8 × 0.85 × ω2  ω = 7.6 rad s–1 C1 C1 C1 A1 [4],"(290, 'b.ii')"
906,"A planet of mass m is in a circular orbit of radius r about the Sun of mass M, as illustrated in Fig. 1.1.  (DIAGRAM)  The magnitude of the angular velocity and the period of revolution of the planet about the Sun are ω and T respectively.State  what is meant by angular velocity, ....................................................................[2]","  For an object moving in a circle, it is the angle swept out in unit time by the radius joining the object to the circle centre. It is the rate of change of angle swept out by the radius.",rate of change of angle / angular displacement swept out by radius M1 A1 [2],"(291, 'a.i')"
907,"A planet of mass m is in a circular orbit of radius r about the Sun of mass M, as illustrated in Fig. 1.1.  (DIAGRAM)  The magnitude of the angular velocity and the period of revolution of the planet about the Sun are ω and T respectively.State  the relation between ω and T. ....................................................................[2]",  ω = 2π/T,ω × T = 2π B1 [1],"(291, 'a.ii')"
908,"A planet of mass m is in a circular orbit of radius r about the Sun of mass M, as illustrated in Fig. 1.1.  (DIAGRAM)  The magnitude of the angular velocity and the period of revolution of the planet about the Sun are ω and T respectively.Show that, for a planet in a circular orbit of radius r, the period T of the orbit is given by the expression               T2 = cr3 where c is a constant. Explain your working. [4]  ","Centripetal force is provided by the gravitational force  So GMm/r2 = mrω2  ∴ GM/r2 = r(2π/T)2  ∴ T2GM = 4π2r3  ∴ T2 = (4π2/GM)r3  ∴ T2 = cr3, which c = 4π2/GM",centripetal force is provided by the gravitational force either  mr(2π/T)2 = GMm/r 2  or  mrω2 = GMm/r2 r3 × 4π2 = GM × T2 GM/4π2 is a constant (c) T2 = cr3 B1 M1 A1 A1 A0 [4],"(291, 'b')"
909,"A planet of mass m is in a circular orbit of radius r about the Sun of mass M, as illustrated in Fig. 1.1.  (DIAGRAM)  The magnitude of the angular velocity and the period of revolution of the planet about the Sun are ω and T respectively.Data for the planets Venus and Neptune are given in Fig. 1.2.  (DIAGRAM)  Assume that the orbits of both planets are circular.   Use the expression in (b) to calculate the value of T for Neptune.  T = ....................................... years [2]",  Use T2 = cr3  ∴ Tv2/rv3 = TN2/rN3  ∴ TN2 = (rN/rv)3Tv2 = (45/1.08)3(0.615)2  ∴ TN = 165.4  T = 165 years,either  T2 = (45/1.08)3 × 0.6152 or T2 = 0.30 × 453  T = 165 years C1 A1 [2],"(291, 'c.i')"
910,"A planet of mass m is in a circular orbit of radius r about the Sun of mass M, as illustrated in Fig. 1.1.  (DIAGRAM)  The magnitude of the angular velocity and the period of revolution of the planet about the Sun are ω and T respectively.Data for the planets Venus and Neptune are given in Fig. 1.2.  (DIAGRAM)  Assume that the orbits of both planets are circular.   Determine the linear speed of Venus in its orbit.  speed = ..................................... km s–1 [2]",   (DIAGRAM) ,speed = (2π × 1.08 × 108) / (0.615 × 365 × 24 × 3600)           = 35 km s–1 C1 A1 [2],"(291, 'c.ii')"
911,Newton's law of gravitation applies to point masses.  State Newton's law of gravitation. ..............................................................................[2],  Newton's law of universal gravitation states that every particle attracts every other particle in the universe with a force which is directly proportional to the product of their masses and inversely proportional to the square of the distance between their centers.,force proportional to product of masses force inversely proportional to square of separation B1 B1 [2],"(292, 'a.i')"
912,"Newton's law of gravitation applies to point masses.  Explain why, although the planets and the Sun are not point masses, the law also applies to planets orbiting the Sun. ..............................................................................[1]",  The distance separating them is much greater than the radius of the sun/planet,separation much greater than radius / diameter of Sun / planet B1 [1],"(292, 'a.ii')"
913,"Gravitational fields and electric fields show certain similarities and certain differences. State one aspect of gravitational and electric fields where there is  a similarity, ..............................................................................[1]",  Both potentials are ∝ 1/r,e.g. force or field strength ∝ 1 / r2 potential ∝ 1 / r B1 [1],"(292, 'b.i')"
914,Gravitational fields and electric fields show certain similarities and certain differences. State one aspect of gravitational and electric fields where there is  a difference. ..............................................................................[2],  Gravitational forces are always attractive  Electric forces can be attractive or repulsive,e.g. gravitational force (always) attractive electric force attractive or repulsive B1 B1 [2],"(292, 'b.ii')"
915,Define gravitational potential at a point. ............................................................................. [1],The gravitational potential at a point is the work done in moving a unit mass from infinity to that point,work done in bringing unit mass from infinity (to the point) B1 [1],"(293, 'a')"
916,The gravitational potential ϕ at distance r from point mass M is given by the expression           (DIAGRAM)  where G is the gravitational constant.  Explain the significance of the negative sign in this expression. .............................................................................. [2],"Gravitational force is an attractive force  When r increases, work is done against the attractive force, giving an object a gain in potential energy. The potential at infinity = 0 by convertion.","gravitational force is (always) attractive either  as r decreases, object/mass/body does work or  work is done by masses as they come together B1  B1 [2]","(293, 'b')"
917,"A spherical planet may be assumed to be an isolated point mass with its mass concentrated at its centre. A small mass m is moving near to, and normal to, the surface of the planet. The mass moves away from the planet through a short distance h.  State and explain why the change in gravitational potential energy ΔEP of the mass is given by the expression           ΔEP = mgh where g is the acceleration of free fall. .......................................................................... [4]",We know ∆Ep = m∆φ i.e. mass × change in potential (by definition)   (DIAGRAM)    (DIAGRAM) ,"either force on mass = mg (where g is the acceleration of free fall /gravitational field strength) g = GM/r2 if r @ h, g is constant ∆EP = force × distance moved = mgh  B1 B1 B1 M1 A0 [4] or  ∆EP = m∆ϕ      = GMm(1/r1 – 1/r2) = GMm(r2 – r1)/r1r2      if r2 ≈ r1, then (r2 – r1) = h and r1r2 = r2      g = GM/r2      ∆EP = mgh (C1) (B1) (B1) (B1) (A0)  ","(293, 'c')"
918,"The planet in (c) has mass M and diameter 6.8 × 103 km. The product GM for this planet is 4.3 × 1013 N m2 kg–1.  A rock, initially at rest a long distance from the planet, accelerates towards the planet. Assuming that the planet has negligible atmosphere, calculate the speed of the rock as it hits the surface of the planet.  speed = ....................................... m s–1 [3]",Loss in GPE = Gain in KE  GMm/r = (1/2)mv2  ∴ v2 = 2GM/r = 2 × 4.3 × 1013/3.4 × 106  ∴ v = 5.029 × 103 m/s,½mv2 = m∆ϕ v2 = 2 × GM/r     = (2 × 4.3 × 1013) / (3.4 × 106) v = 5.0 × 103 ms–1 (Use of diameter instead of radius to give v = 3.6 × 103 ms–1 scores 2 marks)   C1 C1 A1   [3],"(293, 'd')"
919,State what is meant by a gravitational field. ................................................................................[2],"A gravitational field is a region around a body that has mass, in which another body with mass experiences a force",region of space area / volume where a mass experiences a force B1 B1 [2],"(294, 'a')"
