,question,answer,index
1233,"A radio transmitter is a very tall, thin cylinder. It is prevented from falling over by wires which have one end fixed to the transmitter and the other end fixed in the ground. The ends of the wires in the ground are a long distance from the transmitter.  Fig. 4.1 shows the transmitter and two of the wires.  (DIAGRAM)   The centre of gravity G is shown on Fig. 4.1.   Explain why the radio transmitter without the wires is a very unstable structure. ........................................................................................................................................... ..................................................................................................................................... [1]  ",a small tilt / rotation makes G no longer vertically above the base OR small tilt / rotation produces moment (that topples transmitter) B1,"(6, 'a.ii')"
1234,"A radio transmitter is a very tall, thin cylinder. It is prevented from falling over by wires which have one end fixed to the transmitter and the other end fixed in the ground. The ends of the wires in the ground are a long distance from the transmitter.  Fig. 4.1 shows the transmitter and two of the wires.  (DIAGRAM)   Wire W is under tension and it exerts a force T on the transmitter.  On Fig. 4.1, mark an arrow to show the force T exerted by wire W on the transmitter. [1]  ",arrow(head) marked along wire W towards ground B1,"(6, 'b.i')"
1235,"A radio transmitter is a very tall, thin cylinder. It is prevented from falling over by wires which have one end fixed to the transmitter and the other end fixed in the ground. The ends of the wires in the ground are a long distance from the transmitter.  Fig. 4.1 shows the transmitter and two of the wires.  (DIAGRAM)   Wire W is under tension and it exerts a force T on the transmitter.  The force T produces a moment on the transmitter about its base. Describe how the moment produced by T is calculated and indicate on Fig. 4.1 what is meant by any other terms in the description. ........................................................................................................................................... ..................................................................................................................................... [3]  ",moment = F × d AND correct indication of F and d on Fig. 4.1. A3 (moment is ) force × (perpendicular) distance (from base / pivot) C1 (moment is ) force × perpendicular distance (from base / pivot) C1,"(6, 'b.ii')"
1236,"A radio transmitter is a very tall, thin cylinder. It is prevented from falling over by wires which have one end fixed to the transmitter and the other end fixed in the ground. The ends of the wires in the ground are a long distance from the transmitter.  Fig. 4.1 shows the transmitter and two of the wires.  (DIAGRAM)   The radio transmitter uses radio waves to transmit radio and television programmes. State one other use of radio waves. ................................................................................................................................................... ............................................................................................................................................. [1]","a use of radio waves, e.g. RFID / astronomy / Bluetooth / RADAR / wifi  B1","(6, 'c')"
1237,"Liquids are difficult to compress whereas gases can be compressed easily.  Explain, in terms of particles, why it is difficult to compress liquids. ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [2]  ",particles (of liquid) are touching / close to each other B1 forces (of repulsion) between particles (of liquid) are large B1,"(7, 'a')"
1238,Liquids are difficult to compress whereas gases can be compressed easily.  Fig. 3.1 shows a rectangular block floating in water. The density of the water is 1000kg/m3.   (DIAGRAM)  The area of the base of the block is 0.014m2. The base of the block is at a depth of 0.087m below the surface of the water.   Show that the pressure due to the water at the base of the block is approximately 850Pa.  [2]     ,(Δp =) ρ g(Δ)h B1 1000 × 9.8 × 0.087 OR (Δp =) 852.6 (Pa) B1,"(7, 'b.i')"
1239,Liquids are difficult to compress whereas gases can be compressed easily.  Fig. 3.1 shows a rectangular block floating in water. The density of the water is 1000kg/m3.   (DIAGRAM)  The area of the base of the block is 0.014m2. The base of the block is at a depth of 0.087m below the surface of the water.   Calculate the force F on the base of the block caused by the pressure given in (b)(i).     F = ......................................................... [2],12 N A2 p = F / A OR (F =) pA OR 850 × 0.014 C1,"(7, 'b.ii')"
1240,Liquids are difficult to compress whereas gases can be compressed easily.  Fig. 3.1 shows a rectangular block floating in water. The density of the water is 1000kg/m3.   (DIAGRAM)  The area of the base of the block is 0.014m2. The base of the block is at a depth of 0.087m below the surface of the water.   Force F is equal to the weight of the block. Calculate the mass of the block.    mass = ......................................................... [2],1.2 kg A2 g = W / m OR (m =) F / g OR 12 / 9.8 C1,"(7, 'b.iii')"
1241,A copper cooking pan contains water. Fig. 2.1 shows the pan on a hotplate of a cooker.   (DIAGRAM)  Copper is a metal.  Thermal energy is conducted through all solids by lattice vibrations. Describe one other way in which thermal energy is conducted through the copper. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [3]  , any three from:  free / delocalised / mobile electrons (electrons) gain (thermal) energy from hotplate / particles (electrons) move through(out) copper / metal OR (electrons) move to distant particles electrons transfer energy from higher temperature (region) to lower temperature (region) OR (electrons) collide with (distant) particles / transfer energy to (distant) particles   B3,"(8, 'a')"
1242,A copper cooking pan contains water. Fig. 2.1 shows the pan on a hotplate of a cooker.   (DIAGRAM)  Copper is a metal.  The outside surface of the cooking pan is kept clean by regular polishing. Explain one other advantage of keeping the surface of the pan shiny. ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [2]  ,(shiny surfaces are) poor emitters of radiation B1 reduces energy loss (from the pan / copper) OR less energy transferred to surroundings B1,"(8, 'b')"
1243,A copper cooking pan contains water. Fig. 2.1 shows the pan on a hotplate of a cooker.   (DIAGRAM)  Copper is a metal.  The thermal energy passes into the water through the base of the pan. Identify the main method by which thermal energy is transferred throughout the water. ............................................................................................................................................. [1],convection B1,"(8, 'c')"
1244,A girl holds a rubber ball out of a window of a tall building. The mass of the ball is 0.20kg. The ball is at rest 10m above a concrete path.  Calculate the gravitational potential energy of the ball relative to the concrete path.     gravitational potential energy = ......................................................... [2]  ,20 J A2 (Δ.Ep =) mg(Δ)h OR 0.2(0)×9.8×10 C1,"(9, 'a')"
1245,A girl holds a rubber ball out of a window of a tall building. The mass of the ball is 0.20kg. The ball is at rest 10m above a concrete path.  The girl releases the ball and it falls towards the path. The ball strikes the path and bounces vertically upwards.  Fig. 1.1 shows the ball falling towards the path.  (DIAGRAM)  The speed of the ball immediately before it strikes the path is 14m/s. The speed of the ball immediately after it strikes the path is 12m/s.    Calculate the kinetic energy of the ball immediately after it strikes the concrete path.     kinetic energy = ......................................................... [2] ,14 J A2 (Ek =) ½mv2 OR ½ × 0.2(0) × 122 C1,"(9, 'b.i')"
1246,A girl holds a rubber ball out of a window of a tall building. The mass of the ball is 0.20kg. The ball is at rest 10m above a concrete path.  The girl releases the ball and it falls towards the path. The ball strikes the path and bounces vertically upwards.  Fig. 1.1 shows the ball falling towards the path.  (DIAGRAM)  The speed of the ball immediately before it strikes the path is 14m/s. The speed of the ball immediately after it strikes the path is 12m/s.    Show that the change in momentum of the ball when it bounces off the path is 5.2kgm/s.  [3]     ,p = mv OR (Δp =) mv−mu B1 (Δp =) 0.2(0) × {14+12}  OR  0.2(0) × {14 − −12}  OR  pbefore = 0.2(0) × 14 AND pafter = 0.2(0) × (–)12 B1 (Δp =) 2.8 − {−2.4}  (= 5.2 kg m / s) OR (Δp =) 0.2(0) × {14 − −12} B1,"(9, 'b.ii')"
1247,A girl holds a rubber ball out of a window of a tall building. The mass of the ball is 0.20kg. The ball is at rest 10m above a concrete path.  The girl releases the ball and it falls towards the path. The ball strikes the path and bounces vertically upwards.  Fig. 1.1 shows the ball falling towards the path.  (DIAGRAM)  The speed of the ball immediately before it strikes the path is 14m/s. The speed of the ball immediately after it strikes the path is 12m/s.    The ball is in contact with the path for 0.25s. Calculate the average resultant force on the ball when it is in contact with the path.       force = ......................................................... [2] ,21 N A2 (F =) Δp / (Δ)t OR F = (∆)mv / (∆)t OR 5.2 / 0.25 C1,"(9, 'b.iii')"
1248,Fig. 11.1 represents the Earth in orbit around the Sun.  (DIAGRAM)     State the name of the force that keeps the Earth in orbit around the Sun. ..................................................................................................................................... [1],gravitational (attraction) B1,"(0, 'a.i')"
1249,Fig. 11.1 represents the Earth in orbit around the Sun.  (DIAGRAM)     State the time taken by the Earth to complete one orbit of the Sun. Include the unit.  time for one orbit = ......................................................... [1] ,365 (¼) days B1,"(0, 'a.ii')"
1250,Fig. 11.1 represents the Earth in orbit around the Sun.  (DIAGRAM)     State the time taken by the Earth to rotate once on its axis. Include the unit.  time for one rotation = ......................................................... [1] ,24 hours B1,"(0, 'a.iii')"
1251,Fig. 11.1 represents the Earth in orbit around the Sun.  (DIAGRAM)     The Sun consists mainly of two gases. State the names of the two gases. ............................................................... and ............................................................... [2]  ,helium B1 hydrogen B1,"(0, 'a.iv')"
1252,Fig. 11.1 represents the Earth in orbit around the Sun.  (DIAGRAM)     Most of the radiation from the Sun consists of visible light and two other regions of the electromagnetic spectrum. State the name of one of the other two regions. ..................................................................................................................................... [1],infrared OR ultraviolet B1,"(0, 'b.i')"
1253,Fig. 11.1 represents the Earth in orbit around the Sun.  (DIAGRAM)     The speed of visible light is 3.0 × 108m/s. Calculate the time taken for visible light to travel from the Sun to the Earth when the Earth is in the position shown in Fig. 11.1.    time taken = ....................................................... s [3] ,500 (s) A3 1.5 × 1011 / 3.0 × 108 (C2) (time =) distance / speed (C1),"(0, 'b.ii')"
1254,Fig. 10.1 represents all the particles in a lithium atom.   (DIAGRAM)    State the proton number (atomic number) of the lithium atom in Fig. 10.1. ..................................................................................................................................... [1] ,3 B1,"(1, 'a.i')"
1255,Fig. 10.1 represents all the particles in a lithium atom.   (DIAGRAM)    Determine the nucleon number (mass number) of the lithium atom in Fig. 10.1.   nucleon number = ......................................................... [1] ,7 B1,"(1, 'a.ii')"
1256,Fig. 10.1 represents all the particles in a lithium atom.   (DIAGRAM)    Describe how a lithium atom changes to form a positive ion. ..................................................................................................................................... [1]  ,lose electron(s) B1,"(1, 'a.iii')"
1257,The half-life of iodine-131 is 8 days. A sample contains 80mg of iodine-131. Calculate the time taken to decay until 10mg of iodine-131 remain in the sample.     time taken = ................................................. days [2] ,24 (days) A2 3 half lives (C1),"(1, 'b')"
1258,Describe what is meant by alternating current (a.c.).  ............................................................................................................................................. [1]  ,(current repeatedly) changes direction B1,"(2, 'a')"
1259,A teacher demonstrates how a loudspeaker works by using the equipment shown in Fig. 9.1.   (DIAGRAM)  There is an alternating current in the coil. The paper cone and coil vibrate as shown in Fig. 9.1.    Explain why the paper cone vibrates. Use your ideas about magnetism. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ..................................................................................................................................... [3],any three from: magnetic effect of current coil becomes an electromagnet attracted to magnet repelled by magnet B3,"(2, 'b.i')"
1260,"A teacher demonstrates how a loudspeaker works by using the equipment shown in Fig. 9.1.   (DIAGRAM)  There is an alternating current in the coil. The paper cone and coil vibrate as shown in Fig. 9.1.    When the paper cone vibrates, the teacher hears a sound. Suggest a value for the frequency of the alternating current. Include the unit.  frequency = ............................................................... unit ............................................................... [2] ",any number(s) between 20 and 20 000 B1 Hz / kHz B1,"(2, 'b.ii')"
1261,Fig. 8.1 shows an arrangement for transmitting electricity generated by a power station.   (DIAGRAM)  The step-up transformer has 500 turns on the primary coil. Calculate the number of turns on the secondary coil of the step-up transformer. Use the information given in Fig. 8.1.    number of secondary turns = ......................................................... [3]  ,7200 A3 (Ns =) 500 × 360 / 25 OR 360 × 20 (C2) Vp / Vs = Np / Ns (C1),"(3, 'a')"
1262,State two benefits of using high voltages for transmitting electricity. 1 ................................................................................................................................................ 2 ................................................................................................................................................ [2] ,any two from: smaller current (in cables) more efficient less power / heating losses thinner / cheaper cables / pylons further apart owtte less voltage drop OR transfer energy over longer distance B2,"(3, 'b')"
1263,"Two identical resistors, R1 and R2, are connected to a 24V battery, as shown in Fig. 7.1.  (DIAGRAM)  The value of each resistor is 50Ω.   Calculate the combined resistance of R1 and R2 when they are connected as shown in Fig. 7.1.   combined resistance = ...................................................... Ω [1]   ",100 (Ω) B1,"(4, 'a')"
1264,"Two identical resistors, R1 and R2, are connected to a 24V battery, as shown in Fig. 7.1.  (DIAGRAM)  The value of each resistor is 50Ω.   Show that the current in the circuit is approximately 0.25A.  [3]     ",0.24 (A) 24 / 100 B1 (current =) voltage / resistance B1 Need to see zone (a) B1,"(4, 'b')"
1265,"Two identical resistors, R1 and R2, are connected to a 24V battery, as shown in Fig. 7.1.  (DIAGRAM)  The value of each resistor is 50Ω.   Determine the potential difference (p.d.) across R1.    p.d. = ....................................................... V [1]  ",12 (V) B1,"(4, 'c')"
1266,"Two identical resistors, R1 and R2, are connected to a 24V battery, as shown in Fig. 7.1.  (DIAGRAM)  The value of each resistor is 50Ω.   Calculate the power transferred in R1.   power = ..................................................... W [3]  ",3(.0) (W) OR 2.9 (W) A3 0.25 × 12 (C2) (power =) current × voltage OR (P =) V × I (C1),"(4, 'd')"
1267,"Two identical resistors, R1 and R2, are connected to a 24V battery, as shown in Fig. 7.1.  (DIAGRAM)  The value of each resistor is 50Ω.   A student connects R1, R2 and the battery to make a different circuit. The resistors R1 and R2 are connected so their combined resistance is as small as possible. Draw a circuit diagram to show how R1 and R2 are connected to the battery.  [1]      ",(two) resistors in parallel B1,"(4, 'e')"
1268,"A student shines a ray of red light into a rectangular glass block, as shown in Fig. 6.1.   (DIAGRAM)    Draw the normal at the point where the ray of red light enters the glass block. [1]  ",normal correctly drawn B1,"(5, 'a.i')"
1269,"A student shines a ray of red light into a rectangular glass block, as shown in Fig. 6.1.   (DIAGRAM)    On Fig. 6.1, label each ray using words from the list.      diffracted   diffused    dispersed    incident    reflected    refracted  [2]  ",incident (ray)     reflected (ray)       refracted (ray) B2,"(5, 'a.ii')"
1270,"Fig. 6.2 and Fig. 6.3 each show two parallel rays of light travelling through air towards a lens. For each lens, draw the path of the two rays as they pass through the lens and back into the air. [2]  (DIAGRAM)   ",Fig. 6.2. – emerging rays converge  B1 Fig. 6.3. – emerging rays diverge B1,"(5, 'b')"
1271,State the seven colours of visible light. Give the colours in order of frequency.  [2]  (DIAGRAM) ,all 7 colours named M1 greatest frequency violet AND in correct order (VIBGYOR) A1,"(5, 'c')"
1272,Fig. 5.1 shows regions of the electromagnetic spectrum in order of increasing wavelength. Two of the regions are unlabelled.   (DIAGRAM)    Complete Fig. 5.1 by writing the name of each unlabelled region in the correct box. [2]   ,ultraviolet in LH box B1 microwaves in RH box B1,"(6, 'a.i')"
1273,Fig. 5.1 shows regions of the electromagnetic spectrum in order of increasing wavelength. Two of the regions are unlabelled.   (DIAGRAM)    State two properties that are the same for all regions of the electromagnetic spectrum. 1 ........................................................................................................................................ ........................................................................................................................................... 2 ........................................................................................................................................ ........................................................................................................................................... [2]   ,any two from: transverse do not need a medium OR travel through a vacuum (all have) same speed OR travel at 3 × 108 m / s (in a vacuum)  B2,"(6, 'a.ii')"
1274,  State one use for infrared radiation. ..................................................................................................................................... [1],electric grills / remote controllers (for televisions) / intruder alarms / thermal imaging / optical fibres / thermometers / treatment of damaged muscles B1,"(6, 'b.i')"
1275,  State one harmful effect of excessive exposure to infrared radiation. ..................................................................................................................................... [1],(skin) burns B1,"(6, 'b.ii')"
1276,Fig. 4.1 shows a pan on a hotplate. The hotplate heats the pan and the water.  (DIAGRAM)  Use your ideas about thermal energy transfer to explain why the pan has:   a wooden handle ..................................................................................................................................... [1],reduces heat transfer (to handle) OR wood is an insulator B1,"(7, 'a.i')"
1277,Fig. 4.1 shows a pan on a hotplate. The hotplate heats the pan and the water.  (DIAGRAM)  Use your ideas about thermal energy transfer to explain why the pan has:   shiny sides ........................................................................................................................................... ..................................................................................................................................... [2],poor / worst emitter (of heat) B1 (of) infrared / radiation B1,"(7, 'a.ii')"
1278,Fig. 4.1 shows a pan on a hotplate. The hotplate heats the pan and the water.  (DIAGRAM)  Use your ideas about thermal energy transfer to explain why the pan has:   a copper base. ..................................................................................................................................... [1]  ,allows heat transfer (to water) OR (good) conductor (of heat) B1,"(7, 'a.iii')"
1279,"Fig. 4.2 shows a heater for warming a room. When there is hot water in the heater, thermal energy transfers from the water to the room.   (DIAGRAM)  Explain how thermal energy from the heater warms the entire room. Use your ideas about the density of air. You may draw on Fig. 4.2. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [4]",any four from: conduction (through metal of heater) air particles gain kinetic energy / KE air particles move further apart hot air becomes less dense hot / less dense air rises OR cold / denser air falls idea of convection current  B4,"(7, 'b')"
1280,The mass of a glass bottle is 0.18kg.  Calculate the weight of the bottle.   weight = ...................................................... N [2]  ,1.8 (N) A2 (weight =) mass × gravitational field strength in any form OR m × g OR m × 9.8 OR 0.18 × 9.8 (C1),"(8, 'a')"
1281,The mass of a glass bottle is 0.18kg.  The bottle contains 2.7kg of cooking oil. The density of the cooking oil is 0.92g/cm3. Calculate the volume of the cooking oil.    volume = .................................................. cm3 [4]  ,2900 (cm3) A4 2700 / 0.92 (C3) (volume =) mass / density OR V = m / ρ (C1) conversion of 2.7 kg to 2700 g (C1),"(8, 'b')"
1282,"The mass of a glass bottle is 0.18kg.  A cookery student pours some cooking oil into a glass bowl containing water, as shown in Fig. 3.1.   (DIAGRAM)  The student accidently drops a plastic spoon and a metal spoon into the bowl. The densities of the spoons and liquids are shown in Table 3.1.   (DIAGRAM)  On Fig. 3.1, label a suggested position for each spoon after each has fallen into the bowl. Use the letter P to label the position of the plastic spoon and the letter M to label the position of the metal spoon. [2]",P on top liquid surface B1 M on bottom of bowl B1,"(8, 'c')"
1283,"A farmer uses a rope to lift a barrel of fruit from the ground to a platform, as shown in Fig. 2.1.  (DIAGRAM)   The farmer lifts the barrel of fruit at a constant speed.   State the energy store of the barrel of fruit that increases as the barrel rises. ..................................................................................................................................... [1]",gravitational potential B1,"(9, 'a.i')"
1284,"A farmer uses a rope to lift a barrel of fruit from the ground to a platform, as shown in Fig. 2.1.  (DIAGRAM)   The farmer lifts the barrel of fruit at a constant speed.   The weight of the barrel of fruit is 140N. Show that the work done on the barrel of fruit in lifting it from the ground to the platform is approximately 450J.  [2]     ",(work done =) force × distance OR (W =) F × d B1 140 × 3.2 OR 448 B1,"(9, 'a.ii')"
1285,"A farmer uses a rope to lift a barrel of fruit from the ground to a platform, as shown in Fig. 2.1.  (DIAGRAM)   The farmer wants to make the process faster. He buys a machine to lift the barrels of fruit.  The output power of the machine is 75W. The work done in lifting a barrel of fruit onto the platform is 450J. Calculate the time taken for the machine to lift a barrel of fruit onto the platform.      time = ....................................................... s [3]",6(.0) (s) A3 450 / 75 (C2) (time =) work done / power OR (Δ)E / power (C1),"(9, 'b.i')"
1286,"A farmer uses a rope to lift a barrel of fruit from the ground to a platform, as shown in Fig. 2.1.  (DIAGRAM)   The farmer wants to make the process faster. He buys a machine to lift the barrels of fruit.  The machine uses an electric motor. The farmer installs some wind turbines to supply electrical power for the farm. Suggest one environmental reason for using wind turbines rather than using a diesel (fossil fuel) generator. ........................................................................................................................................... ..................................................................................................................................... [1]",any one from: no gaseous / SO2 emissions / air pollution does not contribute to global warming / CO2 renewable (source of energy) B1,"(9, 'b.ii')"
1287,"Fig. 1.1 shows the speed–time graph for a bus journey  (DIAGRAM)   Using the information in Fig. 1.1, determine:   the maximum speed of the bus during the journey  maximum speed = .................................................. m/ s [1] ",18 (m / s) A1,"(0, 'a.i')"
1288,"Fig. 1.1 shows the speed–time graph for a bus journey  (DIAGRAM)   Using the information in Fig. 1.1, determine:   the speed of the bus at time = 65s. On Fig. 1.1, show how you obtained this information.  speed = .................................................. m/s [2]  ",12 (m / s) A2 any indication on graph or in working of vertical / horizontal line from 65.0 s (C1),"(0, 'a.ii')"
1289,Fig. 1.1 shows the speed–time graph for a bus journey  (DIAGRAM)   Describe how the speed of the bus changes between time = 60s and time = 80s. ................................................................................................................................................... ............................................................................................................................................. [2]  ,(speed of bus) decreasing OR slows (down) OR decelerates B1 (then speed is) zero OR stops / stationary B1,"(0, 'b')"
1290,Fig. 1.1 shows the speed–time graph for a bus journey  (DIAGRAM)   Determine the distance travelled by the bus between time = 0 and time = 10s.     distance travelled = ......................................................m [3]  ,90 (m) A3 ½ × 10 × 18 (C2) (distance =) area under graph OR ½ b × h OR speed × time (C1),"(0, 'c')"
1291,"Fig. 1.1 shows the speed–time graph for a bus journey  (DIAGRAM)   Fig. 1.2 shows the speed–time graph for another bus journey.    (DIAGRAM)  The driver sees a hazard ahead and applies the brakes at time = 40s. The bus reduces its speed from 14.0m/s to 6.0m/ s in a time of 5.0s. On Fig. 1.2, draw the speed–time graph for the bus as it reduces its speed. [2]","line starts from (40, 14) M1 line ends at (45, 6) A1","(0, 'd')"
1292,There are eight planets in our Solar System. Table 12.1 shows the names of some of the planets in order of distance from the Sun.    (DIAGRAM)   Complete Table 12.1 by writing the names of the other planets in order of increasing distance from the Sun. [2]  ,at least 4 named M1 all 5 in correct order A1,"(1, 'a')"
1293,There are eight planets in our Solar System. Table 12.1 shows the names of some of the planets in order of distance from the Sun.    (DIAGRAM)   The planets in Table 12.1 orbit the Sun. State the names of two other types of natural object that orbit the Sun. 1 ................................................................................................................................................ 2 ................................................................................................................................................ [2]  ,any two from: minor / dwarf planets / Pluto asteroids comets moons / natural satellites B2,"(1, 'b')"
1294,There are eight planets in our Solar System. Table 12.1 shows the names of some of the planets in order of distance from the Sun.    (DIAGRAM)   Complete the sentences to describe Mercury and Jupiter. Use words from the list.                 large      rocky      gaseous      small      liquid Mercury is ....................................................... and .................................................................. Jupiter is ......................................................... and .................................................................. [2],Mercury is rocky AND small. (answers maybe in either order) B1 Jupiter is gaseous AND large. (answers maybe in either order) B1,"(1, 'c')"
1295,Fig. 11.1 represents all the particles in a beryllium atom.    (DIAGRAM)     The symbol for the element beryllium is Be. Give the nuclide notation for the isotope shown in Fig. 11.1.   [1]  (DIAGRAM)   , B1,"(2, 'a.i')"
1296,Fig. 11.1 represents all the particles in a beryllium atom.    (DIAGRAM)     The key for Fig. 11.1 gives the names of two types of particle. One label is missing. Complete the key by adding the name of the third type of particle shown in Fig. 11.1. [1]  ,neutron(s) B1,"(2, 'a.ii')"
1297,"Fig. 11.1 represents all the particles in a beryllium atom.    (DIAGRAM)   Fig. 11.2 shows four different particle diagrams, A, B, C and D.  (DIAGRAM)    State which diagrams show an isotope of beryllium. ..................................................................................................................................... [1]",A and B and D B1,"(2, 'b.i')"
1298,"Fig. 11.1 represents all the particles in a beryllium atom.    (DIAGRAM)   Fig. 11.2 shows four different particle diagrams, A, B, C and D.  (DIAGRAM)    State which diagram shows a positive ion. ..................................................................................................................................... [1]  ",A B1,"(2, 'b.ii')"
1299,Fig. 11.1 represents all the particles in a beryllium atom.    (DIAGRAM)   A scientist uses a detector and counter to measure the count rate due to radiation emitted from a radioactive source. The first measurement is 400 counts /min. The scientist takes another measurement 6 hours later. This measurement is 50 counts /min. Calculate the half‑life of the radioactive source.       half‑life = ...................................................... h [2],2 (h) A2 3 half lives (C1),"(2, 'c')"
1300,Different materials have differing magnetic properties.  State the name of a material that is suitable for a temporary magnet. ..................................................................................................................................... [1],(soft) iron B1,"(3, 'a.i')"
1301,Different materials have differing magnetic properties.  State the name of a material that is suitable for a permanent magnet. ..................................................................................................................................... [1],steel B1,"(3, 'a.ii')"
1302,Different materials have differing magnetic properties.  State how a magnet can show that a material is non‑magnetic. ..................................................................................................................................... [1]  ,magnet does not attract a non-magnetic material B1,"(3, 'a.iii')"
1303,"A teacher uses the arrangement in Fig. 10.1 to demonstrate an electric bell. When the switch is closed, the hammer repeatedly hits the metal gong.  (DIAGRAM)  Using the information in Fig. 10.1, explain why the hammer repeatedly hits the metal gong when the switch is closed. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [4]",any four from: (when switch closed) there is a complete circuit current in the circuit magnetic effect (of current / in coil) owtte (coil and nail become) electromagnet (springy) iron (strip) attracted to (nail / electromagnet) circuit broken owtte springy iron strip springs back / makes contact (again) owtte  B4,"(3, 'b')"
1304,"Fig. 9.1 shows an electric water heater. The heater is connected to the mains electrical supply.  (DIAGRAM)  Fig. 9.2 shows the electrical safety label for the heater.  (DIAGRAM)     Explain why the safety label states, 'Disconnect from the mains supply before removing the plastic cover.' ........................................................................................................................................... ...................................................................................................................................... [1]",(prevent) risk of (electric) shock / electrocution B1,"(4, 'a.i')"
1305,Fig. 9.1 shows an electric water heater. The heater is connected to the mains electrical supply.  (DIAGRAM)  Fig. 9.2 shows the electrical safety label for the heater.  (DIAGRAM)     The heater is switched on. Calculate the current in the heater. Use the information in Fig. 9.2.      current = ...................................................... A [3]  ,3.1 (A) A3 720/230 (C2) (current =) power / voltage OR (I =) P / V (C1),"(4, 'a.ii')"
1306,Fig. 9.1 shows an electric water heater. The heater is connected to the mains electrical supply.  (DIAGRAM)  Fig. 9.2 shows the electrical safety label for the heater.  (DIAGRAM)   Table 9.1 shows some electrical meter readings for the water heater.   (DIAGRAM)  Electrical energy costs 18 cents per kWh. Calculate the cost of using the heater from 1st October until 31st October.     cost = ............................................... cents [3],468 (cents) A3   26 × 18 (C2)   (cost =) number of kWh × cost per kWh (C1)   number of kWh = 3797 – 3771 OR 26 (C1),"(4, 'b')"
1307,"In Fig. 8.1, each diagram illustrates a wave property. Draw a line from each diagram to the correct wave property. [2]  (DIAGRAM) ",top diagram ----------- diffraction B1 bottom diagram ---------- refraction B1,"(5, 'a')"
1308,An object O is placed in front of a converging lens. Fig. 8.2 shows two rays of light from the object passing through the lens.  (DIAGRAM)    State the name of the line XY in Fig. 8.2. ..................................................................................................................................... [1],principal axis B1,"(5, 'b.i')"
1309,An object O is placed in front of a converging lens. Fig. 8.2 shows two rays of light from the object passing through the lens.  (DIAGRAM)    State the name of the point labelled F in Fig. 8.2. ..................................................................................................................................... [1],principal focus B1,"(5, 'b.ii')"
1310,"An object O is placed in front of a converging lens. Fig. 8.2 shows two rays of light from the object passing through the lens.  (DIAGRAM)    On Fig. 8.2, draw an arrow to represent the image of O. [1]   ",vertical line from point where rays cross to the principal axis B1,"(5, 'b.iii')"
1311,"An object O is placed in front of a converging lens. Fig. 8.2 shows two rays of light from the object passing through the lens.  (DIAGRAM)    Using a ruler, measure the focal length of the converging lens.  focal length = ................................................... cm [1]  ",1.9 (cm) B1,"(5, 'b.iv')"
1312,An object O is placed in front of a converging lens. Fig. 8.2 shows two rays of light from the object passing through the lens.  (DIAGRAM)    Describe characteristics of the image in Fig. 8.2. Choose words from the list. Tick (✔) three boxes.  [3]     enlarged     diminished     same size     inverted     upright     virtual     real      ,    enlarged ✔   diminished     same size     inverted ✔   upright     virtual     real ✔     enlarged ✔ diminished   same size   inverted ✔ upright   virtual   real ✔ B1 B1 B1,"(5, 'b.v')"
1313,A student can hear trains passing her house.  Describe the motion that a sound wave gives to air particles.  ............................................................................................................................................. [1]  ,oscillating / vibrating/backwards and forwards B1,"(6, 'a')"
1314,"A student can hear trains passing her house.  When the student is at her house, she can hear and see the trains, as shown in Fig. 7.1.   (DIAGRAM)  When a train whistle blows, steam comes out of the whistle. The student measures the time interval between seeing the steam coming out of the whistle and hearing the whistle.     Suggest a suitable device for measuring this time interval. ..................................................................................................................................... [1] ",stopwatch / (stop)clock B1,"(6, 'b.i')"
1315,"A student can hear trains passing her house.  When the student is at her house, she can hear and see the trains, as shown in Fig. 7.1.   (DIAGRAM)  When a train whistle blows, steam comes out of the whistle. The student measures the time interval between seeing the steam coming out of the whistle and hearing the whistle.     The time interval is 1.6s between the steam coming out of the whistle and the student hearing the whistle. The speed of sound in air is 340m/s. Calculate the distance d from the whistle to the student.  distance d = ...................................................... m [3]  ",540 (m) A3 340 × 1.6 (C1) (distance =) speed × time (C1),"(6, 'b.ii')"
1316,A student can hear trains passing her house.  State the range of audible frequencies for a healthy human ear. Include the unit.  ............................................................................................................................................. [2],20 – 20 000 B1 Hz / hertz B1,"(6, 'c')"
1317,Fig. 6.1 shows a cold drink in a thermal jug. The jug reduces thermal energy transfer from the surroundings to the drink.   (DIAGRAM)  State the names of the two processes of thermal energy transfer that are prevented by the vacuum. Explain how the vacuum prevents these two processes of thermal energy transfer. processes ..................................................... and .................................................................... explanation ............................................................................................................................... ................................................................................................................................................... [2]  ,conduction AND convection B1 need a medium / particles (to transfer energy) B1,"(7, 'a')"
