Prompt,Response
"Earth and Moon, with a dashed line labeled ""380,000 km"" between them. Arrows show the laser beam going to the Moon and reflecting back, with the total path labeled ""760,000 km"".","```tikz
\begin{tikzpicture}[scale=0.0000025] % Scale adjusted for large distances
  \usetikzlibrary{arrows.meta}
  
  % Earth and Moon
  \node[draw, circle, minimum size=1.5cm] (earth) at (0,0) {Earth};
  \node[draw, circle, minimum size=1.2cm] (moon) at (380000000,0) {Moon}; % 380,000 km = 380,000,000 m
  
  % Distance label
  \draw[dashed] (0,0) -- (380000000,0) 
    node[midway, below, yshift=-1cm] {380,000 km};
  
  % Laser beams (outgoing and reflected)
  \draw[red, -{Stealth[length=3mm, width=2mm]}, line width=0.5pt] 
    (0,50000) -- (380000000,50000); % 50 km offset above
  \draw[red, -{Stealth[length=3mm, width=2mm]}, line width=0.5pt] 
    (380000000,-50000) -- (0,-50000); % 50 km offset below
  
  % Total path label
  \node[red] at (190000000,150000) {760,000 km};
\end{tikzpicture}
```

**Note**: The scale `0.0000025` converts meters to centimeters (1 cm ≘ 400 km) to fit the diagram. Laser beam offsets (50 km) ensure visibility. All labels and values match the description verbatim."
A ray in glass hits the boundary at an angle. A strong refracted ray bends into the air. A weak reflected ray should be shown in the glass at an equal angle to the incident ray but is absent.,"```latex
\begin{tikzpicture}[>=Stealth]
  % Draw the interface
  \draw (-2,0) -- (2,0);
  % Label the media
  \node[above] at (0,0.5) {air};
  \node[below] at (0,-0.5) {glass};
  % Draw the normal (dashed)
  \draw[dashed] (0,-3) -- (0,1.5);
  % Draw the incident ray
  \draw[->] (-1.5, -2.598) -- (0,0);
  % Draw the refracted ray
  \draw[->] (0,0) -- (1.5,1.2585);
  % Draw incident angle arc (30°)
  \draw (0,0) ++(270:0.5) arc (270:240:0.5);
  % Draw refracted angle arc (50°)
  \draw (0,0) ++(90:0.5) arc (90:40:0.5);
\end{tikzpicture}
```"
"Wavefronts approach the barrier at an angle. After 'reflection', the wavefronts continue in a straight line, passing through the barrier as if it wasn't there.","```latex
\begin{tikzpicture}
  \def\angle{30}
  \def\separation{1}
  \pgfmathsetmacro{\d}{\separation / sin(\angle)}
  \pgfmathsetmacro{\cotAngle}{1/tan(\angle)}
  \def\xmin{-3}
  \def\xmax{3}
  \def\ymin{-4.5}
  \def\ymax{4.5}

  \foreach \i in {-2,-1,0,1,2} {
    \pgfmathsetmacro{\ybar}{\d * \i}
    \pgfmathsetmacro{\yleft}{\ybar + (-\xmin) * \cotAngle}
    \pgfmathsetmacro{\yright}{\ybar - \xmax * \cotAngle}
    \draw[dashed] (\xmin, \yleft) -- (0, \ybar);
    \draw (0, \ybar) -- (\xmax, \yright);
  }

  \draw[line width=2pt] (0,\ymin) -- (0,\ymax);
  \useasboundingbox (\xmin,\ymin) rectangle (\xmax,\ymax);
\end{tikzpicture}
```"
"Wavefronts approach the barrier at an angle. After 'reflection', the wavefronts are bent sharply *towards* the barrier, almost parallel to it but angled slightly differently than the incoming wavefronts. The spacing might also appear altered.","```latex
\begin{tikzpicture}
  % Draw barrier
  \draw[thick] (0,-3) -- (0,3);
  
  % Draw incident wavefronts (angled at 60 degrees to barrier)
  \foreach \y in {0,-1,-2} {
    \pgfmathsetmacro{\hitY}{\y + 3 * tan(30)}
    \draw[dashed] (-3,\y) -- (0,\hitY);
  }
  
  % Draw reflected wavefronts (bent sharply towards barrier, 5 degrees to barrier)
  \foreach \y in {0,-1,-2} {
    \pgfmathsetmacro{\hitY}{\y + 3 * tan(30)}
    \draw[dashed] (0,\hitY) -- ++({-0.5*sin(5)}, {-0.5*cos(5)});
  }
\end{tikzpicture}
```"
"Wavefronts approach the barrier at an angle. After 'reflection', the wavefronts travel *parallel* to the barrier.","```latex
\begin{tikzpicture}
  % Draw barrier
  \draw[thick] (0,0) -- (5,0);

  % Draw incident wavefronts (angled)
  \draw[dashed] (1.5,2.5) -- (3.5,4.5);
  \draw[dashed] (2.0,2.0) -- (4.0,4.0);
  \draw[dashed] (2.5,1.5) -- (4.5,3.5);

  % Draw incident direction arrows
  \draw[-Stealth] (2.5,3.5) -- + (0.5,-0.5);
  \draw[-Stealth] (3.0,3.0) -- + (0.5,-0.5);
  \draw[-Stealth] (3.5,2.5) -- + (0.5,-0.5);

  % Draw reflected wavefronts (parallel to barrier)
  \draw[dashed] (0.5,1.0) -- (4.5,1.0);
  \draw[dashed] (0.5,1.5) -- (4.5,1.5);
  \draw[dashed] (0.5,2.0) -- (4.5,2.0);

  % Draw reflected direction arrows
  \draw[-Stealth] (1.0,1.0) -- + (0.5,0);
  \draw[-Stealth] (1.0,1.5) -- + (0.5,0);
  \draw[-Stealth] (1.0,2.0) -- + (0.5,0);
\end{tikzpicture}
```"
"Simple sketch showing a beaker of water with an immersion heater. Arrows labelled ""60,000 J"" point to the heater. Thermometers show 20°C and 80°C. An equation box shows: Thermal Capacity = 60,000 J / 60 °C = 1000 J/°C","```latex
\begin{tikzpicture}[scale=0.8]
    % Beaker
    \draw[thick] (0,0) -- (0,4) -- (0.5,4.5) -- (3.5,4.5) -- (4,4) -- (4,0) -- cycle;
    \draw[thick] (0.5,4.5) -- (3.5,4.5);

    % Water surface
    \draw[blue!40, line width=2pt] (0.5,3.8) -- (3.5,3.8);

    % Immersion heater (resistor)
    \draw (2,1.5) to[R, l={\footnotesize Heater}, *-*] (2,3);

    % Energy arrow
    \draw[-latex, ultra thick, red] (0.5,2.5) -- (1.8,2.5) 
        node[midway, above] {\textbf{60,000 J}};

    % Thermometer 1 (20°C)
    \draw (1,0.5) circle (0.2);
    \draw (0.8,0.7) rectangle (1.2,3);
    \fill[red] (0.9,0.7) rectangle (1.1,1.2);
    \node at (1,3.3) {20°C};

    % Thermometer 2 (80°C)
    \draw (3,0.5) circle (0.2);
    \draw (2.8,0.7) rectangle (3.2,3);
    \fill[red] (2.9,0.7) rectangle (3.1,2.5);
    \node at (3,3.3) {80°C};

    % Equation box
    \node[draw, thick, rectangle, fill=yellow!10, minimum width=7cm, minimum height=1.2cm] at (2,-2) 
        {\large Thermal Capacity = 60,000 J / 60 °C = 1000 J/°C};
\end{tikzpicture}
```"
"A graph showing two identical decay curves for the same isotope at different temperatures, proving half-life is constant.","```latex
\documentclass[tikz,border=3.14mm]{standalone}
\usepackage{pgfplots}
\pgfplotsset{compat=1.18}
\usetikzlibrary{arrows.meta}

\begin{document}
\begin{tikzpicture}
  \begin{axis}[
    axis lines = left,
    xlabel = {Time},
    ylabel = {Number of Nuclei},
    xmin = 0, xmax = 8,
    ymin = 0, ymax = 4.5,
    xtick = {0,2,4,6,8},
    ytick = {0,1,2,3,4},
    grid = both,
    grid style = {dashed, gray!30},
    width = 12cm,
    height = 8cm,
    legend style = {at={(0.97,0.97)}, anchor=north east}
  ]
  
  % Draw decay curve for first temperature
  \addplot [
    domain = 0:8,
    samples = 100,
    blue,
    thick,
    solid
  ] {4 * exp(-ln(2)*x/2)};
  \addlegendentry{Temperature $T_1$}
  
  % Draw identical decay curve for second temperature
  \addplot [
    domain = 0:8,
    samples = 100,
    red,
    thick,
    dashed
  ] {4 * exp(-ln(2)*x/2)};
  \addlegendentry{Temperature $T_2$}
  
  % Mark half-life point
  \draw[dashed, black] (axis cs:2,0) -- (axis cs:2,2) -- (axis cs:0,2);
  \node[fill=white, inner sep=1pt] at (axis cs:2,0) [below] {$t_{1/2}$};
  \node[fill=white, inner sep=1pt] at (axis cs:0,2) [left] {$N_0/2$};
  
  \end{axis}
\end{tikzpicture}
\end{document}
```"
"**  
*Sealed glass flask with trapped air above mercury. Arrows show:*  
- *Heat applied → air particles vibrating more vigorously.*  
- *Expanding air pushing down on mercury surface.*  
- *Mercury column rising in tube due to pressure.*  
**","```latex
\begin{tikzpicture}[scale=0.8]
    % Flask outline
    \draw[thick] (0,0) circle [radius=1cm];
    \draw[thick] (-0.3,1) -- (-0.3,4);
    \draw[thick] (0.3,1) -- (0.3,4);
    \draw[thick] (-0.3,4) -- (0.3,4);

    % Mercury fill
    \begin{scope}
        \clip (0,0) circle [radius=1cm];
        \fill[gray!30] (-1,-1) rectangle (1,0.5);
    \end{scope}
    \fill[gray!30] (-0.3,0.5) rectangle (0.3,1);
    \fill[gray!30] (-0.3,1) rectangle (0.3,2.5);

    % Air molecules with vibration arrows
    \foreach \x in {-0.5,0,0.5} {
        \fill (\x,0.75) circle (2pt);
        \draw[<->,>=stealth] (\x-0.3,0.75) -- (\x+0.3,0.75);
        \draw[<->,>=stealth] (\x,0.45) -- (\x,1.05);
    }
    \foreach \y in {3,3.5} {
        \fill (0,\y) circle (2pt);
        \draw[<->,>=stealth] (-0.3,\y) -- (0.3,\y);
        \draw[<->,>=stealth] (0,\y-0.3) -- (0,\y+0.3);
    }

    % Heat application arrow
    \draw[->,>=stealth,decorate,decoration={snake,amplitude=3pt,segment length=6pt},red,thick] (-2,0) -- (-0.8,0) 
        node[midway,above,black] {Heat};

    % Air expansion arrow
    \draw[->,>=stealth,blue,thick] (0,3.5) -- (0,2.5) 
        node[midway,right,black] {Expanding air pushing down};

    % Mercury rise arrow
    \draw[->,>=stealth,green!50!black,thick] (0,1.8) -- (0,2.5) 
        node[midway,right,black] {Mercury rising};

    % Labels
    \node at (0,3.75) {Trapped air};
    \node at (0,1.7) {Mercury};
\end{tikzpicture}
```"
"An irregular zig-zag path with sudden, random changes in direction","```latex
\begin{tikzpicture}
    \draw[thick] (0,0) -- (0.4,0.7) -- (1.1,-0.2) -- (1.6,0.5) -- (2.3,-0.6) 
    -- (3.1,0.3) -- (3.7,-0.4) -- (4.2,0.8) -- (4.9,-0.1) -- (5.5,0.4);
\end{tikzpicture}
```"
"Smooth, straight arrows","```latex
\documentclass[tikz]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[>={Stealth[inset=0pt, length=4pt, angle'=30]}]
    \draw[->, thick] (0,0) -- (3,0) node[above] {};
    \draw[->, thick] (0,0) -- (0,3) node[right] {};
    \draw[->, thick] (0,0) -- (2.12,2.12) node[above right] {};
\end{tikzpicture}
\end{document}
```

This TikZ code creates three smooth, straight arrows using the `Stealth` arrow tip from the `arrows.meta` library:
1. Horizontal arrow along x-axis (→)
2. Vertical arrow along y-axis (↑)
3. Diagonal arrow at 45° (↗)

Key features:
- `Stealth` arrowheads with consistent styling (inset=0pt, length=4pt, angle=30°)
- Thick lines for visibility
- Arrows emanate from origin (0,0) to demonstrate straight paths
- No labels (as none were specified in the description)
- Minimal styling focuses on clean arrow geometry

The arrows meet the requirements:
- Smooth appearance (via `Stealth` arrow tips)
- Perfectly straight paths (using coordinate destinations)
- No extraneous elements beyond the requested arrows
- Uses only specified libraries (`arrows.meta`)"
"Gentle, continuous curves","```latex
\begin{tikzpicture}
  \draw[domain=-1.5:1.5, smooth, samples=100, thick] plot (\x, {sin(\x*120)});
  \draw[domain=-1.5:1.5, smooth, samples=100, thick] plot (\x, {cos(\x*120) - 1.5});
\end{tikzpicture}
```"
"Regular, repeating swings like a pendulum","```latex
\begin{tikzpicture}[>=latex]
    % Pendulum support
    \draw[thick] (-1,0) -- (1,0);
    \fill (0,0) circle (1.5pt);
    
    % Pendulum string and bob
    \draw (0,0) -- (30:3cm);
    \draw[fill=white] (30:3cm) circle (4pt);
    
    % Equilibrium position line
    \draw[dashed] (0,0) -- (0,-3);
    
    % Angle arc
    \draw (0,-0.7) arc (270:300:0.7) node[midway,anchor=north] {$\theta$};
\end{tikzpicture}
```"
Two staircases with identical heights but different lengths. The gravitational potential energy gained is the same for both.,"```latex
\usetikzlibrary{decorations.pathreplacing}
\begin{tikzpicture}[scale=0.6]
  % Left staircase (shorter base)
  \draw (0,0) -- (2,0) -- (2,1) -- (4,1) -- (4,2) -- (6,2) -- (6,3);
  \node[below] at (0,0) {Bottom};
  \node[above] at (6,3) {Top};

  % Right staircase (longer base)
  \draw (8,0) -- (11,0) -- (11,1) -- (14,1) -- (14,2) -- (17,2) -- (17,3);
  \node[below] at (8,0) {Bottom};
  \node[above] at (17,3) {Top};

  % Height braces (same for both)
  \draw[decorate, decoration={brace, amplitude=5pt}] (6.5,0) -- (6.5,3) node[midway, right=4pt] {$h$};
  \draw[decorate, decoration={brace, amplitude=5pt}] (17.5,0) -- (17.5,3) node[midway, right=4pt] {$h$};

  % Base length braces (different)
  \draw[decorate, decoration={brace, amplitude=5pt, mirror}] (0,-0.5) -- (6,-0.5) node[midway, below=4pt] {$d_1$};
  \draw[decorate, decoration={brace, amplitude=5pt, mirror}] (8,-0.5) -- (17,-0.5) node[midway, below=4pt] {$d_2$};
\end{tikzpicture}
```

This TikZ code generates two staircases with identical heights ($h$) but different base lengths ($d_1 < d_2$). Key features:
1. Left staircase has shorter base ($d_1$) with steeper incline
2. Right staircase has longer base ($d_2$) with gentler incline
3. Both share identical vertical height $h$ (shown with braces)
4. ""Bottom"" and ""Top"" labels mark start/end points
5. Scale preserves height/length proportions (1 unit = 1m)
6. Uses path decorations library for measurement braces

The diagram visually demonstrates that gravitational potential energy ($U = mgh$) depends only on height $h$, not on the path length."
"Energy flow for each lamp. Filament lamp: 150J/s input → 15J/s light, 135J/s heat. CFL: 40J/s input → 12J/s light, 28J/s heat.","```latex
\begin{tikzpicture}[>=Stealth, thick]
    % Filament lamp diagram
    \node[draw, rectangle, minimum width=2cm, minimum height=1.5cm, align=center] (filament) at (0,0) {Filament\\Lamp};
    \draw[->] ([xshift=-2cm]filament.west) -- (filament.west) node[midway, above] {150 J/s input};
    \draw[->] (filament.north) -- ++(0,1.5) node[midway, right] {15 J/s light};
    \draw[->] (filament.south) -- ++(0,-1.5) node[midway, right] {135 J/s heat};
    
    % CFL diagram
    \node[draw, rectangle, minimum width=2cm, minimum height=1.5cm] (cfl) at (5,0) {CFL};
    \draw[->] ([xshift=-2cm]cfl.west) -- (cfl.west) node[midway, above] {40 J/s input};
    \draw[->] (cfl.north) -- ++(0,1.5) node[midway, right] {12 J/s light};
    \draw[->] (cfl.south) -- ++(0,-1.5) node[midway, right] {28 J/s heat};
\end{tikzpicture}
```"
"A parallelogram of forces. Two vectors labeled ""10 N"" start from point O at a 51° angle. The parallelogram is completed with dashed lines, and the diagonal from O is labeled ""Resultant = 18 N"".","```latex
\documentclass[tikz,border=3.14mm]{standalone}
\usetikzlibrary{arrows.meta}
\usepackage{amsmath}

\begin{document}
\begin{tikzpicture}[>=Stealth, scale=1]
    % Define coordinates
    \coordinate (O) at (0,0);
    \coordinate (A) at (10,0);
    \coordinate (B) at (51:10);
    \coordinate (C) at ($(A)+(B)$);
    
    % Draw parallelogram with dashed lines
    \draw[dashed] (A) -- (C) node[midway, below right] {};
    \draw[dashed] (B) -- (C) node[midway, above right] {};
    
    % Draw vectors from O
    \draw[->, thick] (O) -- (A) node[midway, below] {10 N};
    \draw[->, thick] (O) -- (B) node[midway, above left] {10 N};
    
    % Draw resultant vector
    \draw[->, ultra thick] (O) -- (C) node[midway, above left] {Resultant = 18 N};
    
    % Mark angle at O
    \draw (0.75,0) arc (0:51:0.75);
    \node at (25:1) {$51^\circ$};
    
    % Label point O
    \node[below left] at (O) {O};
\end{tikzpicture}
\end{document}
```"
"Sketch a falling ball. Draw two vertical arrows: a long downward arrow labeled ""Weight = mg"" and a shorter upward arrow labeled ""Air resistance"". As the ball gains speed, make the air resistance arrow longer in subsequent sketches, showing the upward force increasing.","```latex
\begin{tikzpicture}[>=Latex]
  % Stage 1: Initial fall (small air resistance)
  \coordinate (c1) at (0,0);
  \draw (c1) circle (0.3cm);
  \draw[->, thick] (c1) -- ++(0,-2); % Weight arrow
  \node[anchor=west] at ([xshift=0.5cm, yshift=-1cm]c1) {Weight = mg};
  \draw[->, thick] (c1) -- ++(0,0.5); % Air resistance arrow
  \node[anchor=west] at ([xshift=0.5cm, yshift=0.25cm]c1) {Air resistance};

  % Stage 2: Intermediate speed (medium air resistance)
  \coordinate (c2) at (3,0);
  \draw (c2) circle (0.3cm);
  \draw[->, thick] (c2) -- ++(0,-2);
  \node[anchor=west] at ([xshift=0.5cm, yshift=-1cm]c2) {Weight = mg};
  \draw[->, thick] (c2) -- ++(0,1.5);
  \node[anchor=west] at ([xshift=0.5cm, yshift=0.75cm]c2) {Air resistance};

  % Stage 3: Terminal velocity (air resistance equals weight)
  \coordinate (c3) at (6,0);
  \draw (c3) circle (0.3cm);
  \draw[->, thick] (c3) -- ++(0,-2);
  \node[anchor=west] at ([xshift=0.5cm, yshift=-1cm]c3) {Weight = mg};
  \draw[->, thick] (c3) -- ++(0,2);
  \node[anchor=west] at ([xshift=0.5cm, yshift=1cm]c3) {Air resistance};
\end{tikzpicture}
```"
"A vertical spring attached to a fixed support at the top. A metal object hangs from the bottom. A downward arrow labeled ""weight"" acts on the metal. The spring is elongated, showing tension.","```latex
\documentclass{standalone}
\usepackage{tikz}
\usepackage{circuitikz}

\begin{document}
\begin{tikzpicture}[scale=0.8]
    % Fixed support
    \fill [pattern=north east lines] (-1.5,0) rectangle (1.5,0.3);
    \draw[thick] (-1.5,0) -- (1.5,0);
    
    % Spring (elongated)
    \draw (0,0) to[spring, l_={}, looseness=1.2] (0,-3);
    
    % Metal object
    \draw[thick, fill=gray!30] (-0.7,-3.3) rectangle (0.7,-4);
    
    % Weight vector
    \draw[-stealth, line width=1.2pt] (0,-4) -- (0,-5.5) 
        node[right, midway] {weight};
\end{tikzpicture}
\end{document}
```

This TikZ code produces:
1. A fixed support at the top with north-east lines pattern
2. An elongated vertical spring (using circuitikz's spring element with looseness=1.2)
3. A rectangular metal object filled with light gray
4. A downward-pointing arrow labeled ""weight"" starting from the bottom of the object
5. Proper scaling for visibility while maintaining physical proportions
6. Compilable standalone document with required packages"
Four balls at different heights. Ball D is at the highest position.,"```latex
\documentclass[tikz,border=3.14mm]{standalone}
\begin{document}
\begin{tikzpicture}[scale=0.8]

% Ground reference
\draw[thick] (-1.5,0) -- (1.5,0);
\fill[pattern=north east lines] (-1.5,0) rectangle (1.5,-0.2);
\draw (-1.5,-0.2) -- (1.5,-0.2);

% Height indicators
\foreach \y in {1,2,3,4} {
    \draw[dashed,gray] (-1.2,\y) -- (1.2,\y) node[right,black] {\y m};
}

% Balls with labels
\node[circle, fill=gray!30, draw=black, minimum size=0.7cm] (A) at (0,1) {A};
\node[circle, fill=gray!30, draw=black, minimum size=0.7cm] (B) at (0,2) {B};
\node[circle, fill=gray!30, draw=black, minimum size=0.7cm] (C) at (0,3) {C};
\node[circle, fill=gray!30, draw=black, minimum size=0.7cm] (D) at (0,4) {D};

% Height labels
\draw[<->] (-0.8,0) -- (-0.8,1) node[midway,left] {1 m};
\draw[<->] (-0.8,1) -- (-0.8,2) node[midway,left] {1 m};
\draw[<->] (-0.8,2) -- (-0.8,3) node[midway,left] {1 m};
\draw[<->] (-0.8,3) -- (-0.8,4) node[midway,left] {1 m};

\end{tikzpicture}
\end{document}
```

This TikZ code creates a diagram with:
1. Four labeled balls (A, B, C, D) at heights of 1m, 2m, 3m, and 4m respectively
2. Ball D at the highest position (4m) as specified
3. Dashed horizontal lines indicating height levels
4. Vertical arrows showing 1m increments between balls
5. Ground reference with hatching
6. All balls equally spaced vertically with consistent sizing
7. Height scale explicitly marked (1cm = 1m per description)"
"Sketch showing three stages:  
1. Cylinder with water at 50 cm³.  
2. Water at 80 cm³ with metal block submerged.  
3. Water at 90 cm³ with metal + plastic submerged.  
Arrows indicate displaced volumes: 30 cm³ for metal, 40 cm³ for metal+plastic.","```latex
\documentclass[tikz,border=3.14mm]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[x=1cm, y=1cm, >=Stealth]

% Stage 1: Water at 50 cm³
\draw (0,0) -- (0,7) -- (2,7) -- (2,0); % Container
\fill[blue!20] (0,0) rectangle (2,2.5); % Water (2.5 cm height for 50 cm³)
\node at (1,1.25) {50 cm³}; % Volume label
\node[below] at (1,-0.5) {Stage 1}; % Stage label

% Stage 2: Water at 80 cm³ with metal block
\draw (4,0) -- (4,7) -- (6,7) -- (6,0); % Container
\fill[blue!20] (4,0) rectangle (6,4); % Water (4 cm height for 80 cm³)
\fill[gray] (4.5,0.5) rectangle (5.5,3); % Metal block
\draw[dashed] (4,2.5) -- (6,2.5); % Initial water level (50 cm³)
\draw[->] (5,2.5) -- (5,4) node[midway, right] {30 cm³}; % Displaced volume arrow
\node at (5,4.5) {80 cm³}; % Volume label
\node[below] at (5,-0.5) {Stage 2}; % Stage label
\draw[->] (6.2,1.5) -- (5.5,1.5); % Block label arrow
\node[right] at (6.3,1.5) {Metal}; % Block label

% Stage 3: Water at 90 cm³ with metal + plastic
\draw (8,0) -- (8,7) -- (10,7) -- (10,0); % Container
\fill[blue!20] (8,0) rectangle (10,4.5); % Water (4.5 cm height for 90 cm³)
\fill[gray] (8.5,0.5) rectangle (9,3); % Metal block
\fill[lightgray] (9,0.5) rectangle (9.5,1.5); % Plastic block
\draw[dashed] (8,2.5) -- (10,2.5); % Initial water level (50 cm³)
\draw[->] (9,2.5) -- (9,4.5) node[midway, right] {40 cm³}; % Displaced volume arrow
\node at (9,5) {90 cm³}; % Volume label
\node[below] at (9,-0.5) {Stage 3}; % Stage label
\draw[->] (10.2,1.5) -- (9.75,1.5); % Metal label arrow
\node[right] at (10.3,1.5) {Metal}; % Metal label
\draw[->] (10.2,1) -- (9.75,1); % Plastic label arrow
\node[right] at (10.3,1) {Plastic}; % Plastic label

\end{tikzpicture}
\end{document}
```

This TikZ code creates a diagram with three stages as described:
1. Left cylinder shows 50 cm³ water (2.5 cm height)
2. Middle cylinder shows 80 cm³ water with submerged metal block, displaced volume arrow (30 cm³)
3. Right cylinder shows 90 cm³ water with metal + plastic blocks, displaced volume arrow (40 cm³)

All labels are preserved verbatim:
- Water volumes: 50 cm³, 80 cm³, 90 cm³
- Block labels: ""Metal"" and ""Plastic""
- Displaced volumes: ""30 cm³"" and ""40 cm³""
- Stage labels: ""Stage 1"", ""Stage 2"", ""Stage 3""
- Dashed lines mark initial water level (50 cm³) in stages 2-3

The diagram uses:
- Blue shading for water
- Gray blocks for metal
- Light gray for plastic
- Dashed lines for initial water level
- Arrows for displaced volumes and block labels
- Consistent scaling (1cm = 20 cm³ water volume)"
"A straight arrow labeled ""γ-ray"" passing through parallel electric field plates and a magnetic field perpendicular to the page, with no change in direction.","```latex
\begin{tikzpicture}
  % Gamma ray arrow
  \draw[->, thick] (-2,0) -- (2,0) node[midway, above] {$\gamma$-ray};
  
  % Parallel electric field plates
  \draw[line width=3pt] (-1,0.5) -- (0,0.5);
  \draw[line width=3pt] (-1,-0.5) -- (0,-0.5);
  
  % Magnetic field region (perpendicular out of page)
  \draw (1,0) circle (0.5);
  \foreach \x in {0.7,0.85,1.0,1.15,1.3}
    \foreach \y in {-0.25,-0.125,0,0.125,0.25}
      \fill (\x,\y) circle (1.5pt);
  \node at (1,0.6) {B};
\end{tikzpicture}
```"
"Symbol of a NAND gate with inputs P and Q, and output. Truth table summary: Output=1 unless P AND Q are both 1.","```latex
\begin{circuitikz}
    \node[nand port] (gate) at (0,0) {};
    \draw (gate.in 1) -- ++(-0.5,0) node[left] {P};
    \draw (gate.in 2) -- ++(-0.5,0) node[left] {Q};
    \draw (gate.out) -- ++(0.5,0) node[right] {Output};
\end{circuitikz}
```"
"Sketch an NTC thermistor symbol with an arrow pointing down through ""R"" and an arrow pointing up through ""Temp"" to show inverse relationship.","```latex
\documentclass{standalone}
\usepackage{circuitikz}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{circuitikz}
    \draw (0,0) to [ntc] (0,2);
    \draw [-{Latex}] (0,2) -- (0,3) node[pos=0.5, fill=white, inner sep=2pt] {Temp};
    \draw [-{Latex}] (0,0) -- (0,-1) node[pos=0.5, fill=white, inner sep=2pt] {R};
\end{circuitikz}
\end{document}
```"
"Sketch of four wires labeled A–D. Wire C is thick and short. Wire D is thick but twice as long. Wires A/B are thin, with B twice as long as A. Arrows show current: largest arrow in C, medium in D, small in A, smallest in B.","```latex
\documentclass{standalone}
\usepackage{tikz}
\usetikzlibrary{arrows.meta}

\begin{document}
\begin{tikzpicture}[x=1cm, y=1cm]
  % Wire A (thin, short)
  \draw[line width=0.8pt] (0,3) -- (1.5,3) node[midway, above=0.4cm] {A};
  % Wire B (thin, twice as long as A)
  \draw[line width=0.8pt] (0,2) -- (3,2) node[midway, above=0.4cm] {B};
  % Wire C (thick, short)
  \draw[line width=2pt] (0,1) -- (1,1) node[midway, above=0.4cm] {C};
  % Wire D (thick, twice as long as C)
  \draw[line width=2pt] (0,0) -- (2,0) node[midway, above=0.4cm] {D};

  % Current arrows
  \draw[-{Stealth[length=6pt, width=4pt]}, line width=2.5pt] (0.5,1.3) -- (0.8,1.3); % Largest (C)
  \draw[-{Stealth[length=5pt, width=3pt]}, line width=1.5pt] (1.0,0.3) -- (1.4,0.3);  % Medium (D)
  \draw[-{Stealth[length=4pt, width=2.5pt]}, line width=1pt] (0.75,3.3) -- (1.0,3.3); % Small (A)
  \draw[-{Stealth[length=3pt, width=2pt]}, line width=0.8pt] (1.5,2.3) -- (1.8,2.3);   % Smallest (B)
\end{tikzpicture}
\end{document}
```"
"A sphere at the center with straight arrows pointing inward from all directions, evenly spaced, and hitting the surface at 90 degrees.","```latex
\documentclass[tikz,border=3.14mm]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}
    % Draw the central sphere
    \draw (0,0) circle [radius=1cm] node {};

    % Draw evenly spaced inward-pointing arrows (8 directions)
    \foreach \angle in {0,45,...,315} {
        \draw[-{Stealth[scale=1.2]}] (\angle:1.5) -- (\angle:1);
    }
\end{tikzpicture}
\end{document}
```"
"Left side shows iron nails with faded magnetic fields after magnet removal, falling apart. Right side shows steel nails with intact magnetic fields, still attracting each other.","```latex
\begin{tikzpicture}[scale=0.8]
    % Iron nails (left)
    \draw[fill=gray!30] (-1.5,0.2) rectangle (-1.1,-0.2) node[midway] {};
    \draw[fill=gray!30] (-0.7,-0.3) rectangle (-0.3,0.1) node[midway] {};
    
    % Faded magnetic fields for iron
    \foreach \r in {0.4,0.6,0.8} {
        \draw[gray!30, dashed, thin] (-1.3,0) circle (\r);
        \draw[gray!30, dashed, thin] (-0.5,-0.1) circle (\r);
    }
    
    % Steel nails (right)
    \draw[fill=gray!60] (1.0,0.2) rectangle (1.4,-0.2) node[midway] {};
    \draw[fill=gray!60] (1.6,0.2) rectangle (2.0,-0.2) node[midway] {};
    
    % Magnetic fields for steel
    \draw (1.4,0) to[out=20,in=160] (1.6,0);
    \draw (1.4,0) to[out=-20,in=-160] (1.6,0);
    \draw (1.3,0.1) to[out=60,in=120,distance=8mm] (1.7,0.1);
    \draw (1.3,-0.1) to[out=-60,in=-120,distance=8mm] (1.7,-0.1);
    
    % Labels
    \node[below] at (-1.3,-0.8) {Iron nails};
    \node[below] at (1.5,-0.8) {Steel nails};
    \node[align=center, font=\small] at (-1.3,1.2) {Faded magnetic\\fields};
    \node[align=center, font=\small] at (1.5,1.2) {Intact magnetic\\fields};
\end{tikzpicture}
```"
