,Prompt
521,"Four lamps, each connected directly to the 240V supply terminals with individual paths. Voltage is identical across all lamps."
522,"Sketch four wires with labels A, B, C, D. Show wire B as the shortest and thickest, visually emphasizing low resistance."
523,"A simple circuit with a battery, switch, and bulb. The battery is labeled ""e.m.f. source"" with arrows showing electron flow from the negative terminal. Energy conversion: chemical → electrical."
524,"Magnet placed horizontally east-west, hammer striking it. Arrows inside magnet show domains becoming chaotic after hammering."
525,"A bar magnet attracting iron nails and steel paperclips, but not aluminium foil or copper wire."
526,Simplified atomic diagrams showing aligned domains in iron vs. random domains in aluminium.
527,"A three-part illustration showing particles in air [widely spaced, random], liquid [closer, less ordered], and solid [tightly packed, lattice]. Sound waves move slowest in air, faster in liquid, and fastest in solid."
528,"A simple sine wave with arrows labeled ""λ"" pointing horizontally from one crest to the next crest"
529,"Left side shows the setup without a lid, with arrows rising from the water surface indicating hot air escaping and an arrow from the side indicating cooler air entering. Right side shows the setup with a lid, with arrows trapped under the lid showing no escape path, significantly reducing air movement."
530,"A beaker of liquid being heated. Arrows show heat entering the base. During boiling, bubbles form throughout the liquid volume."
531,A thermometer bulb immersed in a beaker containing a mixture of pure ice and water at 0°C.
532,A hyperbola-shaped curve starting high on the pressure axis at low volume and curving down to low pressure at high volume.
533,Left side shows gas molecules far apart with arrows indicating compression forcing them closer. Right side shows liquid molecules tightly packed with compression arrows having no effect on spacing.
534,"A cuboid labeled with length 5.0 cm, width 4.0 cm, and height 2.0 cm"
535,"A speed-time graph showing a sloped line. The slope = Δvelocity/Δtime = acceleration, labeled with units m/s²."
536,A micrometer with its U-shaped frame holding the wire perpendicular between the anvil and the rotating spindle. The scale on the sleeve and thimble allows precise reading.
537,"Earth with an object above it. Arrows labeled ""weight"" point downward from the object to Earth’s center. Caption: ""Weight is the gravitational force pulling the object toward Earth."""
538,"A horizontal wire AB between N and S poles of a magnet, connected to a galvanometer. Arrows show vertical motion of the wire."
539,"Starting from any point on a refracted wavefront in the plastic, draw an arrow at 90° to the wavefront, angled downwards to the right. Ensure the arrow is clear and unambiguous."
540,"In the plastic region, show a refracted wavefront tilted relative to the boundary. At the point where this wavefront meets the boundary, draw an arc spanning from the wavefront to the boundary line. Mark this angle clearly with ""r""."
541,"- At point S on face XY, both rays share the same incident ray.  
- Inside the prism, draw the blue ray **below** the red ray, angled closer to the normal.  
- At the second face, draw the blue ray exiting and bending **more steeply downward** than the red ray, so it visibly diverges below it.  
- Label the entire blue path **""B""**."
542,"A cross-section of the cup, spoon, and liquid. Arrows show fast-moving liquid molecules colliding with the spoon's surface. Inside the spoon, wavy lines around molecules represent increasing vibration amplitude from the submerged end to the handle."
543,"A metal spoon in a cup of hot liquid. Arrows show liquid molecules colliding with the spoon's submerged end, transferring energy to free electrons. Wavy paths inside the spoon trace the movement of electrons from the hot end to the cooler handle."
544,"A horizontal rod of length 2.4 m, labelled ""rod"". Centre marked with a dot and downward arrow ""160 N"". Rope X attached at left end with upward arrow ""80 N"", rope Y at right end with upward arrow ""80 N"". Distances from centre to each end labelled ""1.2 m""."
545,"A simplified sketch showing two cars colliding, with the front section of car A visibly crumpling. Arrows indicate the direction of motion before impact, and a clock symbol emphasizes extended collision time."
546,"A central nucleus labeled ""86 protons + 134 neutrons"", surrounded by three elliptical electron shells with 2, 8, and 76 electrons respectively, totaling 86 electrons. The atom is labeled ""Radon-220""."
547,"- Draw a straight line from ""radio waves in air"" to the box labeled ""4"".  
- Draw a straight line from ""ultrasound in air"" to the box labeled ""1"".  
- Draw a straight line from ""X-rays in vacuum"" to the box labeled ""4"".  
"
548,"Protractor centered at the boundary point, with 0° along the normal. Incident ray extends from the boundary into glass at 35° from the normal."
549,"A straight wavefront approaching the boundary at an angle. After crossing into deep water, the wavefront bends away from the normal line, showing increased wavelength and a change in direction."
550,"A wavefront crossing a boundary from shallow to deep water. The wavelength is shorter in shallow water and longer in deep water, but the wave crests are equally spaced in time, indicating unchanged frequency."
551,"Two saucepans on hotplates, one noticeably wider than the other, with water at identical levels. Arrows indicate evaporation occurring across the entire surface of each pan, with more arrows over the wider pan to symbolize greater evaporation."
552,"Sketch wires X and Y viewed from above, with current arrows into the page. Draw clockwise field lines around X, showing the field at Y pointing downward. For force, add an arrow from Y pointing leftward."
553,"A simple sketch showing a d.c. supply connected to a primary coil with switch S, an iron core linking primary and secondary coils, and a galvanometer attached to the secondary coil. Arrows indicate the brief current flow in the secondary coil only when S is closed."
554,"A simple sketch showing a drop between two horizontal plates. Label the top plate ""+"" and bottom plate ""−"". Draw an arrow downward from the drop labeled ""weight"" and an arrow upward labeled ""electric force"". Ensure both arrows are equal in length."
555,"Draw the ray extending straight through the first face into the prism, with no change in its path."
556,A speed-time graph showing speed decreasing linearly from 18 m/s at t=0.9s to 0 m/s at t=4.0s. The gradient of this straight-line segment represents the deceleration.
557,"A simple sketch showing a car stopping suddenly. An arrow inside the car represents the driver's body continuing to move forward toward the steering wheel, labeled ""inertia."""
558,"A sketch showing lines EN and LN intersecting at N. A protractor is centered at N, with the baseline along EN. The angle between EN and LN is marked as θ₁, measured as 15°."
559,"A sketch of the ray-trace sheet showing pins P1 and P2 close together, with exaggerated misalignment arrows. Labels: ""Small pin separation → large angular error"" and ""Large separation → smaller error""."
560,"Sketch a rectangular block with parallel faces. Draw an incident ray at θ₂=40° hitting the first face, refracting inward, traveling straight inside, then refracting outward at the second face with an emergent ray parallel to the incident ray. Label α as the small angle between the extended incident ray and emergent ray, exaggerated for clarity."
561,"A voltmeter with a pointer at 3.2 V. The scale shows major marks at 0, 1, 2, 3, 4, 5 V, with 10 minor divisions per volt. The pointer rests precisely at 3.2 V."
562,"A thermometer showing a red liquid column. An eye is positioned horizontally level with the top of the column, with a sightline arrow pointing straight at the scale. A second eye is shown above with a diagonal sightline arrow, labeled ""parallax error""."
563,"Draw a rectangle to represent the resistor. Add two straight lines extending horizontally from the left and right ends as fixed terminals. From the center of the rectangle, draw a third line angled outward at approximately 45 degrees, ending with an arrowhead. This angled line represents the movable contact or ""wiper."""
564,"Fig. 1.2 shows a rectangular prism representing the taped stack. Use a ruler aligned with the edges to measure each dimension. Ensure the ruler starts at ""0"" at one edge and read the value at the opposite edge. For height, measure the total thickness of the stacked slides."
565,"Not required here, as the calculation relies on numerical values from previous parts."
566,"Locate the 23°C mark on the thermometer scale. Draw a **short, horizontal line** exactly level with the 23°C graduation. Ensure the line is clear and precise, with an accuracy within ±0.5°C. Do not label or write ""23°C"" – simply mark the position."
567,"Sketch a thermometer with an eye positioned directly at right angles to the scale. Show a second eye at an angle, with a dashed line indicating an incorrect line of sight that crosses the scale at a false point."
568,"A sketch showing the pendulum bob displaced to one side. A ruler is positioned horizontally below the bob, aligned with its center. A set square is placed vertically against the ruler, with one edge touching the ruler and the other edge confirming the horizontal alignment against a vertical reference surface, such as the pendulum stand."
569,"A simple pendulum with a bob attached to a string. The vertical position is marked with a dashed line at the bottom of the swing. Arrows show the bob moving left and right, passing through this line."
570,"Sketch a rectangular block with point G at the bottom. Label HG as ""real depth = b"". Draw a ray from G refracting at the top surface, appearing to come from N. Label HN as ""apparent depth = a"". Show angles of incidence and refraction."
571,"A simple circuit diagram showing a battery connected to a resistor in series with an ammeter. A voltmeter is connected in parallel across the resistor. Labels: ""A"" for ammeter, ""V"" for voltmeter, ""R"" for resistor."
572,"Sketch two beakers labeled ""Large"" and ""Small"", with arrows showing heat loss from the surface. The large beaker has a wider surface and more/longer arrows to indicate greater heat flow."
573,"Sketch a temperature-time graph starting at a high temperature with a steep negative slope. The curve gradually flattens as it approaches room temperature, showing decreasing steepness."
574,"A simple sketch would show the barrier arm pivoted at the left end, with the electromagnet below the left side of the arm. When the electromagnet attracts bar A downwards, the left side of the arm moves down, and the right side rises."
575,"A sketch of Table 2.1 would show two rows:  
- Row 1: Spring Q, Force = 80 N, Extension = 10 cm  
- Row 2: Spring R, Force = 40 N, Extension = 36.7 cm"
576,"Sketch showing the primary coil with a.c. supply, magnetic field lines radiating outward and cutting through the secondary coil, and an arrow labeled ""induced current"" in the secondary circuit."
577,"On the speed-time graph, draw a straight line that touches the curve exactly at t = 400 s. The tangent should follow the curve’s slope at that point, extending far enough to calculate its gradient accurately. Ensure the line is straight and not curved."
578,"A barrier with a 0.80 m gap. Sound waves approach the gap from the left. Straight arrows show undiffracted waves passing through to point K. Minimal curved arrows show weak diffraction failing to reach point J, which is offset laterally."
579,"Sketch a speed-time graph where the line is straight and steeply negative until 6.5 s, then becomes a downward-curving line after 6.5 s, showing decreasing steepness."
580,"A simple sketch would show two parallel branches:  
- **Branch 1:** Lamp 1 in series with S1 and S2.  
- **Branch 2:** Lamp 2 in series with S3.  
Closing S1 and S2 lights Lamp 1 only, as S3 is open and breaks the circuit for Lamp 2."
581,"A sketch showing Earth with a satellite in a circular orbit above the equator. Arrows indicate the satellite and Earth rotating at the same rate, keeping the satellite aligned over a single ground point."
582,"Imagine wave crests as parallel lines approaching the boundary between deep and shallow water at an angle. In shallow water, the crests are closer together and bend toward the normal line perpendicular to the boundary, showing the change in direction."
583,"The diagram would show Mercury close to the Sun as a small, solid sphere, and Jupiter farther away as a large, gaseous sphere with visible bands/clouds."
584,"A simple sketch of a rotating disk-shaped nebula with arrows showing inward collapse due to gravity. The Solar System forms near the center, and the entire system is embedded within a spiral galaxy labeled ""Milky Way""."
585,"Three concentric arcs centered on the gap, curving outward symmetrically on both sides. The arcs should spread wider than the gap width, demonstrating bending around the edges."
586,"Ensure equal spacing between adjacent arcs, identical to the spacing of the incident wavefronts approaching the barrier from the left."
587,"On Fig. 7.1, in the area before the barrier where wavefronts are parallel, draw a double-headed arrow perpendicular to the wavefronts, spanning the gap between two adjacent crest lines. Write ""λ"" beside the arrow."
588,"In Fig. 6.1, draw arrows rising from the wood burner to show warm air moving upward. Then, draw arrows sinking from the ceiling toward the burner to show cooler air descending. This forms a continuous loop, illustrating the convection current."
589,"On Fig. 2.1, draw a ruler aligned parallel to the coiled wire. Mark arrows indicating the start of the first loop and end of the last loop in the group. Label the distance between them as ""total width, W""."
590,"** Sketch the Sun at the center. Draw a flat, broad disc around it. Label the inner part ""hot region: rocky planets"" with small, dense circles. Label the outer part ""cold region: gas giants"" with larger circles surrounded by rings. Use arrows to show particles colliding and merging into larger bodies in both zones.**"
591,"Sketch a ripple tank with a clear boundary separating deep and shallow sections. Show straight wavefronts approaching the boundary at an angle, then bending as they cross it. Label the deeper region, shallower region, incident waves, and refracted waves."
592,"For all figures, sketch a standard setup: Fig. 1.3—spring balance with clay block hanging; Fig. 1.4—measuring cylinder with water at a specific level; Fig. 1.5—clay submerged in the same cylinder, showing a higher water level."
593,"Sketch showing a measuring cylinder with eye positioned perpendicular to the meniscus, highlighting the bottom curve of the meniscus aligned with the 56 cm³ mark."
594,"A rectangular block ABCD with a normal line perpendicular to side AB. Two incident rays are shown: one at 60° to the left of the normal, and another at 60° to the right. Optical pins are depicted as dots along the rays, with dotted lines extending behind the block to show ray paths."
595,"Simple circuit with diode, battery, ammeter in series, and voltmeter in parallel across diode."
596,"A rectangle representing a resistor, with a diagonal arrow crossing it from the top-left to the bottom-right. The arrow has an arrowhead at its midpoint, indicating the adjustable contact point."
597,"A rectangle representing the resistor, with an arrow pointing diagonally at the center of the rectangle. The arrow indicates the movable contact that allows the resistance to be adjusted."
598,"A vertical spring hanging from a fixed support. A ruler is clamped parallel to the spring, with its zero mark aligned with the top of the spring. A set square is shown touching both the ruler and the bottom of the spring, confirming alignment. An eye symbol indicates the observer viewing the ruler scale perpendicularly at the level of the spring’s end."
599,"Sketch two beakers—one with 75 cm³ water, another with 200 cm³—both with identical thermometers. Show steeper temperature decline on the 75 cm³ graph."
600,"A table with two columns. The first column heading is ""time / s"", and the second column heading is ""temperature / °C"". Rows below show numerical values without units, e.g., ""0, 80"", ""10, 75"", etc."
601,"Sketch of two beakers with identical shapes but different water levels. Arrows show heat escaping equally from both surfaces. Labels: ""Small volume: faster ΔT"" and ""Large volume: slower ΔT""."
602,"Arrow at eye level, pointing horizontally to bottom of meniscus curve."
603,"Fig. 1.4 shows a measuring cylinder with water. Draw a **horizontal arrow** positioned at eye level, pointing directly at the **bottom of the meniscus** curve. This ensures parallax error is avoided."
604,"Arrow drawn at the bottom of the meniscus, perpendicular to the scale to avoid parallax error."
605,"Arrow drawn perpendicular to the measuring cylinder, aligned with the bottom of the meniscus to avoid parallax error."
606,"A straight line emerging from CD, with two ✕ marks spaced ≥5 cm apart along the line."
607,"A rectangular transparent block with a normal line perpendicular to its surface. Two incident rays are shown: one at 60° from the left and another at 60° from the right, both refracting identically inside the block. Optical pins are placed on either side of the block to mark the ray paths."
608,"Fig. 3.2 shows an illuminated object, such as an arrow, with a height between 1.4 cm and 1.6 cm. The object is upright and clearly marked for measurement."
609,"A horizontal seesaw with a central pivot. Child A on the left, child B on the right. Child B is shown farther from the pivot than initially, with an arrow indicating clockwise rotation downward on child B's side."
610,"Sketch showing two lamps connected in parallel to a battery. Each lamp has its own direct path from the positive terminal to the negative terminal, with no shared path between them."
611,"Mark and label point **C** at the top of any upward peak of the sine wave, where pressure is maximum."
612,"Mark and label point **R** at the bottom of any downward trough of the sine wave, where pressure is minimum."
613,"A prism ABC with a light ray entering face AB perpendicularly. The normal is drawn as a dotted line at the entry point, showing the ray aligned with it. No bending is shown at the boundary."
614,"Sketch two labeled diagrams side by side. Left: A longitudinal wave shown as a series of compressed and spaced-out horizontal lines, with arrows indicating particle motion left/right parallel to the wave direction. Right: A transverse wave as a sine curve, with particles moving vertically perpendicular to the horizontal wave direction. Label compressions/rarefactions on the left and crests/troughs on the right."
615,A wave with parallel bands of high density [compressions] and low density [rarefactions] along the direction of propagation.
616,"A beaker with warm water; a small ice block floats near the surface. Particles in the ice are drawn as dots connected by springs, oscillating slightly. Particles in water are shown as dots with arrows indicating random, curved paths."
617,"A simple circuit with a battery, ammeter in series, voltmeter in parallel with the lamp, and variable resistor for control."
618,"At point P, draw a dashed straight line perpendicular to the prism surface. The normal should intersect the surface at exactly 90 degrees."
619,"At the first surface, draw the refracted ray bending toward the normal. The angle of refraction in glass should be smaller than the angle of incidence in air."
620,Draw a straight line from the refracted ray at P to the exit point on the opposite face.
621,"At the second surface, draw the ray bending away from the normal. The angle of refraction in air should be larger than the angle of incidence in glass."
622,"1. Incident ray in air approaches point P.  
2. At P, refracted ray bends sharply toward the normal into the glass.  
3. Straight ray through the glass.  
4. At the exit point, refracted ray bends away from the normal into the air.  
"
623,"Imagine parallel straight wave crests approaching a barrier with a slit. After passing through the slit, the crests form semi-circular patterns spreading outward."
624,"A vertical container with an arrow labeled ""heat source"" at the base. Arrows inside show heated water rising from the bottom to the top, then cooling and sinking down the sides, forming a circular convection current. Label ""less dense hot water"" at the top and ""denser cold water"" at the bottom."
625,"** Sketch 10+ small circles randomly distributed. Ensure irregular spacing—some close, some far—with no clustering. Emphasize large gaps between particles to show low density. Particles must not touch or form patterns.**"
626,"Sketch showing a road sign with a wider, heavier base compared to the original. Arrows indicate a lower centre of mass and extended base edges."
627,"A grid of dots representing atoms, with arrows showing small back-and-forth vibrations around fixed points. The dots are evenly spaced in rows and columns, emphasizing the ordered structure."
628,"A simple sketch showing particles in a grid. At higher temperature, arrows indicating vigorous vibrations and larger gaps between particles. At lower temperature, smaller vibration arrows and reduced gaps."
629,"A solenoid with coils wrapped around a core. Current arrows on the coils show the flow direction. Label ""X"" is at one end of the core. Applying the right-hand rule: fingers follow current arrows, thumb points to X, confirming it as the north pole."
630,"Add the letter ""R"" in the angle formed by the reflected ray and the normal, matching the position and style of the existing angle label for the incident ray. Ensure ""R"" is clear and unambiguous."
631,"A plane mirror with a normal line drawn perpendicular to its surface. An incident ray approaches the mirror at 40° to the normal, and the reflected ray leaves the mirror at 40° to the normal on the opposite side."
632,Continue this ray from the lens in a straight line through F₂ and beyond.
633,Extend this ray in a straight line beyond the lens without bending.
634,Mark the point where the ray through F₂ and the undeviated ray cross. This point is the top of the image. Draw a vertical arrow from the principal axis to this point to represent the image.
635,"From the principal axis, draw a vertical arrow ending at the intersection point of the two refracted rays. The arrow should be perpendicular to the principal axis, with its tail on the axis and head at the intersection. If the top of the object is above the axis, the image will be inverted, so the arrow points downward."
636,A triangular prism with a white light ray entering from the left. The emergent ray fans out into a spectrum. Label X at the red end and Z at the violet end. Arrows show the sequence of colours: red → orange → yellow → green → blue → indigo → violet.
637,"Sketch showing four identical rods clamped horizontally, heated at one end. Each rod has a uniform wax coating. Labels indicate materials and a ruler beside each rod to measure melted wax length."
638,"A container with gas, sealed by a movable piston. An arrow labeled ""30 N"" points inward toward the piston, indicating the force direction. The piston moves inward by 0.18 m, shown with a dashed outline at the initial position and solid at the final position."
639,"Fig. 1.1 would show a speed-time graph with three labeled sections: R, S, T. At S, the line is horizontal; at T, the line slopes downward."
640,"A converging lens focuses light from an object onto a screen. The screen has graph paper attached, showing clear grid lines. The image is formed directly on the grid, and its height spans from the 2.0 cm to 5.0 cm marks, indicating a height of 3.0 cm without any obstruction."
641,"Draw a rectangle to represent the resistor. Add an arrow pointing diagonally across the rectangle, touching its center. The arrow should be at approximately 45 degrees to the rectangle's sides, indicating the adjustable contact point."
642,"Sketch showing a lens, an object on one side, and a screen being moved along the optical axis. Arrows indicate slow back-and-forth motion of the screen. Light rays converge at the sharp image point."
643,"A simple sketch showing a lens, light rays forming an image on a translucent screen, and a ruler placed behind the screen to measure the image height without blocking light."
644,"Imagine the Earth at the center. Position A has the Moon to the left of Earth; position E has it to the right. Sunlight comes from one side, illuminating half of each Moon."
645,"Position G is farthest from the Sun, with Earth between the Sun and Moon. The Moon appears fully lit from Earth's perspective."
646,"** On Fig. 8.1, draw curved lines emerging from the north pole and entering the south pole. Add arrows on the lines pointing away from N and toward S. Show lines closer near the poles and spreading out farther away. Include dots and arrows from compass positions to demonstrate the tracing process."
647,Fig. 7.1 shows a converging lens with an object placed close to it. Rays from the object pass through the lens and converge. The focal point is clearly marked 2 grid units to the right of the lens center. The grid scale is labeled: 1 unit = 5 cm.
648,"A horizontal arrow labeled ""direction of wave propagation"" with perpendicular up/down arrows labeled ""particle vibration"" along its length."
649,"A simple sketch showing molecules in a solid lattice with bonds, then breaking bonds with ""energy input"" arrows, and finally molecules moving freely in a liquid."
650,"Sketch two containers side-by-side. Left: Liquid state with closely spaced molecules, arrows showing short, curved paths and clusters sliding. Right: Gas state with widely spaced molecules, arrows showing long, straight paths in random directions."
651,"Sketch two identical beakers side by side. Label the first: ""Lid on top, no side insulation"". Label the second: ""No lid, insulation wrapped around sides"". Show thermometers in both beakers and a clock indicating equal time intervals."
652,"Sketch showing two identical beakers of water, one at 80°C and one at 60°C in the same room. Arrows indicate heat flow away from both, with thicker arrows for the 80°C beaker to represent faster cooling."
653,"Quark charge summary: up quark [+2/3e], down/strange quark [-1/3e]. For D: two up quarks [+2/3e each] and one strange quark [-1/3e] sum to +1e."
654,"Same series-opposition setup, but no external resistor. Total resistance is sum of internal resistances only."
655,"Imagine a grid of equally spaced, parallel horizontal arrows representing the electric field lines, all pointing in the same direction. A positive charge P is placed at any point within this grid. Because the lines are parallel and evenly spaced, the electric field strength is identical everywhere. Moving P slightly up, down, left, or right keeps it within the same uniform field, so the force on P does not change."
656,"Two sine waves with identical wavelength/frequency. Wave 2 is shifted by a fixed angle relative to Wave 1, maintaining a steady phase offset over multiple cycles."
657,"Waves pass through the gap as straight, parallel wavefronts with no bending or spreading."
658,"Waves spread only at the edges of the gap, forming two separate ""fans"" of waves, while the center remains relatively undisturbed."
659,"Waves converge or focus after passing through the gap, forming a V-shape or narrowing pattern."
660,"A horizontal spectrum showing arrows pointing left to right with labels: gamma-rays [shortest wavelength, highest frequency], ultraviolet, infrared, radio waves [longest wavelength, lowest frequency]."
661,"A sine wave spanning 3.33 horizontal divisions from peak to peak, with the time-base set to 20 μs/div. One cycle starts at a zero-crossing, reaches a maximum at ~0.83 divisions, returns to zero at 1.67 divisions, reaches a minimum at 2.5 divisions, and returns to zero at 3.33 divisions."
662,"A sine wave labeled ""Red light"" with longer wavelength, and a sine wave labeled ""Green light"" with shorter wavelength. Both waves travel at identical speeds, but the green wave has more peaks per unit distance, indicating higher frequency."
663,"Sketch of four falling balls. Ball B is densest/smallest, falling fastest with a steeper trajectory. Air resistance arrows are smaller for B compared to others, showing less drag."
664,Projectile trajectory from P to Q. Initial velocity V at angle θ. Horizontal distance R. Parabolic path symmetric about the highest point. Time of flight T derived from vertical motion.
665,"A number line showing true value V. Equipment X: three dots at V. Equipment Y: three dots at V-1. Equipment Z: dots at V-1, V, V+1. This illustrates consistency for precision and proximity/average for accuracy."
666,"76 mA lies between the 70 mA and 80 mA minor marks, closer to 80 mA."
667,165 mA is midway between the minor marks at 160 mA and 170 mA.
668,183 mA is slightly above the 180 mA mark but below 190 mA.
669,"Standard Model chart showing quarks, leptons, and force carriers. The electron is listed under ""Leptons,"" alongside neutrinos, while protons/neutrons are absent as they are composite."
670,"Imagine three resistors placed end-to-end: X---[R]---A---[R]---B---[R]---Y. The current flows through all three resistors sequentially, with no branching paths."
671,A rectangle with height 0.50 A and width 3600 s.
672,"A standard double-slit setup showing a light source, two slits with separation labeled ""q"", and a screen at distance ""p"". Fringes on the screen are spaced wider when q decreases."
673,"Plane waves approach a barrier with a single narrow slit. After passing through the slit, the waves spread out radially in semicircular patterns."
674,"A graph with time on the x-axis and observed frequency on the y-axis. As the ambulance approaches and decelerates, the frequency starts high and decreases until it passes the observer. After passing, as it accelerates away, the frequency continues to decrease but at a faster rate."
675,"A roll of tape with an arrow labeled ""F = 20 N"" pulling tangentially on the free end. As the tape unwinds, the unwrapped length ""d = 50 m"" is shown as a straight line, with the force and displacement vectors parallel."
676,"A rocket mid-ascent with three arrows:  
- Downward arrow labeled ""Fuel consumption → ↓ chemical energy""  
- Upward arrow labeled ""Δh ↑ → ↑ GPE""  
- Upward arrow labeled ""Δv ↑ → ↑ KE"""
677,Two balls moving toward each other → Collision with deformation/sound waves → Stuck balls with increased temperature.
678,"A sine wave spanning 4 cm horizontally, showing two peaks and two troughs, with each centimeter marked as 20 ms. The total time for 4 cm is 80 ms, covering two full cycles."
679,"A cylinder labeled ""Human Body Approximation"" with height 1.7 m and radius 0.14 m, showing volume calculation as πr²h."
680,"A cell connected such that R1 is in series with a parallel combination of R2 and R3. The cell's positive terminal connects to R1, which then splits to R2 and R3, rejoining before returning to the cell's negative terminal."
681,"Displays circular or concentric field lines centered between the charges, resembling the field of a single point charge or magnetic dipole."
682,"Shows field lines radiating outward from both charges as if both are positive, or with lines terminating at both as if both are negative. May have asymmetric curvature."
683,"A gap with width w. Waves with λ ≈ w curve outward broadly after the gap. Waves with λ ≪ w show little bending, forming a narrow beam."
684,"A sinusoidal curve with peaks at maximum upward displacement and troughs at maximum downward displacement, perpendicular to the wave's travel direction."
685,"A sine wave labeled with wavelength λ = 4.0 m. Two points are marked at a distance d = 0.50 m apart, showing one-eighth of a full cycle. The angular separation between these points is 45°."
686,"Horizontal arrow labeled ""Thrust"" pointing right, horizontal arrow labeled ""Drag"" pointing left, both acting on an aircraft. Lengths equal to show thrust = drag."
687,"A linear graph with m on the y-axis and l on the x-axis. The gradient G is the slope, illustrated as a right triangle with rise = Δm and run = Δl. Below the graph, a cylinder is shown with radius r and length l, emphasizing that volume depends on r² and l."
688,"A particle with negative charge in a downward electric field. The electric force arrow points upward, opposing the downward gravitational force arrow. Both forces are equal in magnitude, resulting in no net vertical force."
689,"Thimble edge at 2.50 mm on the sleeve; thimble's ""0"" aligned with the reference line."
690,"Thimble edge slightly beyond ""0""; the 5th division on the thimble aligns with the reference line."
691,"A rectangular container filled with sand grains. Arrows indicate air gaps between irregular grains. Under compression, grains rearrange, reducing gaps and increasing bulk density toward 2 g cm⁻³."
692,"A simple circuit with a battery and resistor. Arrows show charge flow from the battery's positive terminal, through the resistor, and back to the negative terminal. Energy transfer labels: ""Electrical → Thermal"" at the resistor."
693,"Two wires in parallel. Wire R1 has diameter d1 and length L1. Wire R2 has diameter d2 = d1/2 and length L2. The diagram shows R1 thicker and shorter, R2 thinner and longer, with labels emphasizing the diameter and length ratios."
694,"Two horizontal plates with positive charge on top and negative on bottom, creating a downward electric field. A negatively charged oil droplet experiences an upward electric force and downward gravity. Initially, forces balance. After mass loss, upward force dominates, causing upward acceleration. Increasing plate separation weakens the electric field, restoring balance."
695,"A plane wave approaches a barrier with a narrow gap. After passing through, the wavefronts curve outward, forming semicircular arcs, demonstrating spreading into the geometric shadow region."
696,"A displacement-time graph with oscillations. Initially, peaks are spaced 4 units apart on the time axis. Later, peaks are spaced 2 units apart. The decreasing horizontal spacing indicates increasing frequency."
697,"Two sine waves with identical wavelengths. Wave X has amplitude 1.5 units, Wave Y has amplitude 2.5 units. For constructive interference, peaks align, resulting in a wave of amplitude 4.0 units. For destructive interference, peaks of X align with troughs of Y, resulting in a wave of amplitude 1.0 unit. Intensity is shown as proportional to the square of amplitude heights."
698,Forces tangential but both upward—net torque zero or non-couple motion.
699,"One force tangential at the top, one radial at the side—net force and erratic torque."
700,Momentum Conservation Visualization
701,A book rests on a table. Weight acts downward as a vector arrow. Pressure on the table surface is a scalar value distributed uniformly.
702,"A simple series circuit with a battery, a fixed resistor labeled X, and a variable resistor. Current flows through both resistors."
703,"A graph showing energy vs. time. KE starts high at throw, decreases to zero at max height, then increases during fall. PE starts low, increases to max at apex, then decreases. The total energy line is horizontal, indicating it is constant."
704,"A visual representation of the antineutron would show three antiquarks: one ū and two đ. The ū antiquark is typically denoted with a bar over ""u"", and each đ antiquark with a bar over ""d"". The three antiquarks are bound together, forming a neutral particle with no electric charge."
705,"Sketch of the circuit. Battery connected to L1 in series. After L1, the circuit splits into two parallel paths: one with L2 and another with L3 + switch S. When S is open, only L2 is active; when S is closed, both L2 and L3 are active."
706,"A simple circuit showing a 12.0 V power supply connected to a lamp via a cable with two wires. The lamp has a voltage of 10.5 V across it. The cable wires each have length L, resistivity ρ, and cross-sectional area A."
707,"At B, field lines point leftward. Force on electron should be rightward."
708,"At C, field lines point leftward. Force on electron should be rightward."
709,Field lines above the midpoint are slightly curved but still directed rightward.
710,"A sound wave approaching a doorway. The wavefronts bend around the edges of the door, spreading into the shadow region behind the door."
711,"A displacement-time graph with two waves. Wave X has closely spaced peaks, indicating high frequency. Wave Y has widely spaced peaks, taking twice as long to complete one cycle."
712,"U-tube with left arm connected to gas tap, right arm open. Water level in left arm is LOWER than right arm. Point A and B are marked at the same horizontal level in the bottom U-bend."
713,"In diagram D, imagine an inclined slope. The weight vector is a downward arrow from the ball's center. The normal force is an arrow perpendicular to the slope, pointing away and upward. The friction force is an arrow along the slope, pointing uphill. All vectors are proportional: weight is longest, normal and friction are shorter and perpendicular to each other."
714,"Friction arrow points downhill, amplifying motion instead of opposing it."
715,"Normal force arrow is vertical, not perpendicular to the slope; friction may be misaligned."
716,"Friction arrow is perpendicular to the slope, overlapping with the normal force direction instead of being parallel to the slope."
717,"A hyperbolic path is typical for such an encounter. The rock approaches from infinity along one asymptote, swings around the star, and departs along the other asymptote in the opposite direction. The star recoils along the axis of symmetry, opposite to the direction of the rock's final departure. Arrow X, if shown, might not align with this recoil direction."
718,"A number line from 36.30 to 36.40. The value 36.35165 is marked, showing it is greater than 36.35, hence closer to 36.40 than 36.30."
719,"Two vectors P and R starting from origin O. P ends at A, R ends at B. Vector X is drawn as an arrow from B to A, forming a triangle O-B-A."
720,"A horizontal pair of charged plates, positive on top and negative on bottom. An alpha particle entering horizontally near the top plate is shown curving downwards towards the negative bottom plate."
721,Same plates as before. A beta-minus particle entering horizontally near the bottom plate is shown curving upwards towards the positive top plate.
