,Prompt
263," A supply and demand graph with MPC, MSC, and MSB curves. The market equilibrium, where MPC intersects MPB, results in a higher quantity and lower price than the social optimum, where MSC intersects MSB. The welfare loss triangle between these equilibria illustrates the efficiency loss caused by the externality.) "
264," a PPF curve with unemployment represented by a point inside the curve). This inefficiency reduces total output, lowering real GDP and potentially slowing economic growth. The loss of output represents a permanent reduction in living standards, as goods and services that could have been produced are foregone. This is particularly severe during cyclical unemployment, where aggregate demand falls short of productive capacity, creating a negative output gap. The longer unemployment persists, the greater the cumulative loss of potential output, which cannot be recovered even if employment later rises. "
265," LRAS curve shifting left). This structural damage can perpetuate higher natural rates of unemployment, creating persistent economic scars. However, the significance of this cost varies with the **type and duration of unemployment**. Cyclical unemployment’s output loss may be reversible with demand-side policies, whereas structural unemployment’s hysteresis effects are more detrimental. "
266," In an AD/AS model, actual growth is illustrated by a movement along the short-run aggregate supply (SRAS) curve due to an increase in aggregate demand (AD1 to AD2), raising equilibrium real GDP from Y1 to Y2 at the same price level if the economy is in the Keynesian range, or with rising prices in the intermediate or classical ranges."
267," On a production possibility frontier (PPF), potential growth is shown by an outward shift of the curve from PPF1 to PPF2, indicating that the economy can produce more goods and services in both sectors. In the AD/AS framework, this corresponds to a rightward shift of the LRAS curve (LRAS1 to LRAS2), increasing the full-employment level of output from Yf1 to Yf2. Crucially, potential growth may not immediately translate into higher actual output if aggregate demand does not adjust to match the new capacity, resulting in a negative output gap."
268," In the Keynesian 45° diagram, actual growth corresponds to movements along the aggregate expenditure curve, while potential growth would involve an upward shift in the vertical LRAS line, indicating higher equilibrium income at full employment. This interplay underscores that actual growth reflects temporary demand adjustments, whereas potential growth embodies permanent enhancements to economic capacity, shaping long-term prosperity"
269," PPF with points A inside the curve and B on the curve, illustrating actual growth as movement from A to B. DIAGRAM: AD-AS model showing AD1 shifting to AD2, intersecting SRAS at higher real GDP.) Actual growth is cyclical and can be influenced by demand-side factors like fiscal policy, interest rates, or export demand. However, it is constrained by the economy’s current productive capacity, meaning sustained growth beyond this capacity risks inflationary pressures"
270," PPF shifting outward from PPF1 to PPF2. DIAGRAM: LRAS1 shifting to LRAS2 in the AD-AS model.) Unlike actual growth, potential growth may not immediately translate into higher real GDP if aggregate demand remains insufficient to absorb the new capacity. For example, an economy could experience technological advancements that expand its potential output, but if demand remains stagnant due to low investment or consumer spending, actual growth might not materialise. In the Keynesian 45-degree diagram, potential growth corresponds to a rightward shift of the vertical LRAS curve, indicating higher full-employment output, while actual growth is depicted by movements along the aggregate expenditure line towards this new equilibrium. Crucially, potential growth is structural and path-dependent, requiring sustained investment in productive resources rather than short-term demand stimuli. Together, these concepts distinguish between transient, demand-driven increases in output and enduring, supply-driven enhancements to economic capacity"
271," A budget line tangent to an indifference curve at point E, with the slope of the indifference curve at E equal to the slope of the budget line.) This tangency condition ensures the consumer is optimizing their utility given their budget constraint. "
272," AD/AS model showing a rightward AD shift with higher equilibrium output). Actual growth can also arise from temporary improvements in productivity or reductions in input costs, which shift SRAS rightward. However, actual growth is constrained by the economy’s existing productive capacity, meaning it cannot exceed potential output in the long run without causing inflationary pressures. "
273," PPF shifting outward). In the AD/AS framework, potential growth corresponds to a rightward shift in the long-run aggregate supply (LRAS) curve, reflecting higher productive capacity. Factors driving potential growth include increases in the quantity or quality of labour (e.g., education), capital accumulation, technological progress, and institutional reforms. Crucially, potential growth does not necessarily translate to immediate increases in real GDP; if AD remains stagnant, the economy may operate below its new capacity, resulting in a negative output gap. "
274," A downward-sloping long-run average cost curve illustrating economies of scale). Larger firms achieve lower per-unit costs, making it economically unviable for smaller firms to compete on price. Conversely, markets with low barriers to entry, such as those with minimal capital requirements or simple production processes, allow numerous small firms to operate. These firms may lack pricing power but survive by serving niche markets or local demand, where economies of scale are less critical"
275, A network effects diagram showing increasing marginal utility with user base expansion)
276," A Keynesian aggregate demand and supply diagram showing the long-run aggregate supply curve (LRAS) at full employment output (Yf), the aggregate demand curve (AD) intersecting the short-run aggregate supply curve (SRAS) at an equilibrium output level (Y1) below Yf. The vertical distance between Y1 and Yf represents the deflationary gap.) In this diagram, the economy operates at Y1, where AD intersects SRAS, but Y1 is less than Yf, implying underutilisation of factors such as labour and capital"
277," PPF with points inside and shifts outward), actual growth corresponds to movement from a point inside the curve (indicating underutilised resources) toward the curve itself, representing fuller resource employment. Potential growth, however, involves an outward shift of the entire PPF, signifying an increase in maximum possible output due to improved productive capacity. Similarly, in the AD-AS model (DIAGRAM: AD shifting along SRAS vs. LRAS shifting right), actual growth arises when aggregate demand increases, causing a movement along the short-run aggregate supply (SRAS) curve, which may involve higher output and temporary price increases. Potential growth, conversely, is depicted by a rightward shift of the long-run aggregate supply (LRAS) curve, reflecting sustained increases in output without persistent inflationary effects, as productive capacity expands. "
278," A downward-sloping marginal utility curve, with quantity on the horizontal axis and marginal utility on the vertical axis, illustrating how marginal utility declines as consumption increases."
279," A convex indifference curve with good X on one axis and good Y on the other, showing how the slope—the MRS—flattens as more of good X is consumed."
280," Perfect competition short-run equilibrium.) In perfect competition, the firm faces a horizontal demand curve (AR=MR) due to its price-taking nature. The profit-maximizing output occurs where marginal cost (MC) equals marginal revenue (MR). In the short run, if market demand increases, the equilibrium price may rise above the firm’s average cost curve, creating an AR > AC scenario and generating supernormal profit, represented by the shaded area between AR and AC at the output where MC=MR. However, in the long run, the absence of barriers allows new firms to enter the market, increasing industry supply. This shifts the supply curve rightward, reducing the market price until it aligns with the minimum point of the firm’s AC curve. At this new equilibrium, AR=AC, eliminating supernormal profit and restoring normal profit. "
281," Monopoly equilibrium.) A monopolist faces a downward-sloping demand curve (AR), reflecting its price-setting power. Profit maximization occurs at MC=MR, with the corresponding price determined by the AR curve. Since the monopolist’s AR curve lies above the AC curve at this output, supernormal profit is sustained in both the short and long run, represented by the area between AR and AC. Barriers to entry prevent new firms from entering, allowing the monopolist to retain supernormal profit indefinitely. "
282," A standard supply and demand graph showing consumer surplus, producer surplus, and deadweight loss when the market is not at equilibrium."
283," Indifference curve and budget line tangency. The budget line, with intercepts determined by income and prices, is tangent to an indifference curve at point E, representing the equilibrium quantity of goods X and Y. The slope of the budget line at E equals the MRS, illustrating the equality between the consumer’s subjective trade-off and the market’s objective price ratio."
284," Price-consumption curve and derived demand curve. The price-consumption curve connects equilibrium points E1, E2, and E3 as the price of X falls. Corresponding points on the demand curve (D) show increasing quantities of X demanded at lower prices, illustrating the inverse relationship between price and quantity demanded."
285," A budget line tangent to an indifference curve at point E, with axes labeled \( X \) and \( Y \)."
286," The monopoly diagram illustrates this with a deadweight loss triangle between the monopolist’s restricted output (Qm) and the competitive equilibrium output (Qc), where societal welfare is maximized"
287," A demand curve derived from marginal utility theory, showing price on the Y-axis and quantity on the X-axis, with points corresponding to the equality of marginal utility and price."
288," A series of budget lines and indifference curves showing equilibrium points for different prices of Good X, with the corresponding demand curve plotted separately.) Since the analysis inherently involves two goods, a distinct diagram is required for each good’s demand curve, unlike the single-diagram approach of marginal utility theory"
289," A PPF curve shifting from PPF1 to PPF2, illustrating technological advancement). This occurs because new technology allows firms to optimise processes, reduce waste, and lower average costs of production. For instance, automation may enable a factory to produce 100 units per hour with 10 workers instead of 20, doubling labour productivity. "
290," A shift left in the demand curve for labour from D1 to D2, showing reduced employment at the initial wage rate). However, in the long run, secondary effects may mitigate unemployment. Lower production costs from technological adoption can reduce prices, increasing real incomes and consumer demand. Higher demand may stimulate output expansion, raising derived demand for labour in other sectors. Additionally, new industries often emerge from technological progress—such as software development roles created by the rise of AI—absorbing displaced workers. Further, if technological advancements lower the cost of capital goods, firms may invest more broadly, increasing aggregate demand and employment through multiplier effects. "
291," In monopsony, the MCL curve lies above the upward-sloping labour supply curve, intersecting MRPL at a lower employment level than the competitive equilibrium. In perfect competition, the horizontal labour supply curve intersects MRPL at a higher employment level with wages equal to MRPL"
292," The MRPL curve shifts right, intersecting the horizontal supply curve at a higher employment level, with no change in the wage rate. In a monopsony, the rightward MRPL shift alters the profit-maximising equilibrium. The monopsonist recalculates employment where the new MRPL intersects MCL. Since MCL is upward-sloping, this intersection occurs at a higher employment level and a higher wage compared to the initial equilibrium. However, the wage remains below the new MRPL, preserving the monopsony’s ability to pay below workers’ marginal revenue product. DIAGRAM: The rightward MRPL shift intersects the MCL curve at a higher point, leading to increased employment and wages, but wages still lag behind MRPL"
293," A monopoly’s cost curves showing the limit price (P_L) set below the average cost curve of a potential entrant (AC_E), making entry unprofitable. The monopolist’s own average cost (AC_M) is lower due to economies of scale, allowing it to sustain P_L while still covering its costs."
294," A downward shift in the monopolist’s average cost curve (AC_M1 to AC_M2) due to dynamic efficiency, allowing it to maintain or further reduce prices while increasing profits.) In this scenario, consumers continue to benefit from lower prices and improved product quality. Conversely, if the monopolist becomes complacent, the absence of competitive pressure may lead to X-inefficiency, where management inefficiencies raise production costs. Over time, these higher costs could be passed on to consumers through elevated prices, particularly if the monopolist abandons limit pricing once entry barriers are firmly established"
295," A Phillips curve illustrates the short-run inverse relationship between unemployment and inflation. When AD increases due to expansionary fiscal or monetary policy, output rises, unemployment falls, but demand-pull inflation may occur as firms raise prices amid higher consumer spending. Conversely, contractionary policies to reduce inflation could increase unemployment. DIAGRAM: An AD/AS model shows that in the short run, an economy operating below full employment (at point A with output Y1) can increase AD to Y2 (full employment) without significant inflation. However, pushing AD beyond Y2 to Y3 leads to rising price levels (P1 to P2), creating a trade-off between growth and inflation. "
296," A rightward shift in AD could widen the trade deficit if import elasticity is high. Similarly, supply-side policies to boost long-run AS (shifting AS right) might improve competitiveness and reduce the deficit, but these policies take time and may not address short-term imbalances. Another conflict arises between inflation and unemployment in the long run. While the short-run Phillips curve suggests a trade-off, the long-run vertical Phillips curve implies that sustained demand-side stimulus only causes inflation without reducing unemployment below the natural rate. DIAGRAM: A long-run Phillips curve vertical at the natural rate of unemployment shows that attempts to keep unemployment below this level lead to accelerating inflation. "
297," In the AD-AS model, a rightward shift of AD from AD1 to AD2 reduces the negative output gap (Y1 to Yp), lowering cyclical unemployment as real output approaches full employment levels. However, when interest rates are already very low, further reductions may have limited impact. The zero lower bound (ZLB) restricts nominal interest rates from falling below zero, impairing central banks’ ability to stimulate demand. Even if rates are slightly positive, households and firms may exhibit liquidity preference, hoarding cash due to pessimistic expectations about future income or profits, rendering interest rate cuts ineffective. Additionally, commercial banks may tighten credit standards during recessions, limiting the availability of loans despite low policy rates. This breakdown in the monetary transmission mechanism weakens the policy’s ability to resolve cyclical unemployment"
298," A fiscal expansion shifts AD from AD1 to AD2 more substantially than monetary policy in a low-rate environment, closing the output gap (Y1 to Yp) and reducing unemployment. However, fiscal interventions face challenges, including implementation lags—delays in legislative approval and project initiation—which reduce timeliness compared to central banks’ quicker rate adjustments. Political constraints, such as concerns over budget deficits and public debt sustainability, may also limit the scale of fiscal measures. Despite these issues, fiscal policy’s direct demand stimulus makes it a critical tool when monetary policy is constrained"
299," A money market diagram showing the central bank shifting the money supply curve (MS) leftward through open market operations, raising the equilibrium interest rate from r1 to r2. This illustrates how reduced money supply tightens credit conditions. "
300," A balance sheet expansion of a commercial bank showing an increase in loans (assets) and deposits (liabilities), reflecting money supply growth. "
301," A loanable funds market diagram where higher interest rates (r1 to r2) decrease the equilibrium quantity of loans from Q1 to Q2, assuming elastic demand. However, if loan demand is interest-inelastic—for example, when businesses require credit for essential investments or households need mortgages despite rising rates—the decline in borrowing is minimal. In this scenario, higher lending rates increase interest revenue more than the reduction in loan volume reduces it, leading to higher profits. DIAGRAM: The same loanable funds market with a steeper (inelastic) demand curve, showing a smaller decrease in loan quantity (Q1 to Q2) despite a significant rate rise (r1 to r2), resulting in greater total revenue (area under P2Q2 compared to P1Q1). "
302," In a labour market diagram, the total wage is split between transfer earnings (the area under the supply curve up to the equilibrium wage) and economic rent (the area above the supply curve but below the wage level). When supply is perfectly inelastic (vertical supply curve), the entire wage is economic rent. When supply is perfectly elastic (horizontal supply curve), the entire wage is transfer earnings. "
303," A steep, inelastic supply curve intersects with a high demand curve, creating a large economic rent component (the area above the supply curve). Most of their earnings are economic rent because their skills are non-transferable; even a small reduction in wages would not prompt them to leave their profession, as alternative occupations cannot offer comparable compensation. "
304," A flat, elastic supply curve intersects with a lower demand curve, resulting in a wage predominantly composed of transfer earnings (the area under the supply curve). Street cleaners’ wages are close to their transfer earnings because they could easily switch to similar low-skilled jobs if wages fell below the market rate. "
305," A supply and demand graph showing the shift from S1 to S2 due to the tax, with the deadweight loss triangle between Q2 and Q1.) By increasing production costs, the tax incentivises firms to adopt cleaner technologies or reduce output, lowering emissions. Allocative efficiency is improved as the market moves closer to the socially optimal output where marginal social cost equals marginal social benefit. However, the effectiveness of the tax depends on the price elasticity of demand for carbon-intensive goods. If demand is inelastic, the tax may generate significant government revenue but have limited impact on reducing emissions. Additionally, the regressive nature of consumption taxes could disproportionately affect lower-income households, who spend a higher proportion of income on energy-intensive goods"
306," A demand and supply graph for permits, with a vertical supply curve at the cap level and a downward-sloping demand curve intersecting at the equilibrium price.) This system achieves allocative efficiency by allowing firms with lower abatement costs to reduce emissions and sell surplus permits, while firms with higher abatement costs purchase permits. Over time, the government can lower the cap to reduce total emissions. The flexibility of trading encourages cost-effective emission reductions and innovation in green technologies. However, the environmental effectiveness hinges on the cap’s stringency. A lenient cap may fail to meaningfully reduce emissions, while an overly strict cap could raise production costs excessively, leading to higher consumer prices or job losses in carbon-intensive industries. Additionally, monitoring compliance and preventing fraud in permit trading requires robust administrative infrastructure"
307," A circular flow diagram illustrates how banks channel savings into investments, closing the leakages-injections gap by recycling idle funds into productive uses"
308," A money market diagram shows how intermediation shifts the supply of loanable funds, lowering equilibrium interest rates and increasing the quantity of loans, thus expanding investment"
309, A credit creation multiplier diagram demonstrates how an initial deposit leads to a larger increase in total money supply through successive rounds of lending
310," A labor market diagram with wage on the vertical axis and quantity of labor on the horizontal axis. The equilibrium wage W1 intersects supply S and demand D at quantity Q1. A minimum wage set at Wmin above W1 reduces quantity demanded to Q2 and increases quantity supplied to Q3, creating unemployment Q3–Q2). Employers facing higher wage costs may reduce employment levels, particularly in industries where labor demand is elastic (e.g., low-skilled sectors where automation or outsourcing is feasible). This reduction in employment could harm some employees through job losses, offsetting the benefits of higher wages for those who remain employed. Conversely, in labor markets with monopsonistic power—where a single employer dominates and suppresses wages below competitive levels—a minimum wage set at or near the competitive equilibrium could increase both wages and employment (DIAGRAM: A monopsony labor market where the employer’s marginal cost of labor curve lies above the labor supply curve. A minimum wage set at the competitive equilibrium shifts the effective labor supply curve to horizontal at Wmin, leading to higher employment and wages). Here, employers are not necessarily worse off, as the wage increase aligns with the marginal revenue product of labor, potentially improving productivity. "
311," A kinked demand curve with two segments: a relatively elastic segment above the prevailing price and a relatively inelastic segment below it.) If a firm raises its price above the current equilibrium (P*), competitors are unlikely to follow, causing the firm to lose a substantial share of its customers due to the elastic demand. Conversely, if it lowers its price below P*, rivals are compelled to match the reduction to retain their market share, resulting in only a modest increase in sales due to inelastic demand. The corresponding marginal revenue curve has a vertical discontinuity at the equilibrium output (Q*), implying that even if marginal costs fluctuate within this range, the profit-maximizing price and output remain unchanged. This explains why oligopolistic firms may avoid frequent price adjustments despite shifts in costs or demand. "
312," A natural monopoly diagram shows a downward-sloping average cost curve intersecting demand, illustrating that a single firm can produce at a lower cost than multiple smaller firms. This suggests that economies of scale could theoretically benefit consumers through lower prices if the monopolist operates efficiently. "
313," The Mundell-Fleming trilemma illustrates this conflict, showing that a country cannot simultaneously maintain fixed exchange rates, free capital movement, and independent monetary policy. Under fixed exchange rates and open capital markets, monetary policy becomes ineffective for domestic objectives like inflation control. "
314," A monopsony labor market graph showing the initial wage Wm and employment Qm, with the minimum wage shifting the effective labor supply curve horizontally, leading to higher wage Wmin and employment Qc). This corrects the allocative inefficiency inherent in monopsony. In contrast, in perfectly competitive labor markets, a binding minimum wage creates excess labor supply (unemployment), as the quantity of labor supplied exceeds the quantity demanded at the higher wage (DIAGRAM: A competitive labor market graph showing equilibrium wage We and employment Qe, with a minimum wage Wmin above leading to unemployment Qs-Qd). The extent of unemployment depends on the elasticity of labor demand and supply. If labor demand is inelastic—common in industries where labor is a small proportion of total costs or lacks substitutes—job losses may be minimal. Conversely, in sectors with elastic labor demand, such as low-skilled industries where automation is feasible, employment could decline significantly. "
315," A standard indifference curve analysis for a normal good shows the budget line pivoting outward after a price decrease, with the consumer moving to a higher indifference curve. The substitution effect shifts consumption from point A to B along the original indifference curve, and the income effect shifts from B to C, further increasing quantity.) This combined effect results in a relatively large increase in quantity demanded, implying a more elastic demand. "
316," A price decrease shifts the budget line outward, with the substitution effect moving consumption from A to B. The income effect then shifts consumption back from B to C, partially offsetting the substitution effect.) The net change in quantity demanded is smaller compared to a normal good because the income effect counteracts the substitution effect. This reduced responsiveness suggests more price-inelastic demand. "
317," A supply and demand diagram showing MSC above MPC, with the market equilibrium quantity Q1 exceeding the socially optimal quantity Q2 where MSC=MSB). This overconsumption represents allocative inefficiency, as resources are over-allocated to car use, reducing overall societal welfare"
318," A tax shifts the MPC curve upward, intersecting MSB at Q2). The charge discourages non-essential trips and incentivizes alternative transport modes, reducing congestion and pollution. However, the effectiveness depends on accurately setting the charge to equal the marginal external cost. If the fee is too low, it will not fully correct the externality; if too high, it may disproportionately affect lower-income drivers, raising equity concerns. Additionally, revenue from the charge could fund public transport improvements, enhancing its impact. Yet, administrative costs and potential public resistance may limit feasibility"
319," A production possibility frontier (PPF) could show an economy moving from a point inside the curve (underutilised resources, high unemployment) to a point closer to the curve (higher output, lower unemployment) as growth occurs. However, the assertion that growth will ""always"" reduce unemployment is contestable. If growth stems from productivity improvements—such as automation or technological advancements—firms may achieve higher output with fewer workers, leading to structural unemployment. For instance, capital-intensive industries may experience jobless growth, where output rises but employment stagnates or declines. Similarly, labour market inflexibilities, such as skills mismatches or geographical immobility, could prevent unemployment from falling despite economic expansion. Thus, while growth generally reduces unemployment, its impact depends on the source of growth and labour market conditions"
320," In an AD/AS model, a rightward shift in AD from AD1 to AD2 beyond the vertical LRAS curve leads to rising price levels (P1 to P2) without real output increases. This is particularly likely in economies operating near full capacity, where resource bottlenecks and labour shortages drive up wages and production costs. Additionally, growth may exacerbate balance of payments deficits. Higher incomes often increase demand for imports, while export-oriented industries might struggle to expand output rapidly, worsening the current account. Furthermore, growth driven by consumer spending rather than investment could amplify this imbalance. Environmental sustainability represents another potential conflict, as resource-intensive growth may deplete natural capital or increase pollution, conflicting with long-term ecological objectives. Income inequality could also widen if growth disproportionately benefits capital owners or high-skilled workers, exacerbating social welfare disparities"
321," The LRAC curve is U-shaped, with the downward-sloping segment representing economies of scale and the upward-sloping segment reflecting diseconomies of scale, such as managerial inefficiencies or coordination challenges in very large firms. However, not all firms can expand indefinitely to achieve the minimum efficient scale (MES), the lowest output level where LRAC is minimized. In some industries, MES is low, allowing small firms to operate efficiently without needing large-scale production. Furthermore, diseconomies of scale may emerge if firms grow too large, leading to rising average costs and negating initial advantages"
322," A standard indifference curve analysis for a normal good shows the budget line pivoting from BL1 to BL2 after a price fall. The substitution effect moves consumption from point A to B along the original indifference curve, while the income effect shifts from B to C on a higher indifference curve, increasing quantity demanded from Q1 to Q2.) "
323," For an inferior good, the price reduction shifts the budget line outward. The substitution effect moves consumption from A to B, increasing quantity, but the income effect shifts from B to C, slightly reducing quantity. The net movement from A to C still shows a rise in quantity, though smaller than for the luxury good.) "
324," A Hicksian decomposition illustrates this: the SE shifts consumption from point A to B (along the original indifference curve), while the IE shifts from B to C (to a lower indifference curve for a Giffen good). The net movement from A to C shows reduced quantity demanded despite the price fall."
325," AD/AS model showing AD1 to AD2, with higher real GDP at Y2). Higher incomes increase the demand for imports, particularly if domestic production cannot meet rising consumption. Assuming exports remain unchanged, this worsens the current account, creating a deficit. Similarly, loose monetary policy lowers interest rates, encouraging borrowing for investment and consumption but potentially depreciating the currency if capital outflows occur. A weaker currency could raise import prices, further straining the current account. "
326," LRAS1 to LRAS2, increasing potential output to Y2). Growth driven by supply-side improvements may not inherently increase imports if it enhances export competitiveness. For instance, productivity gains lower production costs, allowing firms to reduce export prices or improve quality, boosting foreign demand. If export growth outpaces import growth, the balance of payments could improve. Additionally, supply-side growth might reduce reliance on imported inputs if domestic industries expand. "
327," An aggregate demand-aggregate supply diagram showing how demand-pull inflation shifts the AD curve rightward, increasing the price level but risking overheating the economy if output exceeds long-run potential"
328," A supply-side diagram illustrating cost-push inflation from rising import prices, shifting the short-run aggregate supply curve leftward, increasing prices while reducing real output"
329," A Phillips curve showing the short-term trade-off between inflation and unemployment, where reducing inflation via higher interest rates may increase unemployment"
330," In the circular flow model, savings represent a withdrawal from the income stream, potentially creating a negative multiplier effect as reduced consumption lowers business revenues, leading to output contraction and higher cyclical unemployment. This aligns with the Keynesian paradox of thrift, where individual rationality in saving more during downturns exacerbates demand deficiencies, deepening recessions. However, the long-run neoclassical perspective posits that higher savings increase the pool of loanable funds, lowering real interest rates and stimulating investment in physical capital. DIAGRAM: In the loanable funds market, a rightward shift in the supply curve reduces equilibrium interest rates, making borrowing cheaper for firms. Enhanced capital accumulation raises productivity and shifts the economy’s production possibility frontier outward, fostering long-term growth. "
331," The monopsony diagram illustrates this with MCL intersecting MRPL at Qm, while the labour supply curve shows Wm below the competitive wage Wc. The deadweight loss triangle between Qm and Qc represents the market failure"
332," A horizontal wage line at Wu intersects MRPL at a higher employment level (Qu), reducing the deadweight loss. This occurs because the union’s wage floor eliminates the monopsonist’s ability to suppress wages below MRPL, aligning employment closer to the allocatively efficient level. Additionally, unions may reduce monopsony power by standardising wages across firms, limiting the employer’s ability to underpay workers. This could enhance both wage levels and employment, countering labour market failure"
333," A wage floor above Wc creates a surplus of labour (unemployment) as the quantity supplied exceeds demand. Furthermore, unions may restrict labour supply via closed-shop agreements or occupational licensing, artificially limiting worker entry. This reduces competition among workers, inflating wages beyond productivity levels and creating inefficiencies akin to monopolistic practices. Such scenarios replace monopsonistic exploitation with union-induced distortions, shifting rather than resolving market failure"
334," The firm’s MC curve intersects the horizontal demand curve at the equilibrium quantity Q1, where P=MR=MC). If the price exceeds AVC, the firm will continue operating even if it incurs losses, as revenue covers variable costs and contributes to fixed costs. For instance, if the price is P1 above AVC but below average total cost (ATC), the firm produces at Q1, minimizing losses. Here, MC determines the precise output level, as the firm adjusts production until the cost of the last unit (MC) matches the revenue it generates (MR). "
335," The U-shaped AVC curve is intersected by the MC curve at its lowest point). When MC is below AVC, AVC decreases as output rises; when MC exceeds AVC, AVC increases. This dynamic implies that rising MC eventually drives up AVC, signaling diminishing returns or higher input costs. For a firm, this intersection marks the output level where variable costs per unit are minimized, though this does not necessarily align with profit maximization, which depends on the price relative to MC. "
336," A tax shifts S1 to S2, intersecting D at a higher price and lower quantity, aligning private and social costs). This internalises the externality, reducing output to the socially optimal level. For positive externalities, subsidies can lower producers’ costs, shifting the supply curve rightward to increase equilibrium quantity. Public goods may require direct government provision, funded through taxation, to overcome underprovision. Legislation, such as banning harmful activities, can reduce negative externalities, while tradable permits create market incentives to limit pollution. Monopoly power can be regulated through price controls or antitrust laws to promote competition. "
337," In the Keynesian liquidity preference framework, the money market equilibrium is determined by the intersection of the money supply curve (controlled by the central bank) and the money demand curve (liquidity preference). An expansionary monetary policy shifts the money supply curve rightward, lowering the equilibrium interest rate. Lower interest rates reduce the cost of borrowing, stimulating investment expenditure by firms, as illustrated by the downward-sloping marginal efficiency of capital (MEC) curve, where investment increases as interest rates fall. This rise in investment shifts the aggregate demand curve rightward in the goods market, leading to higher equilibrium income and employment via the multiplier effect. Conversely, contractionary policy raises interest rates, dampening investment and aggregate demand"
338," The liquidity trap is represented by a horizontal segment of the money demand curve, where changes in the money supply do not alter interest rates. Additionally, if the MEC curve is inelastic due to pessimistic business expectations, investment may not rise significantly despite lower interest rates. For instance, during periods of economic uncertainty, firms may delay capital projects regardless of borrowing costs, weakening the link between monetary policy and aggregate demand."
339," A leftward shift of the AD curve from AD1 to AD2 illustrates the contractionary impact of austerity, leading to a lower equilibrium output (Y1 to Y2) and price level (P1 to P2). The magnitude of this contraction depends on the fiscal multiplier: in economies with spare capacity, the multiplier is larger, amplifying the negative output effects. "
340," LRAS1 to LRAS2), enabling higher output (Y1 to Y2) without inflationary pressure. However, supply-side policies often require initial fiscal outlays—such as funding for training programs—which may temporarily widen the deficit. Additionally, their effects materialize gradually, making them ineffective for immediate deficit reduction. "
341," A diagram comparing single-price monopoly equilibrium (where MR=MC) with a perfectly price-discriminating monopoly (where P=MC for the last unit sold) would show the latter eliminating deadweight loss, achieving allocative efficiency. However, perfect price discrimination is rare, and most real-world forms are imperfect. For instance, third-degree price discrimination, where different consumer groups pay different prices, may lead to higher total output than single pricing but does not eliminate deadweight loss entirely. From a societal perspective, this could enhance allocative efficiency if output increases closer to the competitive level, benefiting consumers who gain access to the product at lower prices. Conversely, consumers in the higher-price segment experience a transfer of surplus to producers, raising equity concerns. "
342," A budget line pivots outward on the axis of the good whose price has fallen, showing the substitution effect as a movement along the original indifference curve.) The income effect arises because the price change alters real income, shifting purchasing power. For normal goods, this leads to increased consumption as higher real income allows consumers to buy more of the good. (DIAGRAM: The income effect is shown by a parallel outward shift of the budget line, leading to a new equilibrium on a higher indifference curve.) The total effect of a price change is the sum of these two effects. "
343," A downward-sloping LRAC curve showing decreasing average costs as output increases due to economies of scale). Firms achieving economies of scale may expand output to the minimum efficient scale (MES), the lowest output level where LRAC is minimised. "
344," compensated budget line parallel to new price ratio), shows reduced consumption as consumers switch to substitutes. The income effect, reflecting reduced purchasing power, further decreases demand. Both effects combine to lower quantity demanded, leading to a downward-sloping demand curve. Revenue impact depends on elasticity: if demand is elastic (PED >1), revenue falls; if inelastic (PED <1), revenue rises. "
345," budget constraint pivoting with new equilibrium at higher quantity). This upward-sloping demand curve implies a price rise directly increases revenue, as both price and quantity rise. Manufacturers must distinguish Giffen goods from typical inferior goods, where income effects may not overpower substitution effects. "
346," A market for public goods would show demand curves reflecting individual willingness to pay summed vertically, with the socially optimal quantity achieved only through collective action"
347," The monopoly diagram illustrates this with a triangle between the demand curve, marginal cost curve, and the monopolist’s output. Government interventions such as price regulation (setting P=MC) or antitrust legislation to promote competition can mitigate this. However, regulating monopolies requires precise cost data, and excessive intervention may deter investment in industries requiring large-scale infrastructure, such as utilities"
348," A negative externality graph shows the supply curve shifting left with taxation, aligning private and social costs. However, accurately quantifying externalities is challenging, and taxes or subsidies may inadvertently distort other markets if miscalibrated"
349," A downward shift in the long-run average cost curve illustrates economies of scale, leading to lower equilibrium prices if competition exists.) Mergers might also enhance dynamic efficiency by pooling resources for research and development (R&D). Larger firms can invest in innovation, improving product quality or introducing new technologies, which benefits consumers over time. In industries with high fixed costs, such as utilities, mergers establishing natural monopolies could eliminate wasteful duplication of infrastructure, lowering prices through productive efficiency. Additionally, price discrimination might benefit certain consumer groups if it enables firms to offer discounted prices to price-sensitive segments, increasing overall access to goods. "
350," A monopoly diagram shows profit maximisation at MR=MC, with price set at PM and output QM, resulting in deadweight loss triangle ABC. A tax or subsidy shifts the supply curve, altering equilibrium price and quantity. "
351," The tax internalises the externality, aligning private and social costs at the socially optimal output Q*, eliminating deadweight loss. However, effectiveness depends on accurately estimating the externality. If the tax is set below the marginal external cost, allocative inefficiency persists. Additionally, inelastic demand may limit quantity reduction, leaving residual inefficiency. Administrative costs and tax evasion further reduce efficacy. "
352," This aligns private and social benefits at Q*, eradicating deadweight loss. Yet, subsidies require precise calculation of external benefits. Overestimating leads to oversupply, creating new inefficiencies. Funding subsidies diverts resources from other public goods, risking government failure. Firms may become dependent on subsidies, reducing innovation incentives. "
